interaction;name
CD48;SLC37A2
RECQL4;EZH2
SMC4;FOXM1
PATL2;TNFRSF18
GALNT6;LILRA5
BCL11B;APBB1IP
ARHGAP11B;CKAP2
MCM8;EZH2
SLC12A8;SLC1A3
TUBB4B;GINS3
CEP55;FOXM1
SPC25;EZH2
CCRL2;APBB1IP
STEAP3;FOSL1
C5orf34;CDK1
SLC7A7;C1QB
FAM83D;CKAP2
WDR62;CDK1
SGO1-AS1;EZH2
ATAD5;EZH2
PILRA;SLC37A2
FAM72B;EZH2
E2F2;CLSPN
KIF2C;CLSPN
VCAM1;SLC37A2
SMC2;EZH2
STIL;CLSPN
DIAPH3;SAP30
LMNB1;FOXM1
TYMS;RRM1
LOC107986126;EZH2
PILRA;DOCK2
EVI2B;TNFRSF18
PARP14;TNFRSF18
PLAUR;ANPEP
CKAP2L;CKAP2
ERCC6L;RRM1
CENPF;CKAP2
IL2RG;C1QB
SLAMF7;C1QB
SPAG4;RGS16
MINDY4;CCSAP
XKR5;EZH2
DENND2D;TNFRSF18
BRI3BP;CCSAP
CTSZ;SLC37A2
BATF;SLC37A2
SLC7A7;RGS1
CCNA2;EZH2
NCAPG2;EZH2
BRIP1;CDK1
KIF11;RRM1
MND1;FANCD2
CKS2;CDK1
LMNB2;CKAP2
PMCH;MIOX
TMEM52B;SLC1A3
ICOS;TNFRSF18
PDCD1;DOCK2
FMNL1;SLC1A3
ORC6;CDK1
CKAP2L;CDK1
FAM72A;EZH2
STK17B;ITGA9
FPR3;SLC1A3
RFC3;CKAP2
GPC3;CNIH2
GASK1B;FANCD2
SPINT1;SLC9A7
LIPM;SLC1A3
APOBEC3H;DOCK2
CD3D;BCL11B
PDCD1;BCL11B
ZBP1;DOCK2
BATF2;TNFRSF18
CD4;TNFRSF18
CCR5;C1QB
ARHGAP11A;CDK1
CHAF1B;CLSPN
CIT;FOXM1
SALL4;IL33
NEK2;FOXM1
SLC25A10;GINS3
TUBB4B;EZH2
PSMB9;C1QB
INCENP;CDK1
TCF19;SAP30
RFX8;SLC37A2
ANKRD9;FOXM1
CDCA5;RRM1
RACGAP1;RRM1
CCR1;TNFRSF18
USP18;USP41P
CD96;BCL11B
GPR174;BCL11B
CENPL;CLSPN
CD96;APBB1IP
SOCS2;CKAP2
SHCBP1;RRM1
FBXO5;SAP30
TTK;RRM1
NCF2;APBB1IP
MMS22L;CKAP2
TNFSF13B;SLC37A2
BIRC5;FOXM1
CD48;APBB1IP
MAD2L1;CDK1
NSD2;C21orf58
LOC100288637;CKAP2
SPN;TNFRSF18
HOXB13;PRAC2
CSAG1;CSAG2
TMEM201;EZH2
SLC25A40;SAP30
IRX5;EZH2
PLK4;CDK1
KIF2C;EZH2
HOXD9;EMCN
ERCC6L;FOXM1
IRX3;TUBA1C
MASTL;CDK1
TPX2;EZH2
C10orf143;CLSPN
LY75;SLC37A2
IL1R2;APBB1IP
ATP10A;OTOAP1
LHX2;CKAP2
SPN;APBB1IP
INCENP;RRM1
UNC93B1;DOCK2
FEN1;GINS3
DPY19L2P2;CDK1
CDC7;FANCD2
BIRC3;C1QB
CCNB1;GINS3
MKI67;CLSPN
ANKRD22;APBB1IP
IGF2BP3;PFKFB4
IFI30;TNFRSF18
SGO2;CKAP2
GGH;CCSAP
NEIL3;CKAP2
LOC105374898;IL33
FAM72C;CLSPN
POLA1;CKAP2
CHAF1A;FANCD2
WDHD1;RRM1
PKMYT1;CLSPN
ZWILCH;PFKFB4
CD80;DOCK2
ASB5;SLC9A7
FAM72D;EZH2
CENPM;EZH2
APOL1;TNFRSF18
KNSTRN;CKAP2
CIP2A;CDK1
LILRB4;SLC1A3
TAP1;C1QB
MND1;EZH2
POLQ;CLSPN
CD2;DOCK2
PLEKHN1;RGS1
CXCR2P1;TNFRSF18
LOC105373581;FOSL1
DBI;ADORA2B
RGS16;RIMBP3B
PTPN22;C1QB
KLHL6;C1QB
SLC7A7;DOCK2
KIF15;EZH2
GMNN;PFKFB4
CCNB2;FOXM1
CIP2A;CLSPN
ASF1B;CDK1
LOC100288637;CDK1
TYMSOS;EZH2
LMNB2;FOXM1
KIF15;CDK1
PTEN;FANCD2
SMC2;CKAP2
CD2;APBB1IP
PYHIN1;BCL11B
SIGLEC7;C1QB
RUNX3;ADORA2B
ADAMDEC1;TNFRSF18
ICOS;DOCK2
TBC1D10C;APBB1IP
SIGLEC9;SLC1A3
NEIL3;CDK1
MTFR2;RANBP1
BCL2A1;DOCK2
LILRB4;TNFRSF18
HAVCR2;SLC1A3
KIF11;CLSPN
NPL;DOCK2
CKS2;CLSPN
SMC4;CDK1
SAMSN1;APBB1IP
LGMN;C1QB
PLEK;DOCK2
LY75;C1QB
CCR5;BCL11B
CDC6;CDK1
ARHGAP11B;CDK1
ARHGAP11B;CLSPN
CCNE1;CKAP2
FEN1;FOXM1
KIF2C;RRM1
TTK;CKAP2
SH3BGRL3;SLC37A2
DEPDC1;SAP30
POC1A;FOXM1
FLNB-AS1;FOXM1
FAM78A;C1QB
DDX12P;FOXM1
IRF1;DOCK2
IRF1;C1QB
ATAD5;CLSPN
TTK;CDK1
ARL6IP1;CKAP2
NFAM1;LILRA5
KCNN4;FOSL1
ANKRD22;SLC1A3
ST8SIA6;TUBA1C
CD96;DOCK2
IL2RG;SLC37A2
CD300A;DOCK2
GINS2;EZH2
LCORL;CLSPN
RBL1;FOXM1
WFS1;ITGA9
PDCD1LG2;APBB1IP
STIL;KCNMB2
PTPRC;BCL11B
TFEC;TNFRSF9
SDS;SLC1A3
SLAMF8;TNFRSF18
HSD11B2;EDIL3-DT
TRAIP;EZH2
GINS1;EZH2
KIF11;EZH2
CCNB1;RRM1
NSD2;CKAP2
IL18;APBB1IP
APOL1;C1QB
SAPCD2;EZH2
DEPDC1;CDK1
ANP32E;CLSPN
HDGF;CLSPN
GFI1;APBB1IP
ST14;FOSL1
PFKFB4;MIR675
AIM2;DOCK2
CDC25A;PFKFB4
CTSW;DOCK2
MSR1;DOCK2
APOBEC3B-AS1;CLSPN
SIGLEC10;C1QB
POLA1;FOXM1
TNFSF13B;APBB1IP
ACYP1;CKAP2
DOP1B;SLC1A3
DDX11;FOXM1
ITGAL;BCL11B
C1QC;TNFRSF18
CSTA;SLC1A3
FAM72B;CLSPN
KIF2C;FOXM1
DEPDC1;EZH2
CDCA2;FOXM1
BRCA1;C21orf58
SAMD9;DOCK2
UHRF1;RANBP1
TEDC1;FOXM1
FEN1;RRM1
UBE2S;RANBP1
ARHGAP30;TNFRSF18
CRNDE;CCSAP
GIPR;SLC9A7
CD5;DOCK2
CD300LF;C1QB
SIGLEC9;APBB1IP
CGAS;TNFRSF18
MGC12916;RANBP1
CD180;C1QB
LINC01943;DOCK2
CENPH;EZH2
TMPO-AS1;CKAP2
EVI2A;SLC1A3
GINS2;RRM1
CASP1;DOCK2
CCNB1;CLSPN
ARHGAP11A;EZH2
DOK2;SLC37A2
NRN1;IL33
BRCA1;CLSPN
XRCC2;CDK1
CTSZ;LILRA5
SDS;OTOAP1
HOXA10;ADORA2B
TNFAIP6;TNFRSF9
PARP14;TNFRSF9
IL12RB1;TNFRSF9
SH2D1A;DOCK2
SUGCT;OTOAP1
KIF20A;CLSPN
CXCR6;APBB1IP
CORO1A;SLC37A2
NUF2;CDK1
RRM2;FOXM1
ITGAX;SLC1A3
ORC1;FOXM1
CCL5;C1QB
PGR;CDK1
SAP30;CLSPN
BATF;APBB1IP
DTL;FOXM1
TEDC2-AS1;GDPD2
LINC00944;OTOAP1
APOBEC3H;LILRA5
CRTAM;TNFRSF18
SLC16A3;RIMBP3B
SIGLEC9;DOCK2
CENPU;EZH2
KIF18B;FOXM1
SLC37A2;C1QB
ADM;RGS1
PRC1-AS1;EZH2
GBP5;DOCK2
KIF4A;EZH2
BUB1;RRM1
TRIM59;CDK1
SUV39H1;FOXM1
CD52;C1QB
CDC20;EZH2
PTPN3;EZH2
PAQR4;FOXM1
IL21R;APBB1IP
FST;MIR31HG
SIGLEC7;APBB1IP
SIGLEC7;DOCK2
EYA2-AS1;GPR87
PSD4;ANPEP
AURKA;FOXM1
EPSTI1;C1QB
KIF20A;EZH2
IL1B;RGS1
MAD2L2;FOXM1
CXCL10;DOCK2
ARL4C;SLC37A2
RCCD1;CDK1
RECQL4;FOXM1
GZMA;APBB1IP
SLC12A8;DOCK2
CDKN3;CLSPN
GPR84;SLC1A3
CXCL10;C1QB
RACGAP1;EZH2
CD40;SLC37A2
NSD2;CLSPN
PCLAF;CDK1
LIPG;PFKFB4
IL21R;SLC37A2
SACS-AS1;C21orf58
IGF2BP3;MIR675
APOBEC3H;APBB1IP
STC2;ADORA2B
TUBA1C;ADORA2B
CTSZ;OTOAP1
CCR5;SLC37A2
SGO2;CLSPN
CDCA8;CKAP2
CTSS;TNFRSF18
KCNN4;ANPEP
SGO2;EZH2
MMS22L;CLSPN
PI15;RGS16
EVI2A;C1QB
GRIN2D;IL33
UNC93B1;SLC37A2
USP1;SAP30
TTK;CLSPN
DEPDC1B;RRM1
GMNN;FOXM1
CENPF;FOXM1
RDM1;CNIH2
IL1R2;SLC37A2
CACNA2D4;EXOC3L4
APOC2;APBB1IP
SPAG4;RIMBP3B
LILRA6;APBB1IP
LINC01943;OTOAP1
COL11A2;OTOAP1
LINC01615;FOSL1
CENPA;EZH2
FAM72C;CDK1
GALNT6;SLC37A2
IL12RB1;TNFRSF18
RELT;GINS3
LCORL;CDK1
ADCY4;CDK1
CAMK2N2;CKAP2
ZWINT;EZH2
BUB1;CLSPN
SP140;SLC37A2
SLC37A2;SLC1A3
TCF19;CDK1
PIF1;SALL4
CCDC150;FOXM1
ZWINT;CKAP2
PTPRC;SLC37A2
STAC3;SLC37A2
ZWINT;CLSPN
TYMP;LILRA5
SPSB4;C21orf58
SDS;DOCK2
PTPRC;TNFRSF18
TMEM201;CLSPN
GBP5;TNFRSF18
GPR171;BCL11B
ZNF503;CLSPN
KNSTRN;CDK1
KIF23;CKAP2
TMPO-AS1;CLSPN
GMNN;RRM1
HMGB2;CKAP2
HMGB2;EZH2
MSR1;SLC37A2
HPCAL1;C21orf58
GPR84;SLC37A2
CD84;SLC1A3
BUB1B;CLSPN
SLAMF7;SLC37A2
STMN1;EZH2
FEN1;CKAP2
INCENP;CKAP2
CHAF1B;FOXM1
CDCA2;CKAP2
IGSF6;SLC1A3
CYTIP;TNFRSF18
LINC02084;DOCK2
CD6;C1QB
CLEC5A;SLC37A2
AIM2;C1QB
SOCAR;C1QB
GPR174;APBB1IP
SLC31A2;SLC37A2
ACBD7;SKA2
PBLD;CCSAP
NUSAP1;CLSPN
KIF14;CKAP2
TCF19;CKAP2
KNL1;FOXM1
ARHGAP11A;SAP30
ANLN;CKAP2
PBLD;RANBP1
HEG1;SLC1A3
PRIM1;GINS3
ATP10A;GPR183
HELLS;CLSPN
DLGAP5;CLSPN
CXCR6;C1QB
IL18;LILRA5
CXCR3;C1QB
SLAMF7;BCL11B
APOL6;BCL11B
CBR3;FOXP4-AS1
CDC25C;CDK1
DGKG;CEP15
CD300LF;SLC1A3
GBP5;C1QB
CXCL9;DOCK2
TACC3;CLSPN
DDIAS;CKAP2
KNL1;EZH2
ZNF367;SAP30
CDCA7L;FANCD2
SLAMF7;LILRA5
SLC25A40;CKAP2
RYR3;ANPEP
EZR;SLC9A7
KIF20A;FOXM1
FMNL1;APBB1IP
FOXM1;CLSPN
GINS1;CLSPN
SGO1-AS1;CDK1
POLE2;RRM1
DCLRE1B;CLSPN
KIF18A;FOXM1
PTAFR;SLC37A2
EXO1;EZH2
RTKN2;CDK1
LOC105373581;ANPEP
IL21R-AS1;DOCK2
LY75;APBB1IP
CCR5;TNFRSF18
CSTA;TNFRSF18
CXCL10;TNFRSF9
RN7SL1;RNU2-1
KIF20B;CDK1
RRM2;CCSAP
KYNU;DOCK2
SOCS2;C21orf58
DOCK10;RGS1
BUB1B;EZH2
GTSE1;RRM1
DENND2D;SLC1A3
SKA2;CKAP2
PLEK;APBB1IP
CD80;TNFRSF18
TNFRSF9;C1QB
CCDC18;CLSPN
HOXB5;HOXB3
TMEM106C;EZH2
GMIP;DOCK2
LINC01943;C1QB
POLE2;CKAP2
SERPINA1;APBB1IP
SERPINA1;SLC37A2
CENPH;FANCD2
PCLAF;GINS3
MCM4;RRM1
TMUB1;CYP26B1
KIFC1;RRM1
UHRF1;RRM1
TNFSF14;C1QB
CD5;BCL11B
APOC4-APOC2;APBB1IP
CNIH3-AS1;BATF2
IGFBP4;ADAMTSL5
P2RY10;TNFRSF18
ULBP1;PFKFB4
UBD;BCL11B
E2F7;CDK1
VEPH1;SLC1A3
TRAF3IP3;TNFRSF18
RPS6KA1;SLC1A3
KIFC1;EZH2
KIF22;FOXM1
MKI67;CDK1
ADGRL2;CDK1
BARD1;EZH2
BIRC3;SLC1A3
IL21R-AS1;APBB1IP
MYO1G;LILRA5
MDH1B;ITGA9
CYTIP;LILRA5
SRL;PFKFB4
HK2;MIR675
PTPRC;TNFRSF9
PDCD1LG2;BCL11B
NPL;FFAR4
ZDHHC12;RIMBP3B
PKD2L1;RGS16
AURKA;CLSPN
MELK;RRM1
CD52;APBB1IP
CDCA5;EZH2
