"__glayCluster","name","selected","shared name"
"5","VEPH1","false","VEPH1"
"5","LOC105376042","false","LOC105376042"
"5","DRD2","false","DRD2"
"5","FAM30C","false","FAM30C"
"5","CRYBG2","false","CRYBG2"
"2","H3C3","false","H3C3"
"2","KIF4B","false","KIF4B"
"2","APOBEC3B","false","APOBEC3B"
"2","APOBEC3B-AS1","false","APOBEC3B-AS1"
"2","IRX3","false","IRX3"
"28","SIX1","false","SIX1"
"28","CDC20B","false","CDC20B"
"28","AQP7","false","AQP7"
"25","MCIDAS","false","MCIDAS"
"3","TMEM244","false","TMEM244"
"3","UBD","false","UBD"
"3","HMSD","false","HMSD"
"1","IL21R","false","IL21R"
"3","ZBED2","false","ZBED2"
"3","LINC02195","false","LINC02195"
"3","PLP1","false","PLP1"
"3","CD80","false","CD80"
"3","NBPF6","false","NBPF6"
"3","ICOS","false","ICOS"
"3","CXCL10","false","CXCL10"
"3","NYAP2","false","NYAP2"
"3","AIM2","false","AIM2"
"3","DNAJC5B","false","DNAJC5B"
"3","LINC01857","false","LINC01857"
"3","ZIC1","false","ZIC1"
"2","SOX11","false","SOX11"
"2","DLX1","false","DLX1"
"2","MKRN3","false","MKRN3"
"2","ATP1A2","false","ATP1A2"
"23","H2AC16","false","H2AC16"
"2","H3C8","false","H3C8"
"2","SMOC2","false","SMOC2"
"13","ULBP1","false","ULBP1"
"5","LOC105376041","false","LOC105376041"
"22","SYT4","false","SYT4"
"22","CLGN","false","CLGN"
"22","LRRC37A8P","false","LRRC37A8P"
"22","IL36G","false","IL36G"
"22","NOS2P3","false","NOS2P3"
"22","SOX9-AS1","false","SOX9-AS1"
"22","GS1-24F4.2","false","GS1-24F4.2"
"22","LOC100506071","false","LOC100506071"
"1","MMP12","false","MMP12"
"2","ULBP2","false","ULBP2"
"1","SLC6A7","false","SLC6A7"
"1","LGI3","false","LGI3"
"18","MGC12916","false","MGC12916"
"1","AK5","false","AK5"
"22","LMO1","false","LMO1"
"22","LOC105369685","false","LOC105369685"
"1","COL8A1","false","COL8A1"
"27","LAMB3","false","LAMB3"
"1","ST14","false","ST14"
"1","EXOC3L4","false","EXOC3L4"
"1","CD70","false","CD70"
"12","PAX9","false","PAX9"
"12","H2AC13","false","H2AC13"
"12","TENM2","false","TENM2"
"2","TCF21","false","TCF21"
"27","FMO3","false","FMO3"
"27","MIR4260","false","MIR4260"
"26","LUARIS","false","LUARIS"
"26","AKR1B10","false","AKR1B10"
"26","MESP2","false","MESP2"
"23","C10orf88B","false","C10orf88B"
"23","LOC105373150","false","LOC105373150"
"1","KRT8","false","KRT8"
"1","WNT7B","false","WNT7B"
"1","TMEM171","false","TMEM171"
"1","S100A2","false","S100A2"
"9","SLC12A5-AS1","false","SLC12A5-AS1"
"9","NKX6-1","false","NKX6-1"
"25","CCNO","false","CCNO"
"2","GLB1L3","false","GLB1L3"
"3","IDO1","false","IDO1"
"3","KLHDC7B","false","KLHDC7B"
"3","JCHAIN","false","JCHAIN"
"3","TMPRSS3","false","TMPRSS3"
"15","LINC00601","false","LINC00601"
"15","LOC105372613","false","LOC105372613"
"16","TBX4","false","TBX4"
"16","CCDC194","false","CCDC194"
"16","LOC105370960","false","LOC105370960"
"9","MMP9","false","MMP9"
"9","DDN","false","DDN"
"1","SOWAHB","false","SOWAHB"
"1","MIR9898","false","MIR9898"
"1","OSM","false","OSM"
"1","OLR1","false","OLR1"
"1","TMEM52B","false","TMEM52B"
"1","GLYATL2","false","GLYATL2"
"21","MKX","false","MKX"
"21","TFR2","false","TFR2"
"2","LOC105377508","false","LOC105377508"
"4","GALNT9","false","GALNT9"
"4","SCN7A","false","SCN7A"
"4","CRISP2","false","CRISP2"
"4","DACT2","false","DACT2"
"2","NDST3","false","NDST3"
"1","LINC00942","false","LINC00942"
"24","CSAG1","false","CSAG1"
