Origin	Destination	Weight1	Weight2	Weight3
5880	968	1.0	0.8235294	0.9558824
5880	3689	1.0	0.8088235	0.95098037
51203	57082	1.0	0.9117647	0.97794116
51203	1017	1.0	0.8382353	0.9558824
51203	701	1.0	0.9117647	0.98284316
100533990	344	0.983801	1.0	1.0
2124	22797	0.98539865	0.85294116	0.9558824
2124	1520	1.0	0.85294116	0.9607843
2124	5788	1.0	0.88235295	0.9705882
2124	1794	1.0	0.9264706	0.9852941
2124	2359	1.0	0.8382353	0.95098037
2124	1234	0.98539865	0.85294116	0.9558824
338382	103021296	0.9849595	0.85294116	0.9583333
3702	27240	0.9634854	0.85294116	0.9558824
54443	10721	1.0	0.9117647	0.9754902
6029	107987206	1.0	1.0	1.0
22797	5788	0.98539865	0.85294116	0.96568626
22797	2359	0.98539865	0.8382353	0.9558824
55365	28959	1.0	0.86764705	0.9607843
714	257106	0.98539865	0.85294116	0.9558824
714	54518	1.0	0.86764705	0.9632353
714	713	1.0	0.86764705	0.9607843
112268460	10460	0.98539865	0.9117647	0.98039216
7468	146909	1.0	0.85294116	0.95098037
378706	105378179	1.0	0.9264706	0.97794116
4064	146722	0.98539865	0.8382353	0.95343137
3575	11262	0.97036463	0.85294116	0.96568626
11006	10437	1.0	0.86764705	0.9607843
11006	8832	1.0	0.8382353	0.95098037
5724	4688	1.0	0.85294116	0.95343137
5724	11314	1.0	0.8382353	0.95098037
27240	915	0.95487833	0.89705884	0.9632353
27240	6352	0.97036463	0.88235295	0.96568626
993	6241	0.98539865	0.86764705	0.96568626
51299	105374898	0.98539865	0.86764705	0.96568626
54209	1318	0.98539865	0.85294116	0.9607843
54209	752	0.98539865	0.86764705	0.9705882
83540	55247	0.98539865	0.85294116	0.95343137
1139	89832	0.98539865	0.85294116	0.9558824
1520	4069	1.0	0.85294116	0.9558824
1520	1794	1.0	0.86764705	0.96568626
1520	962	1.0	0.88235295	0.9730392
1520	9595	0.98539865	0.86764705	0.96813726
1520	1234	0.98539865	0.9117647	0.9754902
1520	3683	1.0	0.85294116	0.9558824
55789	84823	1.0	0.86764705	0.95343137
55789	81930	1.0	0.86764705	0.9705882
84182	100526825	0.9634854	0.9411765	0.99019605
7805	27036	0.95487833	0.85294116	0.96813726
7805	84868	1.0	0.8088235	0.95098037
343099	894	0.98539865	0.8382353	0.95098037
899	29089	0.98539865	0.85294116	0.9583333
79019	113130	0.98539865	0.8382353	0.95343137
64151	57082	1.0	0.88235295	0.96568626
64151	728833	0.98539865	0.9117647	0.98284316
64151	653820	0.98539865	0.86764705	0.9558824
64151	9824	1.0	0.89705884	0.9583333
64151	701	1.0	0.85294116	0.9607843
64151	7153	1.0	0.8382353	0.9607843
56833	54440	1.0	0.8382353	0.95098037
56833	968	1.0	0.88235295	0.9705882
56833	9595	0.98539865	0.86764705	0.96568626
56833	8832	1.0	0.86764705	0.96813726
56833	3689	1.0	0.86764705	0.9632353
54440	968	1.0	0.86764705	0.96568626
54440	1794	1.0	0.88235295	0.96813726
54440	257106	0.98539865	0.8382353	0.95343137
54440	4688	1.0	0.86764705	0.9632353
54440	10538	1.0	0.8235294	0.95098037
54440	3689	1.0	0.9117647	0.98284316
54440	84868	1.0	0.8382353	0.96568626
100506428	874	0.98539865	0.86764705	0.9583333
968	2123	1.0	0.86764705	0.9558824
968	1794	1.0	0.8382353	0.95098037
968	9595	0.98539865	0.8382353	0.9558824
968	8832	1.0	0.86764705	0.96568626
968	64005	1.0	0.86764705	0.9583333
968	4688	1.0	0.85294116	0.95098037
968	3689	1.0	0.9558824	0.99019605
283120	112267876	1.0	0.89705884	0.96568626
283120	103344718	1.0	0.9117647	0.98039216
283120	102724852	1.0	1.0	1.0
57082	728833	0.98539865	0.85294116	0.9607843
57082	10051	1.0	0.88235295	0.9583333
