Gene1	Gene2	Weight
6029	107987206	1.0
283120	102724852	1.0
100533990	344	0.9946003
100507118	9055	0.9828431
2124	1794	0.9705882
378706	105378179	0.96813726
729533	653820	0.96653813
84182	100526825	0.96495265
51203	701	0.96486926
283120	103344718	0.96405226
51203	57082	0.9632352
54443	10721	0.96241826
3619	9833	0.96241826
64151	728833	0.9600022
100126311	84419	0.9597854
112268460	10460	0.9591852
253650	100289137	0.9577649
220134	9837	0.9575164
78995	55388	0.9558824
283120	112267876	0.95424837
1230	942	0.9526493
1520	962	0.9517974
64151	9824	0.9517974
3833	24137	0.9517974
2124	5788	0.95098037
56833	968	0.95098037
4001	4288	0.95098037
101929215	7060	0.95016336
64151	57082	0.94934636
259266	9928	0.9469302
57082	10051	0.9468954
8832	219855	0.9468954
55789	81930	0.9460785
990	55215	0.9452963
56833	8832	0.9452615
79968	26271	0.9444793
1318	53831	0.9444793
7272	84823	0.9444444
7148	7146	0.94366235
714	54518	0.9436274
54440	4688	0.9436274
100507118	983	0.9436274
7272	11065	0.9436274
8318	9156	0.9436274
699	157313	0.9436274
3833	22974	0.9436274
962	56253	0.94362146
55365	28959	0.9428105
714	713	0.9428105
11006	10437	0.9428105
51512	891	0.9428105
151648	100874028	0.9428105
968	64005	0.9419935
54209	752	0.9412113
968	2123	0.9411765
5788	11262	0.9411765
1520	9595	0.94039434
55789	84823	0.9403594
51659	113130	0.9403594
1033	254251	0.9403594
54821	3833	0.9403594
993	6241	0.93957734
51299	105374898	0.93957734
56833	9595	0.93957734
995	4001	0.93957734
27240	6352	0.93946797
27240	915	0.9383908
2124	1520	0.9379085
11065	100874028	0.9379085
100506428	874	0.93712634
11130	55143	0.93712634
915	1234	0.93701696
64151	653820	0.93630934
10261	146722	0.93630934
1520	4069	0.9362745
1520	3683	0.9362745
79915	7516	0.9362745
962	57823	0.9362745
4001	9833	0.9362745
9582	100874530	0.93549234
5724	4688	0.9354575
57082	26586	0.9354575
713	10673	0.9354575
79961	81030	0.9346754
54440	84868	0.9346406
7468	146909	0.93464047
9046	11314	0.93464047
10733	4085	0.93464047
105373581	55240	0.933749
54209	1318	0.9330414
64151	7153	0.9330066
9595	26191	0.9329321
915	27334	0.93230575
899	29089	0.93222433
4751	29089	0.9321895
10293	284992	0.9321895
338382	103021296	0.93207794
2124	22797	0.9314074
2124	1234	0.9314074
714	257106	0.9314074
1139	89832	0.9314074
3833	10112	0.9314074
51203	1017	0.9313726
4751	150468	0.9313726
81624	9824	0.9313726
11339	90417	0.9313726
83540	55247	0.9305904
728833	4751	0.9305904
26271	701	0.9305904
57082	11339	0.9305556
9133	151648	0.9305556
4751	157313	0.9305556
915	914	0.9302209
2124	2359	0.9297386
11006	8832	0.9297386
5724	11314	0.9297386
56833	54440	0.9297386
9133	6241	0.9297386
3383	713	0.9297386
54821	4288	0.9297386
1043	6352	0.9297386
124222	63967	0.9297386
3575	11262	0.9296641
54518	29909	0.9293985
728833	554282	0.92803
923	3561	0.92803
5880	968	0.9264706
925	926	0.92613596
4064	146722	0.92568845
79019	113130	0.92568845
54440	257106	0.92568845
8318	100874028	0.92565364
7805	27036	0.9253189
343099	894	0.92487144
54440	10538	0.92483664
3833	51512	0.92483664
3702	27240	0.92410296
921	6352	0.9239562
915	923	0.92205095
921	149628	0.9215929
915	84636	0.92149407
1058	84057	0.9199695
5880	3689	0.9199347
7805	84868	0.9199347
11004	4998	0.9199347
6241	80119	0.9199347
25818	5650	0.90885
3481	723961	0.6666667
2124	5788	0.95098037
2124	1794	0.9705882
1520	962	0.9517974
1520	1234	0.9575512
64151	728833	0.9600022
64151	9824	0.9517974
54440	1794	0.95016336
54440	3689	0.96486926
915	6352	0.977159
3833	24137	0.9517974
