interaction;name
ICMT-DT;MCIDAS
GAGE12H;DLX6-AS1
FRGCA;MCIDAS
LINC01971;TMEM171
FOXD3-AS1;LOC107985492
LOC105372115;CSAG3
DACT2;STMN2
BUB1;NUSAP1
MELK;NUSAP1
APOC4-APOC2;APOC2
ANLN;NUSAP1
SKA1;PRC1-AS1
LINC01016;LOC105375027
CEP55;NUSAP1
SLC26A9;LOC105374986
CDC20;SPAG5
LUCAT1;LOC107985492
CDK1;NUSAP1
UHRF1;NUSAP1
HMMR;TTK
TOP2A;NUSAP1
ZWINT;TTK
IQGAP3;ESPL1
NUF2;NUSAP1
KLK7;KLK5
CKAP2L;CDCA2
LOC107984763;LPAR3
TOP2A;PRC1-AS1
UHRF1;PRC1-AS1
NCAPH;TTK
SHCBP1;NUSAP1
CDCA5;PRC1-AS1
ANLN;TTK
ASPM;SPAG5
IGLV3-1;IGKJ5
PRR9;KRT71
KIF23;ARHGAP11A
SKA1;NUSAP1
TOP2A;KNL1
TENM2;IRF6
CEP55;TTK
MKI67;SPAG5
NCAPH;NUSAP1
UHRF1;TTK
THBS4-AS1;COL8A1
SHCBP1;KNL1
AURKB;SPAG5
NCAPG;KNL1
SPC25;SPAG5
CEP55;KNL1
PCLAF;KNL1
NEK2;TTK
LMNB1;NUSAP1
LUARIS;LOC105373150
PCLAF;E2F2
NUF2;KNL1
MYBL2;SPAG5
CEP55;PRC1-AS1
SKA3;TTK
KIFC1;ESPL1
PBK;PRC1-AS1
HMMR;NUSAP1
NCAPG;NUSAP1
PRR11;SPAG5
UBE2C;PRC1-AS1
SKA1;SPAG5
CDCA5;SPAG5
LOC107985017;ESPL1
HJURP;KNL1
PTTG1;SPAG5
RRM2;NUSAP1
SKA3;PRC1-AS1
CDC20;PRC1-AS1
KIF4A;PRC1-AS1
CDK1;KNL1
LOC105375690;LOC107985492
JCHAIN;RUNX3
CMTM5;IRS4
LINC01943;IRX3
SHCBP1;PRC1-AS1
SMOC2;STMN2
KNL1;NUSAP1
TRAT1;SLC27A2
HJURP;NUSAP1
SPC25;PRC1-AS1
MELK;PRC1-AS1
IQGAP3;NUSAP1
SLAMF9;ILDR1
E2F7;NUSAP1
LOC100288637;TTK
IQGAP3;PRC1-AS1
BIRC5;PRC1-AS1
CXCL9;CXCL10
RUNX3;TRAC
KRT31;KRT71
BUB1;TTK
FAM72B;MAD2L1
MCM10;E2F2
IGHG3;IGKJ5
PLK1;ESPL1
AURKB;PRC1-AS1
SAPCD2;SPAG5
SPC25;KNL1
CCNB2;SPAG5
HJURP;PRC1-AS1
PCLAF;NUSAP1
AURKB;ESPL1
CCNB1;NUSAP1
LOC101928202;KIF14
RRM2;PRC1-AS1
CENPF;PRC1-AS1
TROAP;E2F2
IQGAP3;SPAG5
DLGAP5;NUSAP1
MKI67;ESPL1
DLGAP5;PRC1-AS1
PBK;KNL1
TTK;NUSAP1
SKA1;ESPL1
PRC1;NUSAP1
SRL;IRX3
MELK;TTK
CDC20;ESPL1
ACAN;AK5
HMMR;KNL1
PRC1-AS1;NUSAP1
BIRC5;CDCA2
CMTM5;LOC107986990
ST14;ARHGAP11A
DLGAP5;SPAG5
KIF11;NUSAP1
LRRC55;ASF1B
PBK;TTK
CDK1;TTK
LOC107986951;SFRP1
UBE2C;SPAG5
CCNB2;PRC1-AS1
CLDN1;LOC284240
BIRC5;E2F2
FAM111B;NUSAP1
LOC101928658;STMN2
CDK1;PRC1-AS1
HMMR;PRC1-AS1
CDC25C;PRC1-AS1
RRM2;KNL1
HJURP;SPAG5
KIF4A;TTK
OLR1;TRAC
ASPM;KNL1
KIF18B;NUSAP1
KIF18B;SPAG5
SCN7A;COL8A1
SKA3;NUSAP1
RRM2;CDCA2
GBP5;CXCL10
PTTG1;PRC1-AS1
POLQ;NUSAP1
BFSP2;LINC03016
SRL;CPLX3
PBK;NUSAP1
LOC105375610;ESPL1
RRM2;E2F2
NCAPG;E2F2
PCLAF;CDCA2
LOC107986606;LOC107985492
NUF2;PRC1-AS1
ULBP2;OLR1
NUF2;TTK
ESCO2;NUSAP1
TOP2A;TTK
LOC107985017;PRC1-AS1
CCNB1;TTK
MCM10;NUSAP1
KIFC1;AGTR2
COL11A1;COL8A1
IQGAP3;TTK
GALNT9;IRF6
LOC112268460;HAPLN1
KRT31;LINC02998
PCLAF;KIF14
ANLN;PRC1-AS1
CLSPN;E2F2
SHCBP1;SPAG5
ASF1B;PRC1-AS1
COL11A1;STMN2
ASF1B;NUSAP1
AURKA;MKX
SERPIND1;LOC105377043
MAP3K9-DT;SRL
BIRC5;KNL1
CDC45;E2F2
KIF15;KNL1
TPX2;NUSAP1
PDCD1;SIRPG
KIF11;KNL1
WDR62;CLGN
PRLHR;IL21R
TCF21;IRX3
SPC25;E2F2
KLK6;IFI30
IGHG3;JCHAIN
FOXM1;SPAG5
KIFC1;PRC1-AS1
KIF18B;PRC1-AS1
TROAP;SPAG5
MAP3K9-DT;SALL4
MKI67;E2F2
CCNB1;KIF14
IFI30;STMN2
PTTG1;ESPL1
IRS4;PIMREG
COL11A1;LRRC15
AK5;STMN2
SERPINA1;IL21R
CKAP2L;NUSAP1
AK5;MMP9
GTSE1;CDCA2
SLC22A11;IRF6
