interaction,Kendall,name,NMI,selected,shared interaction,shared name,Spearman,Weight
APOC4-APOC2,1.0,APOC2,0.983801,False,APOC4-APOC2,APOC2,1.0,0.9946002960205078
NUSAP1,0.9117647,BUB1B,1.0,False,NUSAP1,BUB1B,0.98284316,0.964869260787964
ANLN,0.9117647,POLQ,1.0,False,ANLN,POLQ,0.9754902,0.962418258190155
FAM72D,0.9117647,NCAPG,0.98539865,False,FAM72D,NCAPG,0.98284316,0.9600021839141846
MIR147B,0.9705882,C15orf48,0.9161209,False,MIR147B,C15orf48,0.99264705,0.9597854018211364
TACC3,0.9117647,LOC112268460,0.98539865,False,TACC3,LOC112268460,0.98039216,0.9591851830482484
FAM95C,0.93846154,ANKRD18A,0.9522031,False,FAM95C,ANKRD18A,0.98263025,0.9577649235725404
ARHGAP11A,0.89705884,NCAPG,1.0,False,ARHGAP11A,NCAPG,0.9583333,0.9517974257469176
IFNE,0.92781705,MIR31HG,0.94629127,False,IFNE,MIR31HG,0.9789931,0.9510338306427002
KNL1,0.88235295,NCAPG,1.0,False,KNL1,NCAPG,0.96568626,0.949346363544464
LINC01583,0.9331953,LOC105370924,0.922679,False,LINC01583,LOC105370924,0.9760432,0.9439725279808044
GTSE1,0.86764705,CCNB1,1.0,False,GTSE1,CCNB1,0.9607843,0.9428104758262634
KNL1,0.85294116,BUB1B,1.0,False,KNL1,BUB1B,0.96568626,0.9395424723625184
CKAP2L,0.86764705,NCAPG,1.0,False,CKAP2L,NCAPG,0.9485294,0.938725471496582
NCAPG,0.85294116,BUB1B,1.0,False,NCAPG,BUB1B,0.9607843,0.9379084706306458
FAM72B,0.86764705,NCAPG,0.98539865,False,FAM72B,NCAPG,0.9558824,0.9363093376159668
LMNB1,0.85294116,MELK,1.0,False,LMNB1,MELK,0.9558824,0.936274528503418
APOBEC3B,0.86764705,APOBEC3B-AS1,0.98539865,False,APOBEC3B,APOBEC3B-AS1,0.95343137,0.9354923367500304
CDK1,0.85294116,PRC1,1.0,False,CDK1,PRC1,0.95343137,0.9354575276374816
TOP2A,0.8382353,NCAPG,1.0,False,TOP2A,NCAPG,0.9607843,0.9330065846443176
ZWINT,0.86764705,CCNB1,1.0,False,ZWINT,CCNB1,0.9289216,0.9321895241737366
CKAP2L,0.8382353,NEK2,1.0,False,CKAP2L,NEK2,0.9558824,0.9313725829124452
FAM72D,0.85294116,NEK2,0.98539865,False,FAM72D,NEK2,0.95343137,0.9305903911590576
CDCA2,0.8382353,NEK2,1.0,False,CDCA2,NEK2,0.95343137,0.9305555820465088
CCNB2,0.8382353,RRM2,1.0,False,CCNB2,RRM2,0.95098037,0.9297385811805724
CDCA2,0.8382353,NCAPG,1.0,False,CDCA2,NCAPG,0.9411765,0.9264705777168274
FAM72B,0.8382353,NEK2,0.98539865,False,FAM72B,NEK2,0.95343137,0.9256884455680848
FAM72B,0.8382353,BUB1B,0.98539865,False,FAM72B,BUB1B,0.95343137,0.9256884455680848
TTK,0.8382353,MELK,1.0,False,TTK,MELK,0.9362745,0.9248366355895996
ERCC6L,0.8382353,MELK,1.0,False,ERCC6L,MELK,0.9338235,0.9240196347236632
FAM72A,0.8235294,NEK2,1.0,False,FAM72A,NEK2,0.9460784,0.9232026934623718
