GEN1,GEN2
KCNMB2,LOC105370337
KCNMB2,STIL
KCNMB2,E2F8
KCNMB2,EZH2
KCNMB2,CDKN2B-AS1
KCNMB2,ASF1B
KCNMB2,CDK2
KCNMB2,TOP2A
KCNMB2,NUF2
KCNMB2,LHX2
KCNMB2,CCDC18
KCNMB2,ATAD5
KCNMB2,EP300-AS1
KCNMB2,E2F1
KCNMB2,ARHGAP11A
KCNMB2,CDCA8
KCNMB2,WDR76
KCNMB2,NEIL3
KCNMB2,MIR3198-2
KCNMB2,BUB1B
KCNMB2,SMCO3
KCNMB2,IGFBPL1
KCNMB2,TMEM106C
KCNMB2,TBX18
KCNMB2,MCM2
KCNMB2,CKS2
KCNMB2,KIF20A
KCNMB2,FAM111B
KCNMB2,ZNF367
KCNMB2,TMPO-AS1
KCNMB2,WDR62
KCNMB2,KIF18B
KCNMB2,CDC7
KCNMB2,TMEM201
KCNMB2,FANCD2
KCNMB2,LOC107986126
KCNMB2,NCAPG
KCNMB2,CENPE
KCNMB2,NCAPG2
KCNMB2,LOC100288637
KCNMB2,NUSAP1
KCNMB2,NSD2
KCNMB2,CENPF
KCNMB2,CDCA7L
KCNMB2,PRC1-AS1
KCNMB2,DEPDC1
KCNMB2,PRC1
KCNMB2,ATP6V0E2
KCNMB2,BRIP1
KCNMB2,PTEN
KCNMB2,CELSR3
KCNMB2,KNL1
KCNMB2,ESPL1
KCNMB2,CCND2
KCNMB2,LRRC37A8P
KCNMB2,FBXO5
KCNMB2,CENPU
KCNMB2,CDK1
KCNMB2,BUB1B-PAK6
KCNMB2,CHAF1A
KCNMB2,MND1
KCNMB2,GASK1B
KCNMB2,TFDP1
KCNMB2,ANLN
KCNMB2,CKAP2L
KCNMB2,C5orf34
KCNMB2,ATAD2
KCNMB2,SMC2
KCNMB2,TIMELESS
KCNMB2,POLQ
KCNMB2,DSN1
KCNMB2,PCDHAC1
KCNMB2,MMS22L
KCNMB2,DNMT1
KCNMB2,PSRC1
KCNMB2,IQGAP3
KCNMB2,EMC3-AS1
KCNMB2,LIG1
KCNMB2,HPCAL1
KCNMB2,BCL2L11
KCNMB2,BRME1
KCNMB2,HMGB2
KCNMB2,PHF19
LOC105370337,KCNF1
ICAM1,TNFRSF9
ICAM1,C1QB
ICAM1,DOCK2
ICAM1,BCL11B
ICAM1,SLC37A2
ICAM1,APBB1IP
ICAM1,TNFRSF18
TNFRSF9,DOK2
TNFRSF9,CD48
TNFRSF9,CTSS
TNFRSF9,GK
TNFRSF9,NKD1
TNFRSF9,CCR5
TNFRSF9,ETV7
TNFRSF9,LAPTM5
TNFRSF9,EPSTI1
TNFRSF9,ANKRD22
TNFRSF9,C1QB
TNFRSF9,BATF2
TNFRSF9,CGAS
TNFRSF9,GBP5
TNFRSF9,OASL
TNFRSF9,NFAM1
TNFRSF9,PATL2
TNFRSF9,DOCK2
TNFRSF9,APOL6
TNFRSF9,SIGLEC7
TNFRSF9,CORO1A
TNFRSF9,EVI2B
TNFRSF9,IL7R
TNFRSF9,IFI30
TNFRSF9,EDEM1
TNFRSF9,DOCK10
TNFRSF9,ADAMDEC1
TNFRSF9,PTPN22
TNFRSF9,ADCY5
TNFRSF9,MAFB
TNFRSF9,LOC100419170
TNFRSF9,TAP1
TNFRSF9,ITGB2
TNFRSF9,KLHL6
TNFRSF9,PDCD1LG2
TNFRSF9,RIPK2
TNFRSF9,CD86
TNFRSF9,CALHM6
TNFRSF9,SP140
TNFRSF9,FPR3
TNFRSF9,GFI1
TNFRSF9,CD4
TNFRSF9,IRF1
TNFRSF9,EVI2A
TNFRSF9,SIRPG
TNFRSF9,SLC37A2
TNFRSF9,CASP1
