interaction;name
IL33;PAX6
ANP32E;MZT1
TFEC;RFC3
S100A3;ASB5
LAMB3;PAX6
CBR3;RFC3
CTSS;IFI44
WNT2B;MSC-AS1
ICAM1;CENPH
RIPK2;ZDHHC13
HSD11B2;HOXD4
PTPRC;EVI2B
THRIL;HOXD3
LOC101928658;JAK3
CDT1;DRD2
IFI44L;IFI44
LCK;EOMES
PDK1;SIGLEC7
SMC2;ASB5
GBP5;DENND2D
RAC2;EOMES
CLHC1;HOXD4
GALNT6;LOC102723996
SAP30;BCAR3
HAVCR2;JAK3
GPR174;CCL5
BST1;MSC-AS1
APOC1;SBK1
ALX4;JAK3
PYHIN1;P2RY10
LOC105373150;LUARIS
IL33;TFDP1
GPR183;E2F3
MTFP1;RFC3
SPDYE2B;PAX6
SLC20A1;SYTL3
SH3BGRL3;CLHC1
MIR100HG;TRPV2
CTSZ;RFC3
MATK;DENND2D
NDRG2;RFC3
SIRPG;DENND2D
PLEK;DOCK2
ISOC1;CLHC1
KRT8;PAX6
PCK2;JAK3
UPP1;RFC3
BARD1;MZT1
SPC25;MKI67
RGS1;CXCR4
PSRC1;CHAF1B
ARMC9;SLC12A5-AS1
KIFC1;PBK
C7;JAK3
IFI30;JAK3
HJURP;MKI67
LHPP;TUBB4B
SCARNA5;TFDP1
CHAF1A;HDGF
RPA3;IGFBP4
BARD1;ASB5
MAFB;SLC12A5-AS1
DCST2;TFDP1
OSBPL1A;TFDP1
ICAM1;IFI44
INCENP;TFDP1
SLC7A11;SMC4
PTEN;DDIAS
XRCC2;DRD2
CDK1;MELK
TRNM;ECM1
DBF4;VSTM4
MASTL;PAX6
LPIN2;FOXP4-AS1
LOC401021;BCAR3
PRC1-AS1;PBK
IL12RB1;EVI2B
SAPCD2;LINC00472
TACC3;TIFA
DNMT3B;C1GALT1
LMNB2;DRD2
ARSJ;CMTM5
SLC2A6;SLC12A5-AS1
CD8A;EOMES
COL4A5;HOXD4
TMEM156;EOMES
SLA;ASB5
USP1;TFDP1
DPY19L2P2;EPHB1
MOCOS;HOXD3
NUDT1;TFDP1
FLNB-AS1;RIN1
LOC112268423;STARD13-AS
STON1;SMANTIS
STON1-GTF2A1L;MMP1
CCR5;EOMES
ADORA3;SH2D4A
TRAC;EVI2B
ENO1;TUBB4B
NCAPH;PBK
NCAPD2;LOC107984131
CYYR1;PDCD1LG2
ARHGEF3;LINC01016
KIF20A;PBK
LMNB2;H2AX
ISM2;PASK
MIR155HG;CLHC1
GPC3;MIR4435-2HG
GUCY1A2;LOC105369147
SLC25A40;MZT1
C4orf46;MZT1
PRKCD;LOC101929657
OSBPL1A;MZT1
DEPDC1;PIMREG
KIF2C;PBK
IQGAP3;PBK
CD3E;EVI2B
FAAP24;HELLS
STAT1;PAX6
CENPU;LOC101929657
SLC2A6;IGFBPL1
TNXA;TRPV2
C1QB;BATF
CBR4;MZT1
SCARNA5;ALYREF
PCOLCE-AS1;MIR675
ADAM8;STAC3
ARL6IP1;STAC3
NT5DC2;POC1A
PLCH2;CHI3L2
ITGAX;DENND2D
PSD4;CENPH
APOA1;TRPV2
BCAR3;MIMT1
TRAF1;DOCK2
SMC4;GASK1B
IL21R;JAK3
CSTA;C1orf74
COCH;HOXD4
RAD54L;IGFBP4
ZDHHC12;RGS6
ISG20;TBC1D10C
FOXH1;SYTL3
UBE2S;C1GALT1
PAQR4;SLC12A5-AS1
FEN1;C1GALT1
ADAMTS9-AS1;TUBA1B
SERINC2;MSC-AS1
CBR4;GASK1B
LOC101928842;BCAR3
CGAS;FAAP24
ESPL1;MIR675
NCF2;VSTM4
AURKA;TUBB4B
DAAM1;DDIAS
PBK;MELK
HOPX;JAK3
RAB7B;HOXD3
PBLD;PILRA
RYR3;SLC12A5-AS1
LOC101928842;COL27A1
MT2A;SYTL3
MIR503HG;ALYREF
PLEKHO1;E2F3
CCNA2;DDIAS
DSN1;LRRC55
HLA-G;ALYREF
HAS2-AS1;ECM1
ITGA10;CENPH
PKMYT1;MKI67
C5orf34;CLHC1
PTPRJ;TREML1
WSCD2;CLSPN
ADORA3;JAK3
IGFBP4;DRD2
DHCR24;ADAM19
CYTOR;RFC3
TMEM107;JAK3
BRME1;E2F3
RANBP1;C1GALT1
ANO1;GATA5
LOC107986466;LOC101929657
PMCH;GASK1B
NCAPG;PBK
KNSTRN;PIMREG
MAD2L1;RFC3
CFAP210;HOXD4
DLGAP5;PBK
ARL6IP1;CEP15
KCNMA1;WDR62
C7;BATF
TRPA1;MSC-AS1
SLC25A40;ASB5
NKD1;LOC105377402
CCSAP;TIFA
REXO5;TFDP1
SMANTIS;HOXD4
IL12RB1;DOCK2
MYO1G;P2RY10
TRAF4;TFDP1
CEMIP2;IGFBP4
PSD4;DENND2D
MASTL;TFDP1
E2F1;IRS4
DPF1;RASD2
CCR5;P2RY10
CBR4;PAX6
ATP10A;BCAR3
SLC25A40;TFDP1
SIGLEC8;SMC4
RYR3;HOXD3
FBXO5;TFDP1
INCENP;ECM1
MEI1;GATA5
HOXC9;HOXC8
MOBP;MIR675
FHL5;FANCE
TACC3;MKI67
CASC8;RASD2
GAPDH-DT;MSC-AS1
CDK2;RFC3
ANOS1;RAB7B
FIRRE;TUBB4B
LOC100288637;MELK
EOMES;P2RY10
CD5;EVI2B
ABCD2;IGFBPL1
RUNX2;ADAMTSL5
CMTM5;IRS4
TOP2A;MELK
TCF21;ZDHHC13
ENTPD1;FOXP4-AS1
PTX3;IFI44
CLHC1;HELLS
TRPA1;ADCY5
TCF19;PSRC1
CLRN1-AS1;MINDY4B
CORO1A;SLAMF8
GINS2;IGFBP4
TPX2;MELK
NHSL3;PIMREG
IRAK1;POC1A
SRD5A2;CLHC1
PARVA;FAAP24
COX10-DT;RFC3
PSMB9;C1orf74
MAST1;COL27A1
SSC4D;SPTB
EFNA5;PIMREG
PATL2;DENND2D
SLC1A3;BCAR3
PPP1R13L;CLHC1
FMNL1;SLAMF8
HOXB3;C1GALT1
CIMIP2A;ALYREF
DHFR;CEP15
LINC00673;CCDC150
CXCL9;DENND2D
KCNK6;DRD2
F2RL2;MMP1
PRC1-AS1;MELK
RASEF;MYT1
CTSD;GASK1B
EZR;RFC3
LOC107985034;CLHC1
DBI;CLHC1
