Gene,Degree
DRAXIN,11
CDC20,46
KIF2C,40
DEPDC1,40
LPAR3,10
FAM72B,45
FAM72C,46
FAM72D,45
NUF2,39
FAM72A,47
EXO1,33
CENPA,47
NT5DC4,44
SPC25,43
HJURP,47
SGO1,47
SGO1-AS1,46
TACC3,49
LOC112268460,49
NCAPG,51
DEPDC1B,46
CCNB1,49
KIF4B,24
PTTG1,30
H2BC9,7
KIFC1,45
ULBP1,1
ANLN,37
CDCA2,47
PBK,36
CDKN2A,13
CDKN2B-AS1,25
FAM95C,14
ANKRD18A,12
LHX2,48
ZWINT,32
KIF11,48
E2F7,30
DIAPH3,26
CDKN3,41
ARHGAP11A,41
BUB1B,47
NUSAP1,46
CCNB2,39
PCLAF,38
CCNF,54
HASPIN,26
LRRC37A8P,11
RDM1,36
TOP2A,49
HOXB13,10
BIRC5,32
MIR924HG,30
SKA1,47
UHRF1,37
ASF1B,38
WDR62,45
MYBL2,29
CDC45,24
GTSE1,43
