attr_name,DRAXIN,CDC20,KIF2C,DEPDC1,LPAR3,FAM72B,FAM72C,FAM72D,NUF2,FAM72A,EXO1,CENPA,NT5DC4,SPC25,HJURP,SGO1,SGO1-AS1,TACC3,LOC112268460,NCAPG,DEPDC1B,CCNB1,KIF4B,PTTG1,H2BC9,KIFC1,ULBP1,ANLN,CDCA2,PBK,CDKN2A,CDKN2B-AS1,FAM95C,ANKRD18A,LHX2,ZWINT,KIF11,E2F7,DIAPH3,CDKN3,ARHGAP11A,BUB1B,NUSAP1,CCNB2,PCLAF,CCNF,HASPIN,LRRC37A8P,RDM1,TOP2A,HOXB13,BIRC5,MIR924HG,SKA1,UHRF1,ASF1B,WDR62,MYBL2,CDC45,GTSE1
DRAXIN,1.0,0.40707722199412105,0.09324872041379977,0.2633513440296605,0.8579645252756186,0.25364180914813095,0.35983728051552205,0.37577954142430475,0.27586597199255086,0.20606343316791045,0.06385885789714531,0.07010694962947218,0.39014918754905703,0.47633386291098173,0.17630316414019298,0.18624847888491464,0.1475190010326652,0.42748943138090223,0.47673119518958856,0.3906539135496963,0.6081088204654543,0.458510514022336,0.5325430495302225,0.18665647384694828,0.06207214060727869,0.47789655870939696,-0.09598284769070976,0.07229805420164177,0.1926621523915491,0.3246864018033831,0.5782067190425326,0.45793042710053994,0.5467693096614058,0.9338624550638692,0.2932596685200728,0.27899322436875196,0.24324353469034182,0.12376076167316333,-0.009222371121333018,0.2547805171157285,0.24307699641982433,0.44156194035479446,0.578304927592367,0.09664457230857315,-0.009844554826180968,0.513826123464507,0.21485147566801904,0.12827241606763223,0.492498048220429,0.27318079431162945,0.5666732641992224,0.1548827094997839,0.5867932133927787,0.21844751513897115,0.05539588334336897,0.22780198156995718,0.4384427873872265,0.025184556566192236,0.08486962365982303,0.38358846478659525
CDC20,0.40707722199412105,1.0,0.8388304732343237,0.8519470856206954,0.43441503900083495,0.7314212420745965,0.6806052769167267,0.7937612529702494,0.8539443611923597,0.6702932990817928,0.6675438059037331,0.6482320459148451,0.772249245867931,0.6472028232018165,0.7702008763834071,0.6310137797774358,0.6937394116070501,0.8251002668590399,0.8091274393155623,0.8808748236400917,0.7157988846561655,0.8599155057393439,0.5193862123703493,0.6594840536223125,0.191766885816047,0.8898629231194495,0.28857119290051114,0.7497153888728189,0.849472272984367,0.8161929805691215,0.3043383895866111,0.4152265835246133,0.25578405483630434,0.3348690748006128,0.7729377748443238,0.7399754989290797,0.7971674356807761,0.6800471055058565,0.449121109897645,0.6507538197795802,0.664700707201128,0.7888133713413715,0.6861685726495208,0.45100697154824726,0.5792376125714147,0.8474971725139214,0.6460404321156333,0.47020790290903974,0.564910051826413,0.8192063370537671,0.2741133238105233,0.6068504265835258,0.4352087150677204,0.8398288550436876,0.6058954787181883,0.5778249467542574,0.7703580016481234,0.5760301443381562,0.43253735902575463,0.8720823309449224
KIF2C,0.09324872041379977,0.8388304732343237,1.0,0.8672489182893329,0.0709661478201512,0.778007078372995,0.586542371969671,0.7169743183112972,0.872889845279847,0.6826452935409553,0.6508887190909136,0.63044302332026,0.688522095152204,0.37168534354549826,0.5866757961495437,0.5853959508506014,0.7218128363663079,0.6031589223083226,0.5986823972249438,0.7628711626961987,0.6587823181026289,0.7973156219352884,0.47480255747287275,0.468381192536281,0.11290507428993095,0.7632592566132904,0.34911628869287065,0.5907302814126728,0.824412285816832,0.7439349864754053,0.07944648209656058,0.12354317726403496,-0.08825724928301901,-0.03219881505370377,0.650265695219804,0.8654156567560088,0.8333651461452988,0.7857671340076666,0.33458475855630915,0.5618007536044237,0.4309432059078711,0.7331538715987592,0.48021608459415105,0.4103864372941041,0.7330778150642019,0.5442941973853928,0.5830245714343658,0.18950058920139262,0.28745599896393903,0.6545223201819232,0.11049396711363423,0.5024979785227038,0.2979463999664234,0.6997923947854585,0.8488905666562357,0.438832746117812,0.531163952394031,0.5326291631669301,0.5060994550885084,0.876376040916628
DEPDC1,0.2633513440296605,0.8519470856206954,0.8672489182893329,1.0,0.19356080192244898,0.8442441470683882,0.7093226199834629,0.850007376629075,0.9165286484941341,0.7256668032817826,0.4560541465535996,0.6847452892640566,0.6905755119034338,0.4284153745027868,0.628573403924103,0.5874371193721454,0.5854840473631759,0.6177034536660465,0.6152616127757341,0.8864105912450422,0.6524522213628565,0.777068399583997,0.3618754431433933,0.3574854174640788,-0.05588173856272352,0.7652992091720404,0.0752283084332875,0.7834441338200908,0.8723428706353334,0.8519352560987279,0.3436484088739966,0.40064547968439057,0.1897349131956616,0.17574786826604447,0.8574428764010783,0.8606973683376137,0.7885014686643401,0.8237106191411723,0.45920381018998163,0.6449387701313594,0.6407822390461356,0.8705563980658526,0.6629113895502584,0.4144980498627018,0.6540890423026422,0.620755502719504,0.6184349791039329,0.5162601357559405,0.44362447420281614,0.8236142182329553,0.07012772700330004,0.35812279981791806,0.3878621023720298,0.6967597094968636,0.701375737821451,0.5865878003509291,0.6532201410316941,0.32838912785511565,0.3748107187507554,0.8500468848752544
LPAR3,0.8579645252756186,0.43441503900083495,0.0709661478201512,0.19356080192244898,1.0,0.16729408820158997,0.22255730800120915,0.2936584116430796,0.2016749199990317,0.1469597667846691,0.2646342706881911,0.16765991053438406,0.48138023512965766,0.6548783846985623,0.37422314721700217,0.11815022969356205,0.24692677693978307,0.41680948559372294,0.44383372363070345,0.3549937316540507,0.6428067854205033,0.4235894785643695,0.44429050707155143,0.2601465274785398,0.1181864054327014,0.5404997742173684,0.04354074475983193,0.1486874969217679,0.2941444043455603,0.2541842255076597,0.44891775760431085,0.34929050572877074,0.4987934059973994,0.8457862479870839,0.3693014970454659,0.22441854246185994,0.251287562676508,0.0030014374165917997,-0.09859931833295923,0.09957348272388272,0.22688128212401257,0.3488403533120451,0.46253025751424537,0.15636947985093216,0.027754190801072047,0.6014261545406756,0.2344597105908412,0.28817554742305596,0.5161958437170439,0.35304332271007927,0.7621682386542268,0.33283336913841455,0.665152110608836,0.36386749541645647,0.07071442463640507,0.19102027348793088,0.45285771220564536,0.20151628678313457,0.36938800385067855,0.3221002785237091
FAM72B,0.25364180914813095,0.7314212420745965,0.778007078372995,0.8442441470683882,0.16729408820158997,1.0,0.8434684548038284,0.9460474897171087,0.740942571538536,0.9484088490815467,0.5068155520129487,0.7124563985592549,0.5837626000320199,0.5608596953456648,0.5434188780916034,0.7175673003311805,0.6887820874530687,0.6538723954147005,0.6609679023567304,0.867962454023773,0.6593705917430708,0.8115865193440774,0.3492476648849591,0.5068921055148544,0.06146824100621699,0.6306593054079048,0.23097656303722755,0.5893071841083422,0.9065171675094451,0.8367921758727431,0.2677686295201691,0.42219476497835107,0.2493725061802068,0.14542157513010315,0.7632342144177362,0.8808846662613922,0.879645197460703,0.9351125876970448,0.5265830972921193,0.846512074723891,0.6607018649293682,0.8775275662557316,0.7596802741614073,0.6495887566437315,0.8977428002698085,0.6893851003167161,0.4608679167452732,0.2630782290944871,0.5641332823193418,0.7896906720395903,0.19278116904963805,0.5068789289954592,0.3211111467990518,0.6652061503322038,0.7942366591851149,0.7288262210267142,0.5623882418484888,0.351672530007461,0.4415653274623235,0.6733017238894377
FAM72C,0.35983728051552205,0.6806052769167267,0.586542371969671,0.7093226199834629,0.22255730800120915,0.8434684548038284,1.0,0.938666190513577,0.7111694959085918,0.9000933100117925,0.40685910287422095,0.6388686271334363,0.6087975278902393,0.6127599523597793,0.6395087390951053,0.8934600978211436,0.7129506800003472,0.7558463900393707,0.7559385503993513,0.8892291737482632,0.5922809526737801,0.7546932688416665,0.4913040655660872,0.48897709142714746,0.02259905694115579,0.6237386229216393,0.09178376295172472,0.6438966696196369,0.7094789936872351,0.6829181711453496,0.5537871433985461,0.7656330171667155,0.5210766811763966,0.3143575544302605,0.7380017585158699,0.6071010607168085,0.7413886474958041,0.7251768234851445,0.8103835432691434,0.9339493393807848,0.8862875638597619,0.9252478732901829,0.9197858288791352,0.7432131489645637,0.6309507690119855,0.7557412160940414,0.5050285420941005,0.28678530996160323,0.7007581073745554,0.8205974273855248,0.13242861779636042,0.37727623072525723,0.4877751755232222,0.5755369768972255,0.5144932938968377,0.8547119713693347,0.7779434173567531,0.37087047029014253,0.2888545729562268,0.6655974611612739
FAM72D,0.37577954142430475,0.7937612529702494,0.7169743183112972,0.850007376629075,0.2936584116430796,0.9460474897171087,0.938666190513577,1.0,0.8172509873452317,0.9189742074594963,0.4979701103525611,0.6845226481816754,0.6536228628064598,0.6413473696571432,0.6605076340197662,0.7947889288823701,0.706315908049468,0.7652678780553761,0.761983561482477,0.9528388912316709,0.6799787236231288,0.847426967247041,0.4643849835129114,0.5250569159051671,0.08000471139248459,0.7385945705231881,0.10275662088204293,0.7221828867980362,0.8776934024698689,0.8420484790522746,0.42031090905171964,0.613678126670771,0.4225784365308388,0.29613524568843985,0.8346986047410445,0.7964827300296102,0.8503090626987685,0.8398794456965628,0.652104654078087,0.8802319865724937,0.8161565349226324,0.9470238943685682,0.8666843081998898,0.655839154784911,0.7564963647574664,0.7938630119849075,0.5714994799065408,0.38844267560532364,0.6961080005202608,0.900673385823093,0.1752133797103155,0.47222973911085714,0.4458772002574084,0.7099869979414929,0.6610604348282387,0.7891453572900267,0.7325422369993573,0.3834210269395145,0.3811312103296488,0.7498547882871266
NUF2,0.27586597199255086,0.8539443611923597,0.872889845279847,0.9165286484941341,0.2016749199990317,0.740942571538536,0.7111694959085918,0.8172509873452317,1.0,0.6287347819170096,0.4981081890915676,0.5415813567029221,0.7066435705763509,0.38210086080966427,0.643849921984991,0.6280353421334068,0.6292843131101903,0.6690358407492606,0.6566907883102948,0.8832006860314102,0.6452294126435326,0.8120634397345959,0.5716269433432075,0.3582753937508425,0.08257528600348876,0.8668036873561673,0.00670230390981137,0.7931926729043512,0.7744843359769593,0.8081341433329431,0.31391436966363057,0.3766607141260206,0.12172186688246497,0.1577988328909872,0.7557986375813086,0.7966601303152082,0.7673971763371031,0.6948137927476996,0.44776178904611913,0.579405964513015,0.6075248762363897,0.8404491878791412,0.6104339547987999,0.32735956550625234,0.5283856197800001,0.5973436584171806,0.741129704795629,0.4034989921216328,0.44584767416289145,0.8153295807921844,-0.015162030140847538,0.3351578244996225,0.4252746801987202,0.7224561024166577,0.6590774424164193,0.4872672709034368,0.696603449970698,0.40588870495452584,0.3209569195935026,0.9437034358183451
FAM72A,0.20606343316791045,0.6702932990817928,0.6826452935409553,0.7256668032817826,0.1469597667846691,0.9484088490815467,0.9000933100117925,0.9189742074594963,0.6287347819170096,1.0,0.5737558527099691,0.8006442099226958,0.6251847203205824,0.6763496847890169,0.6346004237962217,0.8472627730607175,0.7950279891571198,0.7251227274692869,0.7299003799954126,0.8502977825732975,0.6517958132415091,0.7963028704981436,0.38206205558096523,0.5774920649119326,0.12473159935903641,0.5769876640905882,0.27707352371982447,0.551670070425754,0.8428560257121067,0.6917390292991902,0.3442904239460577,0.5268928082450937,0.3324874973552997,0.13140708245609678,0.7521510441280482,0.7240023895618054,0.8735085244982008,0.8366488405423762,0.6819373868421987,0.915976313690505,0.761830650381992,0.8708483142170813,0.8100738202641619,0.8395335680638678,0.8813441228629215,0.7386317496503592,0.4290691827243797,0.24158033283735977,0.6080960638437919,0.7829399858708557,0.2793138002097638,0.59024052022457,0.4077563153778708,0.6347778456259207,0.749536520285454,0.8233258521304629,0.6387412590503685,0.4783813137096554,0.5183881029063755,0.5995809213510944
