"interaction","name","selected","shared interaction","shared name"
"interacts with","BUB1B-PAK6 (interacts with) NEK2","false","interacts with","BUB1B-PAK6 (interacts with) NEK2"
"interacts with","BUB1B-PAK6 (interacts with) LOC105370705","false","interacts with","BUB1B-PAK6 (interacts with) LOC105370705"
"interacts with","BUB1B-PAK6 (interacts with) FOXE3","false","interacts with","BUB1B-PAK6 (interacts with) FOXE3"
"interacts with","BUB1B-PAK6 (interacts with) PRC1","false","interacts with","BUB1B-PAK6 (interacts with) PRC1"
"interacts with","BUB1B-PAK6 (interacts with) ANLN","false","interacts with","BUB1B-PAK6 (interacts with) ANLN"
"interacts with","BUB1B-PAK6 (interacts with) CCND2","false","interacts with","BUB1B-PAK6 (interacts with) CCND2"
"interacts with","BUB1B-PAK6 (interacts with) RDM1","false","interacts with","BUB1B-PAK6 (interacts with) RDM1"
"interacts with","BUB1B-PAK6 (interacts with) NCAPG","false","interacts with","BUB1B-PAK6 (interacts with) NCAPG"
"interacts with","BUB1B-PAK6 (interacts with) CAMK2N2","false","interacts with","BUB1B-PAK6 (interacts with) CAMK2N2"
"interacts with","BUB1B-PAK6 (interacts with) NUSAP1","false","interacts with","BUB1B-PAK6 (interacts with) NUSAP1"
"interacts with","BUB1B-PAK6 (interacts with) GAS2L3","false","interacts with","BUB1B-PAK6 (interacts with) GAS2L3"
"interacts with","BUB1B-PAK6 (interacts with) NCAPG2","false","interacts with","BUB1B-PAK6 (interacts with) NCAPG2"
"interacts with","BUB1B-PAK6 (interacts with) CDKN3","false","interacts with","BUB1B-PAK6 (interacts with) CDKN3"
"interacts with","BUB1B-PAK6 (interacts with) CDCA8","false","interacts with","BUB1B-PAK6 (interacts with) CDCA8"
"interacts with","BUB1B-PAK6 (interacts with) PMAIP1","false","interacts with","BUB1B-PAK6 (interacts with) PMAIP1"
"interacts with","BUB1B-PAK6 (interacts with) ATAD2","false","interacts with","BUB1B-PAK6 (interacts with) ATAD2"
"interacts with","BUB1B-PAK6 (interacts with) FAM72B","false","interacts with","BUB1B-PAK6 (interacts with) FAM72B"
"interacts with","BUB1B-PAK6 (interacts with) NUF2","false","interacts with","BUB1B-PAK6 (interacts with) NUF2"
"interacts with","BUB1B-PAK6 (interacts with) CKAP2L","false","interacts with","BUB1B-PAK6 (interacts with) CKAP2L"
"interacts with","BUB1B-PAK6 (interacts with) KIF18B","false","interacts with","BUB1B-PAK6 (interacts with) KIF18B"
"interacts with","BUB1B-PAK6 (interacts with) WDR62","false","interacts with","BUB1B-PAK6 (interacts with) WDR62"
"interacts with","BUB1B-PAK6 (interacts with) NSD2","false","interacts with","BUB1B-PAK6 (interacts with) NSD2"
"interacts with","BUB1B-PAK6 (interacts with) SACS-AS1","false","interacts with","BUB1B-PAK6 (interacts with) SACS-AS1"
