"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","1/1","130/8865",0.0146644106034968,0.0293288212069935,NA,"59350",1
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","1/1","368/8865",0.0415115623237451,0.0415115623237451,NA,"59350",1
