attr_name	Tumor1	Tumor2	Tumor3	Tumor4	Tumor5	Tumor6	Tumor7	Tumor8	Tumor9	Tumor10	Tumor11	Tumor12	Tumor13	Tumor14	Tumor15	Tumor16	Tumor18
DDX11L17	31.9947915572554	1.46980999398725	4.33179264148772	13.9043244485824	1.24314205722092	8.60622090014032	3.35277998384323	4.85869863937369	3.87763066876599	1.73823492217907	34.0329744106184	0	0	40.5569270015684	6.34080095137124	0.76548382864534	0
PLEKHN1	44.5988003525379	7.34904996993625	149.013666867178	72.9977033550579	43.5099720027322	1.22946012859147	87.1722795799239	4.85869863937369	7.75526133753199	13.9058793774326	24.5793704076689	9.50900457519994	1.82251594578976	8.11138540031368	29.326204400092	23.7299986880055	2.51228138349382
GNB1-DT	13.5735479333811	41.154679831643	10.3963023395705	10.4282433364368	2.48628411444184	0	2.23518665589549	49.5587261216117	14.5411150078725	5.21470476653722	11.3443248035395	0	0	1.15876934290195	6.34080095137124	5.35838680051738	6.69941702265019
PLCH2	7.7563131047892	5.14433497895537	192.331593282055	5.79346852024269	360.511196594067	0	62.5852263650736	1.94347945574948	7.75526133753199	1237.6232645915	7.56288320235965	33.2815160131998	10.0238377018437	10.4289240861176	1576.48163653467	29.0883854885229	5.86198989481892
ARHGEF16	0.96953913809865	19.8424349188279	149.880025395475	83.4259466914947	110.639643092662	4.91784051436589	4.47037331179097	91.3435344202255	7.75526133753199	254.651416099234	13.2350456041294	4.75450228759997	8.20132175605393	2.31753868580391	7.92600118921405	1.53096765729068	1.67485425566255
ICMT-DT	9.6953913809865	0	0.866358528297544	5.79346852024269	1.24314205722092	1.22946012859147	3.35277998384323	9.71739727874739	0	0.869117461089536	3.78144160117982	2.37725114379999	1.82251594578976	1.15876934290195	6.34080095137124	0	0
TNFRSF9	507.068969225594	61.7320197474645	0	34.7608111214561	186.471308583138	1.22946012859147	423.567871292194	1.94347945574948	50.4091986939579	15.6441142996117	13.2350456041294	112.919429330499	1.82251594578976	2.31753868580391	19.8150029730351	13.7787089156161	1.67485425566255
DRAXIN	76.5935919097933	52.1782547865473	7.79722675467789	2.31738740809707	27.3491252588603	9.83568102873179	8.94074662358194	18.46305482962	31.9904530173195	293.761701848263	32.1422536100285	17.8293835784999	4.5562898644744	20.8578481722352	30.9114046379348	6.88935445780806	0.837427127831274
FHAD1	162.882575200573	20.5773399158215	19.9262461508435	203.930091912543	44.7531140599532	11.0651411573233	58.1148530532826	0.971739727874739	150.258188414682	81.6970413424164	47.2680200147478	2.37725114379999	5.46754783736929	31.2867722583528	345.573651849732	440.918685299716	20.0982510679506
PLA2G2D	10.6649305190851	8.8188599639235	2.59907558489263	0	208.847865613115	0	2345.82839536231	1.94347945574948	0.969407667191499	0.869117461089536	5.67216240176974	173.539333497399	0	6.95261605741173	0	3.8274191432267	1.67485425566255
HTR1D	3.8781565523946	2.20471499098087	10.3963023395705	9.2695496323883	2.48628411444184	0	74.8787529724987	13.6043561902463	1.938815334383	12.1676444552535	9.45360400294956	0	0	2.31753868580391	3.17040047568562	0	0
E2F2	71.7458962193001	88.9235046362286	19.9262461508435	105.441127068417	94.47879634879	281.546369447447	48.0565131017529	164.224014010831	213.26968678213	126.891149319072	181.509196856632	35.6587671569998	9.11257972894881	127.464627719215	98.2824147462542	20.6680633734242	5.86198989481892
IL22RA1	8.72585224288785	116.114989524993	48.5160775846624	41.7129733457473	26.1059832016393	12.2946012859147	2.23518665589549	0	10.6634843391065	68.6602794260734	39.7051368123882	23.7725114379999	2.73377391868464	60.2560058309016	0	55.8803194911098	0.837427127831274
RUNX3	486.708647325522	68.3461647204071	135.151930414417	488.968743108483	1279.19317688033	988.485943387545	667.203216784802	102.032671426848	932.570175838222	88.6499810311327	50.1041012156327	345.890041422898	17.3139014850027	12.7464627719215	1016.11335245724	125.539347897836	29.3099494740946
RUNX3-AS1	25.2080175905649	1.46980999398725	5.19815116978526	17.3804055607281	29.8354093733021	45.4900247578845	18.9990865751116	3.88695891149896	44.5927526908089	9.5602920719849	0	14.2635068627999	0.911257972894881	0	94.3194141516472	3.8274191432267	2.51228138349382
CD52	292.800819705792	77.8999296813242	237.382236753527	72.9977033550579	2594.43747342006	4.91784051436589	2248.59777583086	17.4913151017453	159.952265086597	52.1470476653722	55.7762636174024	1152.96680474299	43.7403826989543	16.2227708006274	68.9562103461622	234.238051565474	86.2549941666212
CRYBG2	5.8172348285919	18.3726249248406	25.9907558489263	0	4.97256822888368	6.14730064295737	15.6463065912684	21.3782740132443	3.87763066876599	39.1102857490291	4.72680200147478	10.6976301470999	0	6.95261605741173	0	5.35838680051738	1.67485425566255
ZNF683	43.6292612144392	1.46980999398725	36.3870581884968	13.9043244485824	103.180790749336	0	112.876926122722	1.94347945574948	73.6749827065539	8.69117461089536	1.89072080058991	20.2066347222999	0	8.11138540031368	3.96300059460702	403.409977696094	0.837427127831274
SYTL1	30.0557132810581	41.8895848286366	559.667609280213	13.9043244485824	274.734394645823	1.22946012859147	330.807625072532	17.4913151017453	47.5009756923834	489.313130593409	9.45360400294956	80.8265388891995	10.9350956747386	9.27015474321564	8.71860130813545	58.9422548056912	34.3345122410822
SERINC2	161.913036062475	11.0235749549044	986.782363730902	480.857887180143	124.314205722092	12.2946012859147	915.308935589201	787.109179578539	11.632892006298	109.508800097282	40.6504972126831	11.8862557189999	16.4026435121079	28.9692335725489	573.049885980176	18.3716118874882	35.1719393689135
