attr_name	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Control9	Control10	Control11	Control12	Control13	Control15	Control16	Control17
DDX11L17	0.848720317943328	0	0	1.70193511229809	1.72801590979631	5.11455139687474	6.3764500247065	0	1.0475712260813	0	0	0	0	1.47791501957304	0	1.8648278678189
PLEKHN1	0	0.922133896700558	6.41258441208578	0.850967556149043	0.864007954898155	7.67182709531211	4.55460716050464	1.14023419072094	4.1902849043252	6.15083179755214	11.3780506173495	15.3949445751159	16.2935302944349	3.69478754893261	7.23581169025502	4.66206966954725
GNB1-DT	1.69744063588666	0	1.06876406868096	0	0	2.55727569843737	6.3764500247065	0	0	1.23016635951043	3.7926835391165	8.28958554044704	5.43117676481164	2.95583003914609	0	0
PLCH2	8.48720317943328	3.68853558680223	1.06876406868096	7.65870800534138	20.7361909175557	27.2776074499986	4.55460716050464	4.56093676288376	6.2854273564878	11.0714972355939	2.52845569274434	4.7369060231126	7.24156901974886	8.12853260765174	4.52238230640939	3.7296557356378
ARHGEF16	5.09232190765997	14.7541423472089	0	3.40387022459617	0.864007954898155	4.26212616406228	0.910921432100928	2.28046838144188	5.2378561304065	24.6033271902086	3.7926835391165	5.92113252889075	0	9.60644762722478	7.23581169025502	0.93241393390945
ICMT-DT	0	0	1.06876406868096	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF9	1.69744063588666	0.922133896700558	1.06876406868096	0	4.32003977449078	0	4.55460716050464	0	14.6659971651382	0	0	1.18422650577815	0	2.95583003914609	0	0
DRAXIN	0.848720317943328	1.84426779340112	0	1.70193511229809	1.72801590979631	0	1.82184286420186	0	1.0475712260813	2.46033271902086	0	8.28958554044704	1.81039225493721	11.0843626467978	7.23581169025502	0.93241393390945
FHAD1	10.1846438153199	14.7541423472089	23.5128095109812	5.10580533689426	13.8241272783705	3.40970093124983	8.19829288890836	9.12187352576752	11.5232834868943	24.6033271902086	13.9065063100938	16.5791710808941	41.6390218635559	21.4297677838091	13.5671469192282	17.7158647442795
PLA2G2D	0.848720317943328	0	6.41258441208578	0	3.45603181959262	2.55727569843737	0	0	3.1427136782439	4.92066543804171	0	3.55267951733445	0	0	0.904476461281877	0
HTR1D	0.848720317943328	0	0	2.55290266844713	0.864007954898155	0	0	0	0	0	0	0	0	0	0	0.93241393390945
E2F2	1.69744063588666	6.45493727690391	2.13752813736193	3.40387022459617	4.32003977449078	0	5.46552859260557	15.9632786700932	15.7135683912195	3.69049907853128	27.8130126201877	1.18422650577815	9.05196127468607	8.86749011743826	18.9940056869194	24.2427622816457
IL22RA1	2.54616095382998	7.37707117360447	0	3.40387022459617	0	8.52425232812456	10.0201357531102	0	1.0475712260813	0	24.0203290810712	7.10535903466889	0	11.8233201565843	5.42685876769126	0.93241393390945
RUNX3	54.318100348373	12.9098745538078	10.6876406868096	55.3128911496878	63.0725807075653	34.0970093124983	13.6638214815139	6.84140514432564	25.1417094259512	67.6591497730736	12.6422784637217	8.28958554044704	9.05196127468607	16.2570652153035	20.8029586094832	26.1075901494646
RUNX3-AS1	1.69744063588666	0	0	1.70193511229809	0	1.70485046562491	0.910921432100928	0	1.0475712260813	1.23016635951043	0	0	0	0.738957509786521	0	0
CD52	154.467097865686	23.9754813142145	21.3752813736193	109.774814743227	79.4887318506303	87.799798979683	103.845043259506	57.011709536047	141.422115520975	241.112606464044	78.3821264750744	123.159556600928	114.054712061044	80.5463685667308	152.856521956637	103.497946663949
CRYBG2	0	0	0	2.55290266844713	0.864007954898155	1.70485046562491	0	1.14023419072094	0	4.92066543804171	0	1.18422650577815	0	3.69478754893261	0	2.79724180172835
ZNF683	8.48720317943328	8.29920507030503	1.06876406868096	28.9328969090675	4.32003977449078	28.1300326828111	8.19829288890836	4.56093676288376	2.0951424521626	24.6033271902086	5.05691138548867	4.7369060231126	7.24156901974886	2.21687252935956	13.5671469192282	1.8648278678189
SYTL1	27.1590501741865	2.76640169010168	3.20629220604289	19.572253791428	38.880357970417	28.9824579156235	15.4856643457158	11.4023419072094	33.5222792346016	76.2703142896465	31.6056961593042	34.3425686675663	25.345491569121	28.0803853718878	28.0387702997382	36.3641434224685
SERINC2	18.6718469947532	23.053347417514	33.1316861291098	284.22316375378	15.5521431881668	12.7863784921868	68.3191074075696	11.4023419072094	23.0465669737886	25.833493549719	56.8902530867475	58.0270987831293	57.9325521579909	73.1567934688656	34.3701055287113	16.7834508103701
SPOCD1	10.1846438153199	101.434728637061	1.06876406868096	80.841917834159	153.793415971872	162.813219467179	670.438174026283	60.4324121082098	20.951424521626	86.11164516573	270.544759123644	207.239638511176	885.281812664298	791.423492981364	95.874504895879	433.572479267894
CLSPN	5.09232190765997	12.9098745538078	6.41258441208578	24.6780591283222	25.9202386469447	0.852425232812456	10.9310571852111	25.0851521958607	37.7125641389268	19.6826617521669	37.926835391165	18.9476240924504	47.0701986283676	19.2128952544496	37.083534912557	35.4317294885591
CDCA8	13.5795250870932	68.2379083558413	18.1689891675764	11.0625782299376	20.7361909175557	13.6388037249993	24.5948786667251	31.9265573401863	20.951424521626	13.5318299546147	13.9065063100938	24.8687566213411	5.43117676481164	31.0362154110339	22.6119115320469	42.8910409598347
CDC20	22.9154485844698	91.2912557733553	8.5501125494477	11.0625782299376	30.2402784214354	3.40970093124983	22.7730358025232	41.0484308659538	102.661980155967	25.833493549719	59.4187087794919	76.9747228755797	41.6390218635559	106.409881409259	117.581939966644	151.051057293331
KIF2C	44.9821768509964	52.5616321119318	21.3752813736193	15.3174160106828	44.9284136547041	7.67182709531211	101.112278963203	59.2921779174889	72.2824145996097	22.1429944711877	39.1910632375372	39.0794746906789	36.2078450987443	68.7230484101465	69.6446875187046	85.7820819196694
SNORD160	0	0	0	0	0.864007954898155	0	0	0	1.0475712260813	0	0	0	0	0	0	1.8648278678189
STIL	17.8231266768099	50.7173643185307	19.2377532362573	46.8032155881973	20.7361909175557	19.6057803546865	27.3276429630278	44.4691334381166	31.427136782439	15.9921626736356	39.1910632375372	10.6580385520033	28.9662760789954	30.2972579012474	37.083534912557	13.0537950747323
FOXE3	0.848720317943328	0.922133896700558	0	0.850967556149043	0	0.852425232812456	0	1.14023419072094	0	0	0	0	0	0.738957509786521	0	0
FOXD2-AS1	15.2769657229799	1.84426779340112	258.640904620793	17.0193511229809	3.45603181959262	5.11455139687474	19.1293500741195	6.84140514432564	2.0951424521626	11.0714972355939	3.7926835391165	27.2372096328974	10.8623535296233	18.473937744663	13.5671469192282	31.7020737529213
RAB3B	2.54616095382998	1.84426779340112	1.06876406868096	0.850967556149043	169.345559160038	2.55727569843737	2.73276429630278	3.42070257216282	1.0475712260813	2.46033271902086	0	5.92113252889075	5.43117676481164	15.5181077055169	0	2.79724180172835
ORC1	10.1846438153199	18.4426779340112	6.41258441208578	3.40387022459617	29.3762704665373	4.26212616406228	14.5747429136149	29.6460889587444	19.9038532955447	46.7463216613963	27.8130126201877	16.5791710808941	3.62078450987443	16.99602272509	12.6626704579463	21.4455204799173
ZYG11A	2.54616095382998	0	1.06876406868096	0	0.864007954898155	3.40970093124983	2.73276429630278	0	3.1427136782439	0	0	0	3.62078450987443	4.43374505871913	1.80895292256375	3.7296557356378
DHCR24	58.5617019380896	130.943013331479	85.501125494477	1022.86300249115	26.7842466018428	63.9318924609342	172.164150667075	92.3589694483961	81.7105556343413	109.484805996428	216.182961729641	118.422650577815	38.0182373536815	185.478334956417	403.396501731717	167.834508103701
HOOK1	8.48720317943328	0.922133896700558	1.06876406868096	304.646385101357	5.18404772938893	5.11455139687474	4.55460716050464	1.14023419072094	3.1427136782439	8.611164516573	0	3.55267951733445	5.43117676481164	0.738957509786521	8.1402881515369	0
CYP2J2	6.78976254354662	0	1.06876406868096	2.55290266844713	6.04805568428709	0	0.910921432100928	0	0	4.92066543804171	3.7926835391165	1.18422650577815	7.24156901974886	6.65061758807869	0	0.93241393390945
FOXD3-AS1	0	0	0	4.25483778074521	0.864007954898155	0	0	0	0	0	0	0	0	1.47791501957304	0	0
DIRAS3	92.5105146558227	54.405899905333	25.6503376483431	88.5006258395004	63.0725807075653	150.879266207805	120.241629037323	70.6945198246983	62.8542735648779	24.6033271902086	11.3780506173495	27.2372096328974	39.8286296086187	73.1567934688656	44.319346602812	36.3641434224685
DEPDC1	9.3359234973766	117.111004880971	4.27505627472385	6.80774044919234	14.6881352332686	55.4076401328097	26.4167215309269	118.584355834978	103.709551382049	12.3016635951043	40.4552910839094	24.8687566213411	1.81039225493721	23.6466403131687	51.555158293067	35.4317294885591
DEPDC1-AS1	0	1.84426779340112	2.13752813736193	0.850967556149043	0	0	0	5.7011709536047	0	0	0	0	0	0	0.904476461281877	0
LRRIQ3	0.848720317943328	0.922133896700558	1.06876406868096	0	7.7760715940834	1.70485046562491	3.64368572840371	2.28046838144188	3.1427136782439	0	2.52845569274434	1.18422650577815	0	4.43374505871913	2.71342938384563	0.93241393390945
ST6GALNAC5	5.09232190765997	1.84426779340112	3.20629220604289	316.559930887444	102.81694663288	34.0970093124983	79.2501645927808	21.6644496236979	0	15.9921626736356	61.9471644722362	21.3160771040067	1.81039225493721	124.883819153922	37.083534912557	2.79724180172835
AK5	4.24360158971664	10.1434728637061	2.13752813736193	7.65870800534138	1.72801590979631	0.852425232812456	29.1494858272297	0	1.0475712260813	3.69049907853128	12.6422784637217	43.8163807137915	9.05196127468607	31.0362154110339	24.4208644546107	32.6344876868307
ADGRL2	129.854208645329	159.529164129197	572.857540812996	192.318667689684	93.3128591290008	305.168233346859	347.971987062555	372.856580365747	334.175221119934	136.548465905658	156.764252950149	252.240245730746	54.3117676481164	540.916897163734	152.856521956637	135.20002041687
LPAR3	0	0	0	0	0	2.55727569843737	0	0	0	0	0	0	1.81039225493721	0	0	1.8648278678189
MCOLN2	15.2769657229799	2.76640169010168	1.06876406868096	65.5245018234763	8.64007954898155	55.4076401328097	8.19829288890836	11.4023419072094	20.951424521626	13.5318299546147	0	8.28958554044704	9.05196127468607	11.8233201565843	10.8537175353825	16.7834508103701
LOC105378825	0.848720317943328	0	0	5.10580533689426	0.864007954898155	0	0	2.28046838144188	2.0951424521626	0	0	1.18422650577815	0	2.21687252935956	0.904476461281877	1.8648278678189
GBP5	179.928707403985	19.3648118307117	2.13752813736193	57.0148262619859	51.8404772938893	88.6522242124955	30.0604072593306	13.6828102886513	151.897827781788	61.5083179755214	16.4349620028382	17.7633975866722	5.43117676481164	25.8635128425282	37.083534912557	15.8510368764606
GBP1P1	46.679617486883	16.5984101406101	2.13752813736193	9.36064311763947	1.72801590979631	40.0639859421855	14.5747429136149	1.14023419072094	13.6184259390569	2.46033271902086	0	2.3684530115563	3.62078450987443	8.12853260765174	5.42685876769126	8.39172540518505
COL11A1	15.2769657229799	15.6762762439095	19.2377532362573	125.943198310058	0.864007954898155	0	184.006129284388	6.84140514432564	14.6659971651382	59.0479852565006	106.195139095262	28.4214361386756	10.8623535296233	200.257485152147	682.879728267817	34.4993155546496
LINC02785	0.848720317943328	0	2.13752813736193	0.850967556149043	0	2.55727569843737	0	0	2.0951424521626	0	0	0	0	0.738957509786521	0.904476461281877	3.7296557356378
NBPF6	0.848720317943328	1.84426779340112	0	3.40387022459617	0	0.852425232812456	0.910921432100928	1.14023419072094	0	0	0	0	0	0	0	0.93241393390945
GPR61	0	0.922133896700558	0	81.6928853903081	0	0.852425232812456	0	1.14023419072094	1.0475712260813	1.23016635951043	0	0	0	0	0	0
CHI3L2	19.5205673126965	0	0	5.10580533689426	101.088930723084	20.458205587499	1.82184286420186	2.28046838144188	7.33299858256909	52.8971534589484	0	5.92113252889075	0	14.0401926859439	0.904476461281877	0
PTPN22	24.6128892203565	10.1434728637061	11.7564047554906	30.6348320213655	18.1441670528613	20.458205587499	22.7730358025232	14.8230444793722	9.42814103473169	15.9921626736356	0	8.28958554044704	0	0.738957509786521	5.42685876769126	13.9862090086417
CD2	62.8053035278062	11.0656067604067	0	85.0967556149043	41.4723818351114	57.964915831247	20.0402715062204	15.9632786700932	76.4726995039348	88.5719778847508	29.0772404665599	29.6056626444537	23.5350993141838	44.3374505871913	53.3641112156308	37.296557356378
TBX15	94.2079552917094	22.1312135208134	19.2377532362573	5.10580533689426	7.7760715940834	12.7863784921868	10.0201357531102	14.8230444793722	46.0931339475772	11.0714972355939	20.2276455419547	49.7375132426823	0	24.3855978229552	42.5103936802482	15.8510368764606
FAM72B	18.6718469947532	20.2869457274123	7.48134848076674	15.3174160106828	7.7760715940834	12.7863784921868	11.8419786173121	18.243747051535	24.0941381998699	3.69049907853128	7.58536707823301	3.55267951733445	7.24156901974886	4.43374505871913	9.04476461281877	9.3241393390945
FAM72C	4.24360158971664	9.22133896700558	3.20629220604289	7.65870800534138	5.18404772938893	10.2291027937495	6.3764500247065	10.2621077164885	8.38056980865039	4.92066543804171	3.7926835391165	2.3684530115563	1.81039225493721	5.17270256850565	9.04476461281877	1.8648278678189
FAM72D	13.5795250870932	14.7541423472089	9.61887661812866	7.65870800534138	6.04805568428709	13.6388037249993	4.55460716050464	13.6828102886513	19.9038532955447	4.92066543804171	13.9065063100938	4.7369060231126	3.62078450987443	10.3454051370113	11.7581939966644	5.5944836034567
LINC01731	8.48720317943328	0	0	0	11.232103413676	8.52425232812456	0.910921432100928	1.14023419072094	2.0951424521626	4.92066543804171	39.1910632375372	9.47381204622519	61.5533366678653	8.86749011743826	7.23581169025502	5.5944836034567
H3C14	0.848720317943328	0.922133896700558	0	1.70193511229809	0.864007954898155	0	0	0	0	0	0	0	0	0.738957509786521	0	0.93241393390945
CGN	2.54616095382998	9.22133896700558	44.8880908846004	12.7645133422356	8.64007954898155	8.52425232812456	11.8419786173121	2.28046838144188	10.475712260813	12.3016635951043	17.6991898492103	13.0264915635596	0	2.21687252935956	5.42685876769126	12.1213811408228
105371441	1.69744063588666	0	1.06876406868096	1.70193511229809	0	1.70485046562491	0	0	2.0951424521626	0	2.52845569274434	0	0	0.738957509786521	3.61790584512751	1.8648278678189
PRR9	0	0	0	0	0	0	0	0	0	12.3016635951043	11.3780506173495	7.10535903466889	12.6727457845605	2.21687252935956	58.790969983322	7.4593114712756
S100A2	18.6718469947532	27.6640169010168	20.3065173049383	11.9135457860866	38.0163500155188	32.3921588468733	17.3075072099176	39.9081966752329	20.951424521626	36.9049907853128	35.3983796984207	42.6321542080134	231.730208631963	67.2451333905734	24.4208644546107	27.040004083374
DCST1-AS1	6.78976254354662	10.1434728637061	3.20629220604289	4.25483778074521	17.2801590979631	14.4912289578118	12.752900049413	6.84140514432564	6.2854273564878	8.611164516573	6.32113923186084	17.7633975866722	7.24156901974886	9.60644762722478	2.71342938384563	15.8510368764606
IQGAP3	28.0077704921298	84.8363184964514	13.8939328928525	36.5916049144088	25.0562306920465	17.9009298890616	29.1494858272297	59.2921779174889	102.661980155967	40.5954898638441	53.097569547631	47.369060231126	14.4831380394977	106.409881409259	142.907280882537	164.104852368063
INSRR	11.8820844512066	12.9098745538078	0	2.55290266844713	12.9601193234723	13.6388037249993	7.28737145680743	0	0	194.366284802648	17.6991898492103	4.7369060231126	5.43117676481164	12.5622776663709	5.42685876769126	17.7158647442795
LOC101928202	195.205673126965	67.3157744591408	0	0	0	0.852425232812456	10.9310571852111	43.3288992473957	163.421111268683	31.9843253472711	144.121974486427	0	39.8286296086187	2.95583003914609	32.5611526061476	7.4593114712756
PYHIN1	47.5283378048264	4.61066948350279	0	9.36064311763947	14.6881352332686	24.7203317515612	7.28737145680743	2.28046838144188	14.6659971651382	20.9128281116773	3.7926835391165	3.55267951733445	1.81039225493721	12.5622776663709	7.23581169025502	3.7296557356378
AIM2	9.3359234973766	1.84426779340112	0	8.50967556149043	7.7760715940834	14.4912289578118	11.8419786173121	2.28046838144188	6.2854273564878	4.92066543804171	2.52845569274434	8.28958554044704	1.81039225493721	3.69478754893261	17.1850527643557	15.8510368764606
SLAMF8	95.905395927596	69.1600422525419	41.6817986785575	77.4380476095629	97.6328989034915	138.94531294843	63.764500247065	55.871475345326	97.4241240255608	81.1909797276883	53.097569547631	111.317291543146	30.7766683339326	79.0684535471578	71.4536404412683	106.295188465677
CFAP45	12.7308047691499	4.61066948350279	1.06876406868096	4.25483778074521	17.2801590979631	9.37667756093702	16.3965857778167	11.4023419072094	10.475712260813	4.92066543804171	8.84959492460517	11.8422650577815	19.9143148043094	18.473937744663	12.6626704579463	17.7158647442795
SLAMF9	0	0	0	0	0	0.852425232812456	0	0	0	0	0	2.3684530115563	0	0.738957509786521	0	0
ATP1A2	151.072216593912	52.5616321119318	182.758655744445	11.9135457860866	819.943549198349	167.927770864054	148.480193432451	1828.93564191639	54.4737037562276	286.62876176593	61.9471644722362	61.5797783004638	36.2078450987443	109.365711448405	34.3701055287113	105.362774531768
SLAMF7	95.905395927596	9.22133896700558	1.06876406868096	26.3799942406203	88.99281935451	63.0794672281218	23.6839572346241	7.98163933504658	92.1862678951543	109.484805996428	20.2276455419547	14.2107180693378	14.4831380394977	29.5583003914609	26.2298173771744	29.8372458851024
NECTIN4	0.848720317943328	0	0	0.850967556149043	2.59202386469447	0.852425232812456	0	0	2.0951424521626	6.15083179755214	6.32113923186084	2.3684530115563	3.62078450987443	2.95583003914609	0	1.8648278678189
FCGR3B	15.2769657229799	0	0	37.4425724705579	2.59202386469447	2.55727569843737	19.1293500741195	1.14023419072094	1.0475712260813	4.92066543804171	2.52845569274434	11.8422650577815	0	5.17270256850565	1.80895292256375	1.8648278678189
OLFML2B	1472.52975163167	233.299875865241	376.204952175699	201.679310807323	1067.91383225412	156.846242837492	1094.01663995321	1429.85367516406	828.628839830308	884.489612487998	1059.42293525988	1352.38666959865	941.403972567352	2553.83715382222	1418.21909128998	690.918725026902
NUF2	46.679617486883	54.405899905333	6.41258441208578	21.2741889037261	19.8721829626576	26.4251822171861	32.7931715556334	51.3105385824423	59.7115598866341	15.9921626736356	50.5691138548867	18.9476240924504	1.81039225493721	41.3816205480452	65.1223052122952	53.1475942328386
