"interaction","name","selected","shared interaction","shared name"
"interacts with","AURKA (interacts with) UBE2C","false","interacts with","AURKA (interacts with) UBE2C"
"interacts with","AURKA (interacts with) ZWINT","false","interacts with","AURKA (interacts with) ZWINT"
"interacts with","AURKA (interacts with) NUSAP1","false","interacts with","AURKA (interacts with) NUSAP1"
"interacts with","AURKA (interacts with) SKA3","false","interacts with","AURKA (interacts with) SKA3"
"interacts with","AURKA (interacts with) WDR62","false","interacts with","AURKA (interacts with) WDR62"
"interacts with","AURKA (interacts with) TACC3","false","interacts with","AURKA (interacts with) TACC3"
"interacts with","AURKA (interacts with) KIF14","false","interacts with","AURKA (interacts with) KIF14"
"interacts with","AURKA (interacts with) MYBL2","false","interacts with","AURKA (interacts with) MYBL2"
"interacts with","AURKA (interacts with) CEP55","false","interacts with","AURKA (interacts with) CEP55"
"interacts with","AURKA (interacts with) AURKB","false","interacts with","AURKA (interacts with) AURKB"
"interacts with","AURKA (interacts with) GTSE1","false","interacts with","AURKA (interacts with) GTSE1"
"interacts with","AURKA (interacts with) FAM111B","false","interacts with","AURKA (interacts with) FAM111B"
"interacts with","AURKA (interacts with) CKAP2L","false","interacts with","AURKA (interacts with) CKAP2L"
"interacts with","AURKA (interacts with) BUB1B","false","interacts with","AURKA (interacts with) BUB1B"
"interacts with","AURKA (interacts with) SGO1-AS1","false","interacts with","AURKA (interacts with) SGO1-AS1"
"interacts with","AURKA (interacts with) CDCA8","false","interacts with","AURKA (interacts with) CDCA8"
"interacts with","AURKA (interacts with) FOXM1","false","interacts with","AURKA (interacts with) FOXM1"
"interacts with","AURKA (interacts with) KIF23","false","interacts with","AURKA (interacts with) KIF23"
"interacts with","AURKA (interacts with) NEK2","false","interacts with","AURKA (interacts with) NEK2"
"interacts with","AURKA (interacts with) DEPDC1","false","interacts with","AURKA (interacts with) DEPDC1"
"interacts with","AURKA (interacts with) TOP2A","false","interacts with","AURKA (interacts with) TOP2A"
"interacts with","AURKA (interacts with) IL37","false","interacts with","AURKA (interacts with) IL37"
"interacts with","AURKA (interacts with) ERCC6L","false","interacts with","AURKA (interacts with) ERCC6L"
"interacts with","AURKA (interacts with) KIF4A","false","interacts with","AURKA (interacts with) KIF4A"
"interacts with","AURKA (interacts with) HMMR","false","interacts with","AURKA (interacts with) HMMR"
"interacts with","AURKA (interacts with) EXO1","false","interacts with","AURKA (interacts with) EXO1"
"interacts with","AURKA (interacts with) KIF2C","false","interacts with","AURKA (interacts with) KIF2C"
"interacts with","AURKA (interacts with) LOC100288637","false","interacts with","AURKA (interacts with) LOC100288637"
"interacts with","AURKA (interacts with) NCAPG","false","interacts with","AURKA (interacts with) NCAPG"
"interacts with","AURKA (interacts with) LOC107985017","false","interacts with","AURKA (interacts with) LOC107985017"
"interacts with","AURKA (interacts with) DIAPH3","false","interacts with","AURKA (interacts with) DIAPH3"
"interacts with","AURKA (interacts with) HASPIN","false","interacts with","AURKA (interacts with) HASPIN"
"interacts with","AURKA (interacts with) TPX2","false","interacts with","AURKA (interacts with) TPX2"
"interacts with","AURKA (interacts with) PRR11","false","interacts with","AURKA (interacts with) PRR11"
"interacts with","AURKA (interacts with) BLM","false","interacts with","AURKA (interacts with) BLM"
"interacts with","AURKA (interacts with) RRM2","false","interacts with","AURKA (interacts with) RRM2"
"interacts with","AURKA (interacts with) HJURP","false","interacts with","AURKA (interacts with) HJURP"
"interacts with","AURKA (interacts with) KNL1","false","interacts with","AURKA (interacts with) KNL1"
"interacts with","AURKA (interacts with) IQGAP3","false","interacts with","AURKA (interacts with) IQGAP3"
"interacts with","AURKA (interacts with) TTK","false","interacts with","AURKA (interacts with) TTK"
"interacts with","AURKA (interacts with) BUB1","false","interacts with","AURKA (interacts with) BUB1"
"interacts with","AURKA (interacts with) CENPE","false","interacts with","AURKA (interacts with) CENPE"
"interacts with","AURKA (interacts with) KIF18A","false","interacts with","AURKA (interacts with) KIF18A"
"interacts with","AURKA (interacts with) NT5DC4","false","interacts with","AURKA (interacts with) NT5DC4"
"interacts with","AURKA (interacts with) E2F7","false","interacts with","AURKA (interacts with) E2F7"
"interacts with","AURKA (interacts with) LHX2","false","interacts with","AURKA (interacts with) LHX2"
"interacts with","AURKA (interacts with) CDC20","false","interacts with","AURKA (interacts with) CDC20"
"interacts with","AURKA (interacts with) DEPDC1B","false","interacts with","AURKA (interacts with) DEPDC1B"
"interacts with","AURKA (interacts with) SAPCD2","false","interacts with","AURKA (interacts with) SAPCD2"
"interacts with","AURKA (interacts with) NCAPH","false","interacts with","AURKA (interacts with) NCAPH"
"interacts with","AURKA (interacts with) MIR924HG","false","interacts with","AURKA (interacts with) MIR924HG"
"interacts with","AURKA (interacts with) CCNB1","false","interacts with","AURKA (interacts with) CCNB1"
"interacts with","AURKA (interacts with) ESCO2","false","interacts with","AURKA (interacts with) ESCO2"
"interacts with","AURKA (interacts with) NUF2","false","interacts with","AURKA (interacts with) NUF2"
"interacts with","AURKA (interacts with) CDC25C","false","interacts with","AURKA (interacts with) CDC25C"
"interacts with","AURKA (interacts with) KIF18B","false","interacts with","AURKA (interacts with) KIF18B"
"interacts with","AURKA (interacts with) PBK","false","interacts with","AURKA (interacts with) PBK"
"interacts with","AURKA (interacts with) TBX18","false","interacts with","AURKA (interacts with) TBX18"
"interacts with","AURKA (interacts with) E2F8","false","interacts with","AURKA (interacts with) E2F8"
"interacts with","AURKA (interacts with) IRX5","false","interacts with","AURKA (interacts with) IRX5"
"interacts with","AURKA (interacts with) POLQ","false","interacts with","AURKA (interacts with) POLQ"
"interacts with","AURKA (interacts with) PLK1","false","interacts with","AURKA (interacts with) PLK1"
"interacts with","AURKA (interacts with) FAM72A","false","interacts with","AURKA (interacts with) FAM72A"
"interacts with","AURKA (interacts with) NEIL3","false","interacts with","AURKA (interacts with) NEIL3"
"interacts with","AURKA (interacts with) HOXD13","false","interacts with","AURKA (interacts with) HOXD13"
"interacts with","AURKA (interacts with) PRC1","false","interacts with","AURKA (interacts with) PRC1"
"interacts with","AURKA (interacts with) CENPF","false","interacts with","AURKA (interacts with) CENPF"
"interacts with","AURKA (interacts with) PRC1-AS1","false","interacts with","AURKA (interacts with) PRC1-AS1"
