Bicluster,Genes,Condiciones,NumGenes,NumCondiciones
1,AA889653;ABCB1;ACKR1;ADAM12;ADH1B;ADORA2B;AF206665;AF206666;AF206667;ALDH1A1;AOX1;APOD;ASF1B;ATAD2;AURKA;AURKB;BE044614;C7;CALCRL;CAPN6;CARD10;CAVIN2;CBX7;CCDC69;CCL21;CCNA2;CCNB2;CCND2;CDC20;CDC6;CDC7;CDK1;CDKN2A;CENPE;CENPF;CITED2;CKS2;CLU;COL4A5;COL4A6;DCN;DCX;DES;DLGAP5;DONSON;DPP6;DPT;EFEMP1;EMCN;EZH2;FAM107A;FANCI;FHL5;FLT1;FOS;FOXM1;FXYD1;GABBR2;GATA2;GIMAP4;GIMAP6;GINS1;GINS2;GIPC2;GPM6A;HLF;HPGD;ID1;ID4;IGF1;ITGB4;ITM2A;JAM2;KDR;KIF11;KIF14;KIF15;KIF18B;KIF20A;KIF2C;KIF4A;KLF2;KRT19;LEPR;LHX2;M25813;MAD2L1;MAGEA3;MAGEA6;MAOB;MCM2;MCM4;MELK;MEOX2;MFAP5;MKI67;MMP28;MMP7;MMRN1;MMRN2;MOXD1;MYH11;MYRIP;NAP1L2;NFASC;NM_003294;NM_004166;NM_007116;NM_024164;NT5E;OIP5;OMD;PALMD;PDE2A;PRC1;PRELP;PSRC1;PTGER3;PTTG1;PTTG3P;RAI2;RAMP3;RASA4;RBP1;RERGL;RNASE4;SELE;SELP;SHOX2;SLCO2A1;SOX17;SOX18;SPC25;SPON1;SPP1;STK26;SYT1;TACC3;TEK;TFPI;TGFBR2;THBD;THSD7A;TK1;TM4SF1;TMSB15A;TNFSF10;TNS1;TNXB;TOP2A;TPSAB1;TPX2;TRPC4;TSPAN7;TTK;TYMS;UBE2C;UBE2S;WT1;ZFPM2;ZNF423,Tumor_5;Tumor_7;Tumor_8;Tumor_20,161,4
2,AA889653;ABCA8;ABCB1;ABLIM1;ACKR1;ADAM12;ADIRF;ADORA2B;AF016535;AF206666;APOD;ATAD2;BIRC5;BUB1;C1orf115;CADPS2;CALCRL;CARD10;CAVIN2;CBX7;CCDC69;CCL21;CCNB1;CCND2;CCNE2;CDC6;CDK1;CDKN2A;CENPU;CHI3L1;CITED2;CKS2;CLU;CMAHP;COL4A6;CPA3;DCN;DES;DONSON;DPT;ECT2;EFEMP1;EMCN;EZH2;FLT1;FXYD1;GABBR2;GDF15;GGH;GIMAP6;GINS2;GIPC2;GPM6A;GTSE1;HBB;HLA-E;HMMR;HTR2B;ID4;IGF1;ITGB4;JAM2;KDR;KIF11;KIF4A;LEPR;LHX2;MAD2L1;MAOB;MCM4;MELK;MEOX1;MFAP5;MKI67;MMRN2;MOXD1;MYH11;MYRIP;NAP1L2;NCAPG;NM_003278;NM_004166;NM_007116;NPY1R;OGN;PALMD;PBK;PDE2A;PGR;PID1;PLCB4;PMAIP1;PRELP;PRL;PTGER3;PTGIS;PTTG1;PTTG3P;RAMP1;RAMP3;RASA4;RERGL;RIPOR2;RNASE4;RUNDC3B;RYR3;SCD;SCG2;SDC1;SELE;SELP;SLCO2A1;SOX17;SOX18;SPON1;STK26;SYT1;TEK;TGFBR2;THSD7A;TM4SF1;TNFSF10;TNS1;TNXB;TPSAB1;TPX2;TRPC4;TSPAN7;TYMS;UBE2C;WT1;ZBTB16;ZIC1;ZNF423,Tumor_1;Tumor_7;Tumor_10;Tumor_19,134,4
3,AA889653;ABLIM1;ACKR1;ADH1B;ADIRF;AF016535;ALDH1A2;ASPM;AURKA;AURKB;BUB1B;C1orf115;CADPS2;CAVIN2;CCDC69;CCNA2;CCNB2;CDC7;CDK1;CLU;CMAHP;COL4A5;COL4A6;DES;DTL;EMX2;ESR1;FAM107A;FOXM1;FXYD1;GATA2;GDF15;GGH;GIMAP4;GIMAP6;GINS1;GINS2;GPM6A;GREB1;HPGD;HTR2B;ID4;ITGB4;JAM2;KIF11;KIF14;KIF15;KIF18B;KIF20A;KIF2C;KIF4A;LHX2;LMNB1;MAOB;MFAP5;MKI67;MMRN1;MOXD1;MYRIP;NEK2;NM_003278;NM_004166;NPY1R;NT5DC2;OGN;PALMD;PBK;PDE2A;PEG3;PRELP;PSRC1;PTGER3;RACGAP1;RAD51AP1;RAMP1;RAMP3;RASA4;RIPOR2;RUNDC3B;RYR3;SELP;SLCO2A1;SOX17;SOX18;SPC25;STIL;SYT1;TACC3;TDO2;TEK;TGFBR2;THSD7A;TMSB15A;TOP2A;TRIP13;TSPAN7;TTK;UBE2C;WT1;ZBTB16;ZIC1,Tumor_4;Tumor_7;Tumor_10;Tumor_15;Tumor_20,101,5
4,AA889653;ABCB1;ABCG2;ABLIM1;ACKR1;ADAM12;ADIRF;ADORA2B;AF016535;AKR1C3;ALDH1A1;ASF1B;AURKA;CALCRL;CARD10;CAVIN2;CBX7;CCDC69;CCND2;CDKN2A;CLU;CMAHP;COL11A1;COL4A5;COL4A6;CPA3;DCN;DCX;DES;DPP6;EMCN;ESR1;EZH2;GATA2;GIMAP4;GIMAP6;GNA14;GREB1;HLF;ID1;ITGB4;ITM2A;KDR;KIF2C;KIF4A;LEPR;M25813;MAD2L1;MCM4;MELK;MEOX1;MKI67;MMP28;MMP7;NAP1L2;NM_003278;NM_004166;NM_007116;NPY1R;OSR2;PDE2A;PEG3;PLCB4;PSRC1;PTGDS;PTGER3;PTGIS;RBP1;RERGL;RIPOR2;RUNDC3B;SELP;SOX17;SOX18;THSD7A;TMSB15A;TNFSF10;TRPC4;TSPAN7;UBE2S;WT1;ZBTB16;ZNF423,Tumor_8;Tumor_10;Tumor_14;Tumor_19;Tumor_25,83,5
5,ABCB1;ABCG2;ADIRF;AF016535;AF206665;AF206667;AKR1C3;ALDH1A1;ALDH1A2;ASPM;AURKA;BIRC5;C7;CALCRL;CCL21;CDC20;CDKN2A;CENPF;CEP55;CMAHP;COL11A1;DEPTOR;DONSON;DPT;EMX2;ESR1;FAM107A;FXYD1;GREB1;HLA-E;HMMR;HTR2B;ID4;IGF1;KDR;KIF20A;KIF2C;KRT19;MAD2L1;MKI67;NCAPG;NFASC;NM_004166;NM_024164;NT5E;OSR2;PCLAF;PDE2A;PEG3;PGR;PMAIP1;PSRC1;PTGDS;PTGER3;PTGIS;RACGAP1;RAD51AP1;RAI2;RAMP1;RAMP3;RNASE4;SELE;SLCO2A1;SOX17;SOX18;SPC25;STK26;TACC3;TGFBR2;THBD;TK1;TNFSF10;TOP2A;TRIP13;UBE2C;WT1;ZWINT,Tumor_5;Tumor_7;Tumor_11;Tumor_20;Tumor_25,77,5
6,ACKR1;AOX1;ASF1B;ATAD2;AURKA;BE044614;BUB1;CALCRL;CBX7;CCDC69;CDC7;CDKN3;CENPF;DTL;EMCN;FLT1;GGH;GIMAP6;GNA14;GREB1;HTR2B;ID4;ITGB4;KDR;KIF2C;M25813;MAD2L1;MCM4;MMRN1;MMRN2;NM_003278;NM_007116;NPY1R;OIP5;OMD;PBK;PDE2A;PEG3;PLCB4;PTGER3;RAMP3;RASA4;RBP1;RUNDC3B;SCD;SHCBP1;SPON1;STIL;TACC3;TEK;THBD;TK1;TM4SF1;TNXB;TPX2,Tumor_1;Tumor_7;Tumor_8;Tumor_11;Tumor_19;Tumor_25,55,6
7,ADH1B;ADIRF;AF206666;ASF1B;ASPM;AURKB;CAPN6;CCL21;CCNA2;CCNB2;CDC6;CEP55;CKS2;COL11A1;COL4A6;CPA3;DONSON;DPP6;FANCI;FOXM1;GINS2;GREB1;GTSE1;HMMR;HPGD;KIF15;KIF18B;KIF20A;KLF2;MCM2;MMP9;MMRN1;MYBL1;NCAPG;NM_007116;NUSAP1;OIP5;PALMD;PGR;PRC1;PSRC1;PTTG1;RACGAP1;RAD51AP1;RAI2;RBP1;SCG2;SELP;SHOX2;SPC25;SPON1;TACC3;TMSB15A;TOP2A;TRIP13;TSPAN7;UBE2C;UBE2S;ZWINT,Tumor_4;Tumor_10;Tumor_11;Tumor_16;Tumor_19,59,5
8,ADAM12;ADORA2B;ASPM;AURKB;BE044614;BIRC5;BUB1B;CADPS2;CCNA2;CDC6;CDC7;CDK1;CDKN3;CENPA;CENPE;CENPF;CENPU;DLGAP5;DONSON;DTL;GGH;GNA14;GTSE1;HMMR;KIF14;KIF15;KIF2C;LMNB1;M25813;MELK;MEOX2;MYBL1;NCAPG;NEK2;NT5DC2;NUSAP1;PTTG3P;RACGAP1;RAD51AP1;RIPOR2;SHCBP1;TACC3;THBD;TMSB15A;TPX2;TRPC4;TTK;TYMS;UBE2S,Tumor_5;Tumor_10;Tumor_17;Tumor_18;Tumor_19;Tumor_24,49,6
9,ABCG2;ACKR4;ADH1B;AF016535;AF206666;AF206667;AKR1C3;AURKB;BE044614;CADPS2;CALCRL;CCNE2;CDC7;CENPU;DCX;DPT;EMCN;EMX2;ESR1;FAM107A;FLT1;GIMAP6;GINS1;GINS2;GIPC2;GREB1;GTSE1;HBB;HLF;HTR2B;IGF1;KIF11;KIF2C;LHX2;MCM4;MELK;MMRN1;MMRN2;NM_003278;NM_007116;NPY1R;NUSAP1;OIP5;PGR;PRELP;PTGDS;PTGIS;RBP1;RERGL;RNASE4;RUNDC3B;RYR3;SOX17;SOX18;SPON1;STIL;STK26;SYT1;TACC3;TFPI;TGFBR2;TK1;TM4SF1;TNXB;TPSAB1;UBE2C;UBE2S;WT1;ZFPM2,Tumor_7;Tumor_8;Tumor_9;Tumor_21,69,4
10,ASF1B;BE044614;CCNA2;CCNB1;CCNB2;CDC20;CKS2;FANCI;GINS1;GINS2;GREB1;JAM2;KIF11;KIF14;KIF15;KIF18B;KIF20A;KIF4A;LMNB1;M25813;MCM2;MELK;MOXD1;MYRIP;NM_007116;NPY1R;OIP5;PRC1;PTTG1;RACGAP1;TACC3;TK1;TOP2A;TRIP13;TTK;UBE2C;UBE2S;ZFPM2;ZWINT,Tumor_2;Tumor_7;Tumor_10;Tumor_13;Tumor_19;Tumor_24;Tumor_25,39,7
