Bicluster,Genes,Condiciones,NumGenes,NumCondiciones
1,AA889653;ABCA8;ACKR4;ADH1B;ADIRF;AF206667;AOX1;BIRC5;BUB1B;CAPN6;CAVIN2;CCNB1;CCNB2;CDC20;CEP55;DCX;DES;DLGAP5;DPT;ECT2;EFEMP1;FHL5;FLT1;FOXM1;GDF15;GIMAP6;GINS1;GNA14;GPM6A;HMMR;KIF11;KIF20A;KIF4A;KLF4;KRT19;LMNB1;MELK;MEOX2;MMRN1;MYRIP;NAP1L2;NEK2;NM_003278;NT5DC2;NUSAP1;OMD;PALMD;PBK;PCLAF;PGR;PID1;PMAIP1;PRC1;PTTG1;RAMP3;RERGL;RRM2;RYR3;SCD;SLCO2A1;STK26;SYT1;THBD;TOP2A;TPSAB1;TPX2;TYMS;UBE2C;ZWINT,NormalMyometrium_1;NormalMyometrium_11;NormalMyometrium_14;NormalMyometrium_17;NormalMyometrium_20,69,5
2,AA889653;ABCA8;ABCG2;AF206665;AF206666;ALDH1A1;AOX1;ASPM;BIRC5;C7;CALCRL;CCL21;CCNA2;CDC7;CDK1;CENPU;CITED2;CPA3;DEPTOR;DES;DPP6;DPT;ECT2;FHL5;GIPC2;GPM6A;HLF;HMMR;HTR2B;ID1;ID4;IGF1;KIF11;MAD2L1;MEOX2;MFAP5;MMP7;MMRN1;MYBL1;MYRIP;NAP1L2;NEK2;NFASC;NM_003278;NM_004166;NT5DC2;OMD;PALMD;PEG3;PMAIP1;PTGDS;RASA4;RBP1;RERGL;RIPOR2;RRM2;RUNDC3B;SELE;SLCO2A1;SOX17;SPON1;SPP1;SYT1;TMSB15A;TOP2A;TPX2;UBE2C;ZBTB16;ZFPM2,NormalMyometrium_2;NormalMyometrium_4;NormalMyometrium_12;NormalMyometrium_16,69,4
3,AA889653;ABCA8;ADH1B;BIRC5;BUB1B;C7;CADPS2;CAPN6;CCNA2;CDC7;CDK1;CMAHP;DEPTOR;DES;DLGAP5;DPP6;DTL;FAM107A;FHL5;FLT1;FOS;FOXM1;GIMAP6;HBB;HLF;HMMR;HPGD;ID1;IGF1;KIF11;KIF20A;KLF2;KLF4;KRT19;LMNB1;MELK;MEOX1;MEOX2;MFAP5;MMP28;MMRN1;NAP1L2;NEK2;NFASC;NM_003278;NM_004166;NPY1R;PCLAF;PID1;PRC1;PRELP;PRL;PTGER3;PTTG1;RERGL;RRM2;RUNDC3B;SOX18;SPON1;STK26;TMSB15A;TPSAB1;TPX2;TRPC4;TYMS;UBE2C;ZFPM2,NormalMyometrium_8;NormalMyometrium_12;NormalMyometrium_14;NormalMyometrium_27,67,4
4,AA889653;ABCG2;AF099143;AF206665;AF206666;AF206667;ASPM;BIRC5;BUB1B;CCNB1;CCNB2;CDK1;CENPU;CHI3L1;CKS2;DCX;DES;DPP6;DTL;FHL5;FLT1;GINS1;GPM6A;GREB1;HMMR;HTR2B;KIF4A;LMNB1;MAD2L1;MELK;MMP7;NEK2;NETO2;NM_003294;NM_024164;NUSAP1;PBK;PEG3;PRC1;PTGER3;PTTG1;RRM2;SCD;SELE;SOX17;SYT1;TMSB15A;TNFSF10;TOP2A;TPSAB1,NormalMyometrium_1;NormalMyometrium_2;NormalMyometrium_13;NormalMyometrium_15;NormalMyometrium_17,50,5
5,ACKR1;ACKR4;ADIRF;ASPM;CCNB1;CCNB2;CDK1;CENPU;CHI3L1;CMAHP;DLGAP5;DPT;DTL;FHL5;FLT1;FOS;FOXM1;GINS1;GPM6A;GREB1;HBB;HMMR;KLF4;KRT19;MAD2L1;MELK;MFAP5;NEK2;NM_004166;NPY1R;NT5DC2;NUSAP1;PRELP;PTTG1;RRM2;SCD;SOX17;TDO2;THSD7A;TMSB15A;TOP2A;TPX2;UBE2C;ZWINT,NormalMyometrium_1;NormalMyometrium_8;NormalMyometrium_13;NormalMyometrium_14;NormalMyometrium_18,44,5
6,AF099143;AF206665;AF206666;AF206667;CPA3;NM_003294;NM_024164;TPSAB1,NormalMyometrium_1;NormalMyometrium_2;NormalMyometrium_3;NormalMyometrium_5;NormalMyometrium_6;NormalMyometrium_7;NormalMyometrium_9;NormalMyometrium_10;NormalMyometrium_11;NormalMyometrium_12;NormalMyometrium_13;NormalMyometrium_14;NormalMyometrium_15;NormalMyometrium_17;NormalMyometrium_18;NormalMyometrium_19;NormalMyometrium_21;NormalMyometrium_22;NormalMyometrium_23;NormalMyometrium_24;NormalMyometrium_25;NormalMyometrium_26;NormalMyometrium_27;NormalMyometrium_28;NormalMyometrium_29,8,25
7,ACKR1;ADAM12;BUB1B;CADPS2;CAVIN2;CCNB1;CCNB2;CDK1;CITED2;CKS2;CPA3;DCX;DLGAP5;DPP6;DTL;EFEMP1;FOS;GDF15;GINS1;GIPC2;HTR2B;KIF11;KRT19;MEOX2;NPY1R;NUSAP1;PCLAF;PID1;PMAIP1;PRL;PTTG1;RBP1;RRM2;SCG2;SELE;ZWINT,NormalMyometrium_7;NormalMyometrium_13;NormalMyometrium_22;NormalMyometrium_28;NormalMyometrium_29,36,5
8,ACKR1;ACKR4;ADAM12;ADH1B;ADIRF;AOX1;CENPU;CMAHP;DEPTOR;FHL5;GIPC2;HMMR;ID4;KLF4;MEOX1;MEOX2;MMP28;NAP1L2;NEK2;NM_004166;PALMD;PCLAF;RERGL;RYR3;TRPC4;ZWINT,NormalMyometrium_1;NormalMyometrium_14;NormalMyometrium_15;NormalMyometrium_20;NormalMyometrium_22;NormalMyometrium_24,26,6
9,ASPM;BIRC5;BUB1B;CCNB1;CCNB2;CDC20;CDK1;DTL;HMMR;KIF11;LMNB1;MAD2L1;MELK;NUSAP1;PCLAF;PRC1;RRM2;TOP2A;TPX2;ZWINT,NormalMyometrium_1;NormalMyometrium_9;NormalMyometrium_14;NormalMyometrium_17;NormalMyometrium_18;NormalMyometrium_20;NormalMyometrium_22,20,7
10,AA889653;ACKR4;ADH1B;CCNB2;CMAHP;FLT1;FOS;FOXM1;GIMAP6;GPM6A;GREB1;ID4;IGF1;KLF4;KRT19;NAP1L2;STK26;THBD;TOP2A;TYMS,NormalMyometrium_1;NormalMyometrium_7;NormalMyometrium_14;NormalMyometrium_15;NormalMyometrium_18;NormalMyometrium_19;NormalMyometrium_22,20,7
