attr_name	Fibroid_25	Tumor_1	Tumor_2	Tumor_3	Tumor_4	Tumor_5	Tumor_6	Tumor_7	Tumor_8	Tumor_9	Tumor_10	Tumor_11	Tumor_12	Tumor_13	Tumor_14	Tumor_15	Tumor_16	Tumor_17	Tumor_18	Tumor_19	Tumor_20	Tumor_21	Tumor_22	Tumor_23	Tumor_24
201291_s_at	8.37572075477894	9.55407966092677	9.96403690541174	10.4443824840133	10.5446311683319	5.12400925408159	11.4346192500747	5.8570924959912	9.39073847068017	10.0544639981275	8.24716464406215	10.7329090781274	11.4290934059752	10.7657090606575	10.5808121922322	9.44114319776603	8.37444570005547	10.7916410032679	4.88287598704928	8.28528177655736	9.74478377245434	10.644112174936	9.75859246668031	10.6112147432339	11.5666387015292
201292_at	9.38195151134192	11.0901082169592	10.9155467784078	11.6760226652159	10.8232923400118	6.83076437577059	11.8779777942449	7.55479668860189	10.3190633978926	11.9901610138087	9.33497590638038	11.3609190035963	11.5754244595728	11.8023894656509	11.4577121486846	10.8179113307288	9.45976890009749	11.1609419234463	5.87461424939252	9.24655955487846	10.4483543007721	11.3454464802826	10.1548650721513	10.8450406020044	12.2238372530503
201525_at	10.7724898598793	7.97844804541401	8.75188986077731	7.5037526133614	7.96451425107684	9.2631467964257	8.35630552715163	10.8383844668949	7.19047473638201	7.09182753880124	9.41619436464357	13.5533626145808	9.04648269616546	7.62670794721619	10.2480465013711	9.21565971296179	9.60862572144786	7.67663062842452	11.0060117906717	9.15790889323777	9.88837580129606	6.20887395873491	5.99611874208851	6.80555195425091	7.06464325403639
201890_at	8.64241344891241	9.68296360562935	10.1962677338574	9.84410471330138	10.9675533062874	6.3339094106841	10.6427930947095	7.36265374277684	10.7206078550098	10.3354171729729	8.43705930716791	11.5355183110697	9.44140281989274	10.0554486624314	11.0589717175453	8.7336861414983	8.86400703398338	10.9737920767949	4.68496202462167	8.36941561441139	10.4182867087692	9.31377554266792	10.1551472538929	9.21315479284844	11.5154955256725
202095_s_at	8.00056879413614	9.6457101213719	9.70251111136408	9.2054109427169	9.42139459991933	6.16311519762187	10.6615512614172	6.54432175272712	9.65816543125851	10.0241726705694	7.79010820365567	10.313744612213	9.6269584779323	9.61009178835026	9.39187729200264	8.81314976269794	7.58036181011843	9.94358328196305	5.86683570616932	7.42613492815943	9.60363153485099	9.87026962739079	9.35137703785913	9.03558587094193	10.7813907815443
202503_s_at	10.2694881707465	11.7125345150393	11.3950109664656	11.7380462114201	11.7823488588293	8.14356969178047	11.5849694885852	8.54851509329095	10.6833197357286	11.5112799535544	10.2515113212122	12.6752000633448	11.6715081740193	12.2364072217819	12.1950086328354	11.9079571663783	10.1992988727284	11.0850549608003	6.94156615271706	9.78090673144805	11.9626875231259	10.2647739127824	11.007636626926	11.9686187103116	11.8087986346814
202589_at	11.1063086712828	11.6669913476032	11.3232864868465	10.9295499783144	10.9808309881836	9.73433296788814	12.0668403751648	8.77599575735114	11.1079522827677	11.0975607092272	10.6224738897363	12.5482121161509	11.8364920002868	11.3081525149154	12.4017141801058	11.227074388427	10.1224974997272	11.4045206102775	7.73193513345853	10.2684881879468	11.994916710914	11.1275203935496	11.9397125827405	11.7170019596519	12.3671245203579
202870_s_at	7.62044498159712	9.21798542196084	10.3311358212939	10.6252283580385	9.65378194611264	6.31384468307517	12.0414520615954	6.28780793809737	9.85802390372499	11.3585761628053	8.24263076024634	10.567130521439	9.95753038430648	10.3238314547093	10.1755961088034	8.37317907177332	6.91403998822014	10.0737298874054	6.32641448674395	8.05494217397676	8.90185501189132	9.96273637082771	9.5283534580859	9.13259244051997	10.3470512492767
202954_at	8.73125568211352	10.8063060698097	10.9488624711796	11.7673150200483	11.6787021442357	7.75874333821688	12.6939963113895	7.80540374156099	10.434620325757	10.95683269784	9.1908042457121	11.7250901535364	10.4832013267968	11.0874392793273	10.8392088269077	10.7184386894596	9.05409429005343	9.48955325916687	7.81852373473083	8.91400288752691	9.91495622170727	11.1365608637083	10.4305862968592	11.0108812979455	11.4781582814925
202992_at	11.3393723377362	10.2741936497156	10.0188697998327	7.08543712041553	8.32241422735026	7.32924729961261	5.29339040560257	12.2025838643197	7.85494174425321	6.62563429598676	8.5927121177766	5.34041766402361	10.2368451683869	6.10515417928975	7.83424405750079	8.08587948131331	10.2270299055452	9.90727486548215	10.7258979282826	7.79667888214061	10.477076102657	5.75304935894167	6.17980083188844	7.86517793638227	5.35479302661345
