attr_name	Tumor_1	Tumor_2	Tumor_3	Tumor_4	Tumor_5	Tumor_6	Tumor_7	Tumor_8	Tumor_9	Tumor_10	Tumor_11	Tumor_12	Tumor_13	Tumor_14	Tumor_15	Tumor_16	Tumor_17	Tumor_18	Tumor_19	Tumor_20	Tumor_21	Tumor_22	Tumor_23	Tumor_24	Tumor_25
200832_s_at	9.87130288536879	7.18952732991276	9.65934506629622	9.02509968438056	11.1920140798242	10.1411496375861	7.58513058257469	10.2952541331122	8.53994596205783	8.76211764853938	10.5143851626107	9.87840339550224	9.14853648382958	7.49800200141934	7.60865713723067	7.50810758501847	12.0708870207389	8.32146402598307	8.99993431578731	10.1044515776609	8.13766369253442	7.61373646708883	9.95748453788035	7.66920426887176	9.56491652424777
200904_at	10.3815793008074	10.3400338524571	9.11850411398225	9.50907472893117	11.0416123768599	8.45321835684691	11.0416278197862	9.5038413771196	9.38352362674865	10.8124733584178	7.34225175393948	8.66522388127559	8.52305606015098	9.65657035928196	10.3329900939478	10.3944781026158	10.6468572696289	10.3670925453972	10.4699113363098	10.0578448970499	9.19974739298352	10.6471714227227	10.2450870366883	9.63868429323856	9.78482386167009
200953_s_at	7.21365846936613	7.67266597436976	7.44530927778882	8.41340974788056	9.10399418885651	6.62352434237166	11.6834412318174	9.71570827065058	7.58694597966542	12.4240520322039	12.9973204525104	9.13808475743603	7.25354788504109	8.04269349780732	11.6434701268588	11.7413252669501	10.7138355785469	8.61659190418487	12.0748111372516	10.1036061887655	6.29345236577243	12.9256446694435	9.47564185723267	6.61476173520482	8.95102460710448
200965_s_at	7.41073527437244	8.84921198417929	9.36222631592946	8.21315566706975	10.5346406193249	6.50065033846191	10.2742774480643	7.63778531927044	8.44674261048397	9.40565897382601	8.66988699397047	8.37415638510511	7.02190425979372	8.75354230560764	8.21352291518004	9.4556765440127	9.92974403767694	8.32608400100536	9.09852275987412	9.12873389214413	5.3288502547062	6.27978026091449	9.83865402667029	8.37165945161976	7.9599293575287
201286_at	8.23834899640701	8.61055702540458	6.84628848336207	6.32084440058036	6.16854791058118	7.34499024177565	6.59843410985378	9.84683862615283	8.37799382623151	6.87507286888658	8.61526185914927	7.49206100728844	8.15663840213656	8.68877978312348	7.08052776641145	6.06295580802258	7.99009770510653	5.21650187885112	7.17510901064833	7.75170484639591	5.94095118140556	7.99779534316333	6.96292395884215	9.11344804743682	9.52601800173866
201291_s_at	9.55407966092677	9.96403690541174	10.4443824840133	10.5446311683319	5.12400925408159	11.4346192500747	5.8570924959912	9.39073847068017	10.0544639981275	8.24716464406215	10.7329090781274	11.4290934059752	10.7657090606575	10.5808121922322	9.44114319776603	8.37444570005547	10.7916410032679	4.88287598704928	8.28528177655736	9.74478377245434	10.644112174936	9.75859246668031	10.6112147432339	11.5666387015292	9.42245255734231
201292_at	11.0901082169592	10.9155467784078	11.6760226652159	10.8232923400118	6.83076437577059	11.8779777942449	7.55479668860189	10.3190633978926	11.9901610138087	9.33497590638038	11.3609190035963	11.5754244595728	11.8023894656509	11.4577121486846	10.8179113307288	9.45976890009749	11.1609419234463	5.87461424939252	9.24655955487846	10.4483543007721	11.3454464802826	10.1548650721513	10.8450406020044	12.2238372530503	10.0640329229921
201496_x_at	4.88744875308022	7.99363478846623	12.8729510965013	4.82121697428024	12.7373654029981	12.2242019504747	13.0500183296798	10.8578659955156	12.007124407322	11.4697195952999	4.57078712144104	12.4650304096529	10.8165861292544	13.5174552015301	8.96124008423219	12.7817781217045	7.66076136736892	12.8725863436067	10.6541284833521	11.6971714191683	13.4576696050389	9.30856097223657	9.7027450544981	12.7903806350554	10.6873771045443
201525_at	7.97844804541401	8.75188986077731	7.5037526133614	7.96451425107684	9.2631467964257	8.35630552715163	10.8383844668949	7.19047473638201	7.09182753880124	9.41619436464357	13.5533626145808	9.04648269616546	7.62670794721619	10.2480465013711	9.21565971296179	9.60862572144786	7.67663062842452	11.0060117906717	9.15790889323777	9.88837580129606	6.20887395873491	5.99611874208851	6.80555195425091	7.06464325403639	7.97936020213731
201650_at	4.80666857898984	4.5797520301278	4.99810939609906	4.97949369022042	10.0963212537787	4.67452226168494	8.12349475932406	4.7714989614857	4.23884403051885	10.0566031681371	4.708988855687	4.80706677764183	4.51337306930714	4.51629770434726	4.66959182082361	4.8438574820248	4.50208320295179	4.73027414295147	10.4869800516371	5.60641193306243	4.71014146566795	4.66817348048893	4.91469688469466	4.66791339721093	4.8299346872456
