"__glayCluster","name","selected","shared name"
"6","ADAMDEC1","false","ADAMDEC1"
"9","HECW2-AS1","false","HECW2-AS1"
"6","IGKJ5","false","IGKJ5"
"6","IL2RG","false","IL2RG"
"6","IFI30","false","IFI30"
"9","BCL2A1","false","BCL2A1"
"6","GPR174","false","GPR174"
"6","IL18","false","IL18"
"6","APOC4-APOC2","false","APOC4-APOC2"
"6","IL12RB1","false","IL12RB1"
"6","LOC102724765","false","LOC102724765"
"9","SDS","false","SDS"
"9","SLAMF8","false","SLAMF8"
"6","ZBP1","false","ZBP1"
"9","PCOLCE-AS1","false","PCOLCE-AS1"
"6","IL1R2","false","IL1R2"
"6","TFEC","false","TFEC"
"6","SERPINA1","false","SERPINA1"
"6","LIPM","false","LIPM"
"6","CRTAM","false","CRTAM"
"6","APOC1","false","APOC1"
"6","SIRPG","false","SIRPG"
"6","TYMP","false","TYMP"
"6","CD96","false","CD96"
"6","ICAM1","false","ICAM1"
"6","AIM2","false","AIM2"
"6","CD2","false","CD2"
"6","CD5","false","CD5"
"6","CD70","false","CD70"
"6","SIT1","false","SIT1"
"6","CXCR3","false","CXCR3"
"6","CD3D","false","CD3D"
"9","LINC01615","false","LINC01615"
"9","MARCO","false","MARCO"
"9","MIR147B","false","MIR147B"
"9","PELATON","false","PELATON"
"9","RGS1","false","RGS1"
"9","ZNF683","false","ZNF683"
"9","ITGAX","false","ITGAX"
"2","OTOAP1","false","OTOAP1"
"9","KCNN4","false","KCNN4"
"6","TMEM156","false","TMEM156"
"9","PTPRN","false","PTPRN"
"9","TFAP2A","false","TFAP2A"
"9","PLEKHN1","false","PLEKHN1"
"9","CLEC5A","false","CLEC5A"
"9","C15orf48","false","C15orf48"
"9","FGF5","false","FGF5"
"9","COL8A1","false","COL8A1"
"9","STEAP3","false","STEAP3"
"9","OSM","false","OSM"
"9","CCDC171","false","CCDC171"
"9","ST14","false","ST14"
"6","LOC101927344","false","LOC101927344"
"9","TREM2","false","TREM2"
"6","FBP1","false","FBP1"
"9","LOC105373581","false","LOC105373581"
"9","NLRP2","false","NLRP2"
"9","ANPEP","false","ANPEP"
"9","RGS16","false","RGS16"
"9","SOCAR","false","SOCAR"
"13","LRRC37A8P","false","LRRC37A8P"
"13","FAM95C","false","FAM95C"
"13","MAST1","false","MAST1"
"13","GS1-24F4.2","false","GS1-24F4.2"
"13","BRME1","false","BRME1"
"12","SPC24","false","SPC24"
"13","RAB7B","false","RAB7B"
"13","TRNV","false","TRNV"
"13","NRXN1","false","NRXN1"
"13","IGFBPL1","false","IGFBPL1"
"13","DPYSL5","false","DPYSL5"
"13","CNIH2","false","CNIH2"
"13","MESP1","false","MESP1"
"13","SBK1","false","SBK1"
"13","LMO1","false","LMO1"
"13","LOC105376042","false","LOC105376042"
"13","KBTBD12","false","KBTBD12"
"13","FAM30C","false","FAM30C"
"13","CDKN2A","false","CDKN2A"
"13","ANKRD18A","false","ANKRD18A"
"13","MIR503HG","false","MIR503HG"
"13","CRYBG2","false","CRYBG2"
"13","LOC105376041","false","LOC105376041"
"13","CDKN2B","false","CDKN2B"
"13","NUP210","false","NUP210"
"13","IRF6","false","IRF6"
"13","CA3","false","CA3"
"13","ELAVL3","false","ELAVL3"
"13","FAM201A","false","FAM201A"
"22","C7","false","C7"
"22","THBS4-AS1","false","THBS4-AS1"
"22","SCN7A","false","SCN7A"
"22","MIMT1","false","MIMT1"
"22","GLB1L3","false","GLB1L3"
"22","THBS4","false","THBS4"
"12","LOC112268460","false","LOC112268460"
"12","CCDC150","false","CCDC150"
"12","H2AX","false","H2AX"
"4","NT5DC4","false","NT5DC4"
"12","DLGAP5","false","DLGAP5"
"12","HJURP","false","HJURP"
"42","CENPA","false","CENPA"
"12","ERCC6L","false","ERCC6L"
"12","SNHG31","false","SNHG31"
"39","CDT1","false","CDT1"
"12","E2F1","false","E2F1"
"12","BLM","false","BLM"
"12","CDCA5","false","CDCA5"
"12","RRM2","false","RRM2"
"12","TROAP","false","TROAP"
"12","KIF18A","false","KIF18A"
"12","EXO1","false","EXO1"
"32","POC1A","false","POC1A"
"9","CRNDE","false","CRNDE"
"12","RACGAP1","false","RACGAP1"
"12","AURKA","false","AURKA"
"12","TICRR","false","TICRR"
"12","NCAPH","false","NCAPH"
"12","ZIC2","false","ZIC2"
"12","XRCC2","false","XRCC2"
"12","SAPCD2","false","SAPCD2"
"12","LMNB1","false","LMNB1"
"12","LOC105371050","false","LOC105371050"
"12","PRR11","false","PRR11"
"12","KIF14","false","KIF14"
"13","SLC26A9-AS1","false","SLC26A9-AS1"
"12","MKI67","false","MKI67"
"12","SPC25","false","SPC25"
"12","CDC6","false","CDC6"
"12","FOXM1","false","FOXM1"
"12","DIAPH3","false","DIAPH3"
"12","CCNE1","false","CCNE1"
"12","AURKB","false","AURKB"
"12","CCNB2","false","CCNB2"
"20","KIF23","false","KIF23"
"12","PCLAF","false","PCLAF"
"12","H3C14","false","H3C14"
"4","KY","false","KY"
"12","ORC1","false","ORC1"
"12","E2F2","false","E2F2"
"12","IRX5","false","IRX5"
"18","MKX","false","MKX"
"12","TRIP13","false","TRIP13"
"12","CCNF","false","CCNF"
"12","XKR5","false","XKR5"
"12","CENPM","false","CENPM"
"12","CENPI","false","CENPI"
"12","UHRF1","false","UHRF1"
"12","BRIP1","false","BRIP1"
"12","TACC3","false","TACC3"
"12","CIT","false","CIT"
"12","KIF11","false","KIF11"
"12","SPSB4","false","SPSB4"
"29","SHANK1","false","SHANK1"
"12","GINS1","false","GINS1"
"9","H3C2","false","H3C2"
"12","SGO2","false","SGO2"
"12","KIF4B","false","KIF4B"
"12","RECQL4","false","RECQL4"
"12","AKR1C3","false","AKR1C3"
"12","E2F7","false","E2F7"
"12","MYBL2","false","MYBL2"
"12","MTFR2","false","MTFR2"
"12","SGO1-AS1","false","SGO1-AS1"
"12","BIRC5","false","BIRC5"
"12","HMMR","false","HMMR"
"12","CDC20","false","CDC20"
"4","PIMREG","false","PIMREG"
"12","TEDC2","false","TEDC2"
"12","PLK1","false","PLK1"
"12","CEP55","false","CEP55"
"12","MELK","false","MELK"
"12","PTTG1","false","PTTG1"
