Bicluster,Genes,Condiciones,NumGenes,NumCondiciones
47,LOC101928202;MINDY4B;TMED11P;LOC105375027;LINC01016;SLC22A11;LINC02370;KLK3;LOC105372863,Tumor1;Tumor2;Tumor3;Tumor5;Tumor6;Tumor7;Tumor8;Tumor9;Tumor11;Tumor15;Tumor18,9,11
48,NT5DC4;SLC12A8;DEPDC1B;LOC105375027;LINC01016;GPR22;LOC105375690;GLB1L3;GALNT9;GPR12;DIAPH3;DLGAP5;KLK6;GAGE2A,Tumor2;Tumor5;Tumor7;Tumor9;Tumor13;Tumor15;Tumor18,14,7
49,CDCA8;DEPDC1;FAM72D;ASPM;NCAPG;ANLN;KNL1;NUSAP1,Tumor1;Tumor2;Tumor3;Tumor4;Tumor5;Tumor6;Tumor8;Tumor10;Tumor13;Tumor14;Tumor16;Tumor18,8,12
50,DRAXIN;CDC20;KIF2C;CENPA;HJURP;LMNB1;ZWINT;GTSE1,Tumor1;Tumor2;Tumor3;Tumor4;Tumor5;Tumor7;Tumor8;Tumor9;Tumor11;Tumor13;Tumor16;Tumor18,8,12
51,RAB3B;FOXD3-AS1;SLAMF9;INAVA;LINC01857;BFSP2;AKR1B10;E2F8;HOXC13;HOXC11;SERPINA1;EXOC3L4;LOC100288637;IGF2BP1;CD70;WDR62,Tumor2;Tumor5;Tumor7;Tumor9;Tumor13;Tumor15,16,6
52,TNFRSF9;AIM2;BFSP2;GS1-24F4.2;GATA3;ANKRD1;LOC105369685;SERPINA1;SLC27A2;LCMT1-AS2;SYT4;LOC105372613;KLHDC7B,Tumor2;Tumor5;Tumor7;Tumor11;Tumor12;Tumor15;Tumor16,13,7
53,DUSP5P1;RFX8;LRRC15;DNAJC5B;LOC105378305;LOC107984475;LINC01050;LINC01583;LOC105370924;CSAG1,Tumor1;Tumor3;Tumor6;Tumor7;Tumor8;Tumor12;Tumor14;Tumor15;Tumor18,10,9
54,MINDY4B;TMED11P;CRISP2;PRLHR;DENND2B-AS1;HOXB13;LOC105372863;GAGE12H;GAGE2A,Tumor1;Tumor2;Tumor4;Tumor5;Tumor6;Tumor7;Tumor8;Tumor9;Tumor12;Tumor15,9,10
55,IQGAP3;CKAP2L;SPC25;KIFC1;ANLN;CDCA2;ESCO2;NUSAP1;ERCC6L,Tumor1;Tumor2;Tumor3;Tumor4;Tumor5;Tumor10;Tumor11;Tumor13;Tumor14;Tumor18,9,10
56,E2F2;NUF2;EXO1;BUB1;KIF15;PLK1;LOC107985017;PIMREG;CDC45,Tumor1;Tumor2;Tumor3;Tumor8;Tumor10;Tumor12;Tumor13;Tumor14;Tumor16;Tumor18,9,10
57,CENPF;CKAP2L;PTTG1;KIFC1;CDCA2;LHX2;PCLAF;PRC1;CCNF,Tumor1;Tumor2;Tumor3;Tumor7;Tumor8;Tumor11;Tumor13;Tumor15;Tumor16;Tumor18,9,10
58,CLSPN;POLQ;MELK;KIF11;SKA3;SPAG5;APOBEC3B;APOBEC3B-AS1,Tumor2;Tumor3;Tumor4;Tumor7;Tumor9;Tumor10;Tumor11;Tumor12;Tumor15;Tumor16;Tumor18,8,11
59,LINC01857;SLC12A8;C5orf46;OLR1;TMEM52B;SDS;C15orf48;MIR147B;IFI30;APOC4-APOC2;APOC2,Tumor2;Tumor3;Tumor5;Tumor7;Tumor8;Tumor10;Tumor14;Tumor18,11,8
