Bicluster,Genes,Condiciones,NumGenes,NumCondiciones
1,ARHGEF16;HTR1D;E2F2;CLSPN;CDCA8;CDC20;CYP2J2;AK5;LPAR3;GBP5;COL11A1;NBPF6;FAM72C;FAM72D;PRR9;S100A2;AIM2;SLAMF9;NUF2;LINC00626;KIF14;FAM72A;NEK2;CENPF;CNIH3-AS1;LOC102723834;DUSP5P1;ACTA1;EXO1;SOX11;RRM2;KCNF1;DPYSL5;ATP6V1B1-AS1;101928152;NT5DC4;CKAP2L;SCN7A;LINC01857;NYAP2;HJURP;PDCD1;SGO1;LOC105377043;TRAT1;ZBED2;CD80;ILDR1;SLC12A8;BFSP2;LINC03109;VEPH1;CLDN1;LRRC15;TMED11P;TACC3;LINC02475;SCFD2-AS1;NMU;CXCL9;CXCL10;SOWAHB;FGF5;NKX6-1;CENPE;MAD2L1;LOC105377404;CLGN;LOC105377508;DEPDC1B;CCNB1;TMEM171;HAPLN1;ADAMTS19;CDC25C;C5orf46;SLC6A7;PTTG1;H2BC9;KIFC1;LINC01016;TBX18;TMEM244;MTFR2;LOC102723724;ULBP2;LINC03016;IGF2BP3;ANLN;LUARIS;DLX6;DLX5;GPR22;AKR1B10;LOC105375610;FAM167A;SH2D4A;ADAMDEC1;CDCA2;ESCO2;IDO1;DNAJC5B;LOC107986951;LOC105375894;KCNB2;ZFHX4-AS1;STMN2;LINC02849;LINC03044;MIR31HG;IFNE;CDKN2A-AS1;IGFBPL1;ANKRD18A;FAM201A;SAPCD2;GATA3;LOC105378305;CDK1;CEP55;LINC02944;PRLHR;LOC105378523;MKI67;BBOX1;BBOX1-AS1;KIF18A;FAM111B;SLC22A11;CDCA5;MMP12;GRIA4;VSIG10L2;BARX2;GLB1L3;LINC00942;FOXM1;107987172;OLR1;107984129;LOC105369685;DDN;TROAP;KRT71;SDS;LINC00944;LINC02370;GALNT9;LINC01050;TRAC;LINC01551;COCH;LOC100506071;PAX9;CDKN3;DLGAP5;SIX1;MAP3K9-DT;RGS6;EXOC3L4;LINC00221;LOC107984763;C15orf48;MIR147B;CCNB2;PCLAF;KIF23;ISL2;LINC01583;MESP2;BLM;CCNF;HS3ST2;LCMT1-AS2;SHCBP1;LOC105371275;IRX5;HASPIN;LOC107985017;AURKB;HS3ST3A1;MGC12916;SPAG5;LOC105371737;LRRC37A8P;RDM1;CCL18;KIF18B;HOXB13;IGF2BP1;PRR11;CACNG5;SOX9-AS1;SOX9;BIRC5;SYT4;SIGLEC15;SKA1;LOC105372115;DCC;LOC284240;UHRF1;CD70;ZNF560;ELAVL3;ASF1B;CYP4F2;CCDC194;IFI30;WDR62;APOC4-APOC2;APOC2;KLK5;NLRP2;LOC101929707;LOC105372613;MYBL2;MMP9;SLC12A5-AS1;SALL4;CLDN14;RIPK4;TMPRSS3;LINC02575;CDC45;PRAME;OSM;APOBEC3B-AS1;GTSE1;KLHDC7B;107985627;FRMPD4;TLR8-AS1;LINC02154;LOC105373150;GAGE2A;KIF4A;CSAG1;CSAG3,Control4;Control5;Control7;Control13,239,4
2,PLA2G2D;HTR1D;E2F2;RUNX3;RUNX3-AS1;CRYBG2;CDCA8;RAB3B;FOXD3-AS1;AK5;LPAR3;COL11A1;FAM72C;PRR9;SLAMF9;ATP1A2;NECTIN4;LINC00626;LINC00862;INAVA;LAMB3;MIR4260;IRF6;DUSP5P1;SOX11;DPYSL5;ATP6V1B1-AS1;LINC01943;IGKJ5;NCAPH;RFX8;SOCAR;STEAP3;SCN7A;DLX1;LINC01857;CXCR2P1;PTPRN;NYAP2;SGO1;LOC105377043;LMOD3;RDUR;LOC151760;ZBED2;POLQ;ILDR1;SLC12A8;BFSP2;GPR87;LINC03109;VEPH1;CLDN1;LRRC15;TMED11P;LOC112268460;NCAPG;LINC02475;SCFD2-AS1;NMU;SOWAHB;FGF5;NDST3;MAD2L1;LOC105377404;LOC105377508;ISL1;LINC02998;TMEM171;THBS4-AS1;HAPLN1;SPINK1;SLC6A7;TENM2;TFAP2A;TFAP2A-AS1;H3C3;H2AC13;HLA-G;LOC107986606;TTK;TMEM244;MTFR2;LOC102723724;ULBP2;ULBP1;DACT2;LUARIS;DLX6;TFR2;GPR22;AKR1B10;FAM167A;SH2D4A;DNAJC5B;LOC105375894;ZFHX4-AS1;STMN2;LINC02849;ATP6V0D2;LINC03044;LOC105375690;MIR31HG;IFNE;CDKN2A-AS1;IGFBPL1;FAM95C;ANKRD18A;FAM201A;112268037;LHX2;OBP2A;SAPCD2;LOC105378305;ANKRD1;LINC02944;LMO1;DENND2B-AS1;E2F8;MUC15;BBOX1-AS1;LOC105369315;GRIA4;BARX2;ST14;LINC00942;OLR1;TMEM52B;MGST1;KRT71;MIR9898;HOXC13;HOXC11;LGR5;SDS;LINC00944;LINC02370;GPR12;LINC01050;PCDH9;TRAC;LINC01551;RGS6;SERPINA1;IGHG3;FAM30C;MKRN3;LOC107984763;KNL1;PPIAP46;ISL2;LINC01583;LOC105370960;ACAN;MESP2;PRC1;PRSS21;LOC107984851;HS3ST2;PLK1;LINC02195;LOC105371275;SPAG5;LOC105371737;LRRC37A8P;CCL18;KRT31;HOXB13;IGF2BP1;DLX4;CACNG5;LINC01152;SOX9-AS1;MIR924HG;SYT4;SIGLEC15;LIPG;LOC105372115;DCC;ALPK2;HMSD;CD70;CCDC194;PBX4;APOC2;FAM83E;KLK3;KLK5;KLK6;KLK7;SIGLEC12;SIRPG;LOC105372613;LOC107985492;RIPPLY3;RIPK4;TMPRSS3;LINC02575;LOC105372863;SERPIND1;IGLV3-1;APOBEC3B-AS1;WNT7B;KLHDC7B;107985627;TLR8-AS1;LINC02154;LOC105373150;GAGE2A;CSAG1;CSAG3,Control1;Control2;Control3;Control8,211,4
3,ARHGEF16;DRAXIN;RUNX3;RUNX3-AS1;CLSPN;CDCA8;DEPDC1;ST6GALNAC5;AK5;LPAR3;GBP5;FAM72C;PRR9;AIM2;SLAMF9;NUF2;LINC00626;FMO3;LOC105371664;KIF14;FAM72A;NEK2;LOC102723834;DUSP5P1;SOX11;DPYSL5;SRD5A2;NRXN1;IGKJ5;NCAPH;SOCAR;NT5DC4;SCN7A;ICOS;CXCR2P1;PTPRN;NYAP2;PDCD1;SGO1-AS1;COL8A1;CD80;POLQ;ILDR1;VEPH1;CLDN1;GMNC;TMED11P;TACC3;JCHAIN;CXCL9;SOWAHB;FGF5;NKX6-1;MTTP;CENPE;MAD2L1;CCNO;THBS4-AS1;HAPLN1;ADAMTS19;PITX1;CDC25C;SLC6A7;HMMR-AS1;WWC1;H3C3;H2BC9;H3C8;UBD;HLA-G;KIFC1;LOC105375027;CRISP2;TTK;TCF21;ULBP2;DACT2;SMOC2;ABCB5;IGF2BP3;DLX5;LOC105375610;SH2D4A;ESCO2;PBK;IDO1;SFRP1;LOC107986951;LOC105375894;STMN2;LINC03044;LOC105375690;LOC107986990;CDKN2A-AS1;MELK;FAM95C;LOC105378305;ZWINT;TACR2;PRLHR;LINC00601;DENND2B-AS1;E2F8;KIF18A;LRRC55;LOC105369315;SLC22A11;DRD2;VSIG10L2;FOXM1;TMEM52B;107984129;MGST1;LOC105369685;KRT8;ESPL1;SDS;LINC02370;GALNT9;DIAPH3;CMTM5;LOC100506071;PAX9;SIX1;TMEM30B;MAP3K9-DT;RGS6;EXOC3L4;LINC00221;LOC100288637;ARHGAP11A;BUB1B;LOC107984763;ISL2;ACAN;BLM;PRC1;CCNF;LOC105371050;SRL;PLK1;ERN2;LCMT1-AS2;IL21R;IRX3;LOC105371275;CHST6;LOC107985017;PIMREG;LRRC37A8P;RDM1;PRR11;SIGLEC15;LIPG;DCC;LOC284240;SPC24;ELAVL3;CYP4F2;WDR62;KCNN4;APOC4-APOC2;APOC2;KLK3;KLK6;KLK7;NLRP2;MMP9;SLC12A5-AS1;SALL4;AURKA;GATA5;RIPPLY3;LINC02575;CDC45;IGLV3-1;APOBEC3B-AS1;RIBC2;WNT7B;KLHDC7B;TLR8-AS1;LINC02154;VEGFD;KIF4A;IRS4;AGTR2,Control10;Control12;Control13;Control15,186,4
4,ARHGEF16;DRAXIN;E2F2;CDC20;KIF2C;DEPDC1;GBP5;FAM72B;FAM72C;IQGAP3;NUF2;ASPM;KIF14;FAM72A;IRF6;NEK2;CENPF;EXO1;RRM2;KCNF1;CENPA;DPYSL5;SRD5A2;NRXN1;LINC01943;101928152;NCAPH;BUB1;STEAP3;SCN7A;SPC25;CXCR2P1;SGO1;KIF15;LMOD3;LOC151760;ZBED2;POLQ;BFSP2;GPR87;VEPH1;GMNC;LRRC15;TACC3;NMU;JCHAIN;CXCL9;CXCL10;FGF5;CENPE;CLGN;DEPDC1B;CCNB1;HAPLN1;LMNB1;ADAMTS19;PITX1;HMMR;HMMR-AS1;TENM2;KIFC1;RUNX2;TTK;TCF21;ULBP2;SMOC2;IGF2BP3;LUARIS;DLX5;GPR22;FAM167A;LGI3;CDCA2;ESCO2;PBK;IDO1;SFRP1;LOC107986951;KCNB2;ZFHX4-AS1;STMN2;LOC105375690;LOC107986990;CDKN2B-AS1;MELK;IGFBPL1;OBP2A;SAPCD2;GATA3;MCM10;MKX;ZWINT;CDK1;TACR2;CEP55;MKI67;KIF18A;CDCA5;DGAT2;GRIA4;ST14;GLB1L3;TMEM52B;107984129;MGST1;KRT71;KRT8;MIR9898;HOXC11;E2F7;SDS;GALNT9;SKA3;GPR12;PCDH9;LINC01551;COCH;DLGAP5;TMEM30B;MAP3K9-DT;SERPINA1;EXOC3L4;IGHG3;MKRN3;LOC100288637;C15orf48;MIR147B;CCNB2;PCLAF;CPLX3;LOC105370960;PRC1;CCNF;PLK1;LINC02195;SHCBP1;IRX3;IRX5;CHST6;HASPIN;PIMREG;AURKB;HS3ST3A1;MGC12916;SPAG5;ASIC2;TOP2A;KIF18B;PRR11;BIRC5;MIR924HG;SYT4;SKA1;ALPK2;UHRF1;ZNF560;SPC24;ASF1B;CYP4F2;WDR62;APOC4-APOC2;FAM83E;KLK5;NLRP2;TPX2;SALL4;AURKA;GATA5;TMPRSS3;CDC45;IGLV3-1;APOBEC3B;RIBC2;GTSE1;FRMPD4;VEGFD;LOC105373150;KIF4A;ERCC6L;PLP1;IRS4;AGTR2,Control3;Control4;Control9;Control10,182,4
5,HTR1D;RUNX3;FOXD3-AS1;NBPF6;FAM72C;ATP1A2;ATP6V1B1-AS1;IGKJ5;NT5DC4;CXCR2P1;SGO1-AS1;LMOD3;RDUR;BFSP2;LINC03109;VEPH1;TACC3;LOC112268460;LINC02475;SCFD2-AS1;JCHAIN;CXCL9;CENPE;MAD2L1;LOC105377404;LOC105377508;ISL1;CCNO;TMEM171;ADAMTS19;PITX1;KIFC1;CRISP2;LOC107986606;TMEM244;ULBP1;LINC03016;LUARIS;ADAMDEC1;KCNB2;LINC02849;ATP6V0D2;LOC105375690;IFNE;FAM201A;LHX2;MKX;LINC00601;BBOX1-AS1;MMP12;GRIA4;LINC00942;MGST1;SKA3;LINC01551;IGHG3;MKRN3;ARHGAP11A;KIF23;ISL2;LINC01583;LOC105370960;PRSS21;LOC107984851;LINC02195;CCL18;TBX4;LINC01152;SYT4;LOC105372115;HMSD;CCDC194;LOC105372613;EYA2-AS1;SALL4;GATA5;LOC107985492;LOC107985513;RIPK4;TMPRSS3;PRAME;IGLV3-1;KLHDC7B;FRMPD4;LINC02154;LOC105373150;CSAG3,Control5;Control6;Control10;Control11;Control12;Control13,87,6
6,E2F2;FOXD3-AS1;LPAR3;COL11A1;SLAMF9;LINC00862;LAMB3;MIR4260;CENPF;RRM2;ATP6V1B1-AS1;IGKJ5;NT5DC4;EN1;ZBED2;ILDR1;BFSP2;GPR87;LINC02475;LOC105377404;TMEM171;PITX1;H3C8;KIFC1;CRISP2;LOC107986606;TCF21;DLX6;KCNB2;LINC02849;LOC105375690;FAM201A;OBP2A;MUC15;LRRC55;LOC105369315;FOLR1;LINC00942;FOXM1;107987172;LINC01050;LINC01551;SERPINA1;MKRN3;LOC107984763;AQP9;MESP2;LINC02195;LRRC37A8P;KIF18B;HOXB13;BIRC5;SYT4;SIGLEC15;LOC105372115;ZNF560;CYP4F2;FAM83E;LOC107985492;LOC107985513;RIPK4;TMPRSS3;LINC02575;APOBEC3B;APOBEC3B-AS1;LINC02154;GAGE2A;CSAG3,Control2;Control3;Control4;Control7;Control16;Control17,68,6
7,E2F2;CRYBG2;CDCA8;RAB3B;CYP2J2;COL11A1;NBPF6;PRR9;S100A2;DPYSL5;LINC01943;RFX8;SCN7A;LOC105377123;LMOD3;RDUR;BFSP2;VEPH1;NMU;CENPE;NDST3;LOC105377404;CLGN;NEIL3;ISL1;H2BC9;H2AC13;HLA-G;LOC105375027;LINC01016;CRISP2;TBX18;DACT2;SMOC2;LINC03016;ABCB5;LOC105375610;SH2D4A;IDO1;ZFHX4-AS1;CDKN2B-AS1;AQP7;IGFBPL1;SAPCD2;TACR2;KIF11;LINC02944;C10orf88B;LINC00601;LMO1;BBOX1;KIF18A;PRRG4;107987172;LOC105369685;HOXC13;LINC02370;GPR12;PCDH8;COCH;LOC100506071;MAP3K9-DT;PPIAP46;LOC105370960;IRX5;LOC105371737;SOX9;HMSD;ELAVL3;WDR62;KLK7;MMP9;SLC12A5-AS1;AURKA;CLDN14;LOC107985513;PRAME;107985627;GAGE2A;ERCC6L,Control2;Control3;Control5;Control11;Control17,80,5
8,TNFRSF9;RUNX3-AS1;FOXD3-AS1;SLAMF9;LINC00626;LINC00862;ACTA1;SOX11;CKAP2L;LINC01857;NYAP2;LOC151760;GPR87;LINC02475;SOWAHB;NKX6-1;LOC105377508;TMEM171;CDC25C;SLC6A7;TFAP2A-AS1;LOC107986606;DLX6;ADAMDEC1;DNAJC5B;KCNB2;ATP6V0D2;LOC105375690;MIR31HG;IFNE;ANKRD18A;FAM201A;LHX2;OBP2A;MUC15;BBOX1-AS1;LOC105369315;LINC00942;107984129;LGR5;LINC01551;FAM30C;MKRN3;ISL2;PRC1;LINC02195;NOS2P3;ASIC2;HOXB13;IGF2BP1;DLX4;LINC01152;PBX4;FAM83E;LOC107985492;RIPPLY3;LOC107985513;RIPK4;TMPRSS3;WNT7B;LINC02154,Control3;Control7;Control8;Control13;Control16;Control17,61,6
9,HTR1D;FOXD3-AS1;LPAR3;SLAMF9;LINC00862;ATP6V1B1-AS1;ZBED2;ILDR1;GPR87;TMEM171;LOC107986606;TMEM244;ULBP1;KCNB2;LINC02849;LOC105375690;IFNE;FAM201A;LHX2;MUC15;SLC22A11;BARX2;LINC01551;FAM30C;LOC107984763;LINC01583;HS3ST3A1;MGC12916;CCL18;IGF2BP1;DLX4;SYT4;LOC105372115;CCDC194;LOC107985492;LINC02575;WNT7B;TLR8-AS1;GAGE2A;CSAG1;CSAG3,Control2;Control3;Control5;Control7;Control8;Control9;Control10;Control13,41,8
10,FAM72B;FAM72C;PRR9;LOC101928202;SLAMF9;KIF14;FAM72A;NEK2;RRM2;KCNF1;BUB1;SOCAR;CKAP2L;PTPRN;ILDR1;SCFD2-AS1;NEIL3;LINC02998;CCNB1;LMNB1;HMMR;HMMR-AS1;LOC105375027;SMOC2;ANLN;PBK;LOC107986951;STMN2;AQP7;MELK;ZWINT;CDK1;CEP55;PRLHR;PRRG4;SLC22A11;VSIG10L2;ARHGAP11A;BUB1B;NUSAP1;PRC1;SRL;ERN2;IRX3;LRRC37A8P;TOP2A;KRT31;UHRF1;ASF1B;KLK5;NLRP2;SLC12A5-AS1;RIBC2;TLR8-AS1,Control2;Control7;Control8;Control9;Control12;Control15,54,6
