interaction,Kendall,name,NMI,selected,shared interaction,shared name,Spearman,Weight
SKA3,0.78333336,CCNB1,0.9442873,False,SKA3,CCNB1,0.8882353,0.8719519972801208
CXCL9,0.76151294,CD3D,0.9508197,False,CXCL9,CD3D,0.9006625,0.8709983825683594
NUSAP1,0.73333335,CEP55,0.984127,False,NUSAP1,CEP55,0.89411765,0.8705260157585144
IFI30,0.73333335,SERPINA1,1.0,False,IFI30,SERPINA1,0.87647057,0.869934618473053
RAB7B,0.73333335,HSD11B2,1.0,False,RAB7B,HSD11B2,0.87647057,0.869934618473053
KIF18B,0.75,RRM2,0.9508197,False,KIF18B,RRM2,0.90588236,0.868900716304779
ASPM,0.75,RRM2,0.9508197,False,ASPM,RRM2,0.90588236,0.868900716304779
CD3E,0.73333335,CD38,0.984127,False,CD3E,CD38,0.88529414,0.8675848841667175
TEDC2,0.8,CLSPN,0.88932383,False,TEDC2,CLSPN,0.9117647,0.8670294880867004
RRM2,0.75,CEP55,0.9677419,False,RRM2,CEP55,0.88235295,0.8666982650756836
MELK,0.75,CEP55,0.9677419,False,MELK,CEP55,0.88235295,0.8666982650756836
NCAPG,0.73333335,DLGAP5,0.984127,False,NCAPG,DLGAP5,0.88235295,0.8666045069694519
MT2A,0.75,SPINT1,0.9508197,False,MT2A,SPINT1,0.89705884,0.8659594655036926
SPAG5,0.75,CDC20,0.9677419,False,SPAG5,CDC20,0.87941176,0.865717887878418
IL2RB,0.76666665,SLAMF7,0.91525424,False,IL2RB,SLAMF7,0.9147059,0.8655422329902649
CRADD-AS1,0.71666664,SOCS2-AS1,1.0,False,CRADD-AS1,SOCS2-AS1,0.87941176,0.8653594851493835
BIRC5,0.71666664,P3H2,1.0,False,BIRC5,P3H2,0.87647057,0.8643791079521179
LUCAT1,0.9310345,LOC107985492,0.6706538,False,LUCAT1,LOC107985492,0.9911111,0.8642664551734924
SCN7A,0.71666664,DHCR24,0.984127,False,SCN7A,DHCR24,0.89117646,0.8639900088310242
NUF2,0.71666664,CEP55,0.984127,False,NUF2,CEP55,0.8882353,0.8630096316337585
