attr_name	Tumor_25	NormalMyometrium_1	NormalMyometrium_2	NormalMyometrium_3	NormalMyometrium_4	NormalMyometrium_5	NormalMyometrium_6	NormalMyometrium_7	NormalMyometrium_8	NormalMyometrium_9	NormalMyometrium_10	NormalMyometrium_11	NormalMyometrium_12	NormalMyometrium_13	NormalMyometrium_14	NormalMyometrium_15	NormalMyometrium_16	NormalMyometrium_17	NormalMyometrium_18	NormalMyometrium_19	NormalMyometrium_20	NormalMyometrium_21	NormalMyometrium_22	NormalMyometrium_23	NormalMyometrium_24	NormalMyometrium_25	NormalMyometrium_26	NormalMyometrium_27	NormalMyometrium_28	NormalMyometrium_29
201291_s_at	9.42245255734231	5.65047085183152	4.17185020926008	4.07703491651305	4.219123206199	4.42795113891401	4.25753768012941	4.29311448276586	4.50021031792835	4.61387872935911	4.38597844138712	4.38735580268102	4.24262008256586	4.34150174113679	8.33993185739456	4.08771438809069	4.60903688955049	5.60431991742259	4.78265583947781	4.59840672301771	4.47687831400658	4.40547207490516	7.17312574713588	4.31620856928406	4.5201000850643	4.48941613427506	4.50794536802648	4.46989604269902	4.46267199468046	4.46300888992717
201292_at	10.0640329229921	7.01369034206416	5.38649168810497	5.37757711641526	5.18504093434842	5.41049322593407	5.38033678213235	5.62119332205104	5.34018967413009	6.2008625929264	5.35205715903177	5.12661186531637	5.34948760411937	5.20195817416203	9.43785207300996	5.37953554861089	5.34868965891533	6.28841752416596	5.72589361028554	5.45937349704948	5.29073034160121	5.3500997092965	7.66582624724199	5.17471723965995	5.2689577645054	5.23032394139473	5.51024082965738	5.18830353805302	5.20431089400057	5.67870535972656
201525_at	7.97936020213731	11.738125581027	11.8649921748313	12.1415478601551	11.7635388703927	12.4418207101372	11.9749961407551	12.3190034274224	12.5139811330189	10.8839042116034	13.0084317040226	12.5408060968588	11.5979586463028	12.2965416815117	11.1576155782235	12.3846292380126	12.2273398967727	12.4514679930338	11.565899133037	13.0538101738091	12.389413001801	12.5056456053105	12.4112140658944	12.2457913930594	11.4955459603467	10.9435813196175	12.1994251432288	10.1953072148285	11.8112490485751	10.8470361378002
201890_at	10.304088792989	6.19796802546588	5.49861656509637	5.00954194197468	4.72361073708331	4.7573563438411	4.86282166052939	4.92667782525957	4.82156749136751	5.35807447717373	5.18736080483453	4.55066698279925	5.03404677679416	4.52361189408153	9.39252752988452	4.57781937772355	5.24009420711237	6.19796802546588	5.2880456398198	4.88539202893855	5.0119222548346	4.7951190593634	7.06481088280381	4.75659102084832	4.84085046553286	5.17702426575881	5.4001023742019	4.82224385893008	5.04367922339872	5.42247160389854
202095_s_at	9.5617696088813	6.11413351428363	5.23635592793425	5.32217043584269	5.53888325334235	5.3362832817542	5.18548682823089	5.43551264311983	5.7105329392048	5.69625465947874	5.30675595980354	5.37824190796864	5.34694040359751	5.18429257010731	8.72712458709144	5.3266980543182	5.7474556030036	5.79885852883715	5.53991743301858	5.25097515016294	5.30437246448252	5.25709251400153	6.98936733503701	4.96420751145966	5.29733782344064	5.31463669797792	5.24521491197458	5.25076885790256	4.9411922383653	4.95285602056513
202503_s_at	10.3670866981844	8.10857827189717	6.15586707126511	5.89087909926988	5.73721805150757	5.8170515643204	5.60202197757781	5.55606725670233	6.01125891988889	6.70107397645062	5.94704471969995	5.56124069019609	5.67457110197779	5.33495653167615	10.7223475678362	5.74821139282549	5.64415153229662	7.76154839176556	6.44789636146231	6.02746095072262	5.89134719099583	5.44883368994534	8.40560509302876	5.70067986500648	5.88740888377379	6.17288478789684	6.34543108131041	6.15025295553542	5.9769046070802	5.89825491419451
202589_at	10.77131634473	8.43248095665102	7.69511217226571	6.91395381447966	6.82664492385048	7.04722811007455	6.68748676202349	7.04988268514536	7.4086374368294	7.54394392510667	7.36455164213546	6.54480349675324	8.09790723947767	5.91933542942173	10.829023198693	6.11520358191546	6.53076858721874	8.10417262019589	8.72755935370659	6.5681371071008	6.4199962435484	6.55836212843092	9.4272988764703	6.74481616230993	6.31144382924414	6.52270574697854	6.99045744752677	6.97265939652886	6.48319029737978	6.78417760318315
202870_s_at	9.62576144324428	6.43174457703151	5.88690722594255	5.7388706570525	5.81853639618854	5.63597623521358	5.74167971241334	5.73177164751692	5.56207221621813	5.83192905734057	5.80217656316598	5.97401050848341	5.74515994006045	5.77705851986505	8.84159531447178	5.60037397468966	5.70686854074189	5.98546708482119	5.65909368324232	5.89675526815654	5.76304926262403	5.59751186264004	6.49760535467317	5.92535539698333	5.84439286638626	5.74282124354337	5.7800552329579	5.61581150591499	5.72466149975847	5.50801681524505
202954_at	10.2601795405067	7.44059873403199	7.16106248479765	6.59893210740529	6.78560202863592	6.82277044655936	6.59415298649927	7.06671908498742	6.9371809045855	7.48304732531807	6.96261746989264	7.18699597680536	6.79428388566154	6.89169792506346	9.64656665057203	6.88188832723387	6.96824012650234	7.36230564464095	7.17519269579707	6.71869720011641	6.80146325302764	7.26758988695705	7.87183130069013	6.79367900531613	7.34023029958881	7.38097013103591	7.07772452309939	7.18225869432099	6.99232929670574	7.01927983851237
202992_at	7.84741517626617	10.5713501004299	11.5908772839769	11.5825800289655	10.2625259605878	11.2329867820485	11.6229395769799	12.0854608758829	12.1943841587825	11.761239717085	12.07437029409	11.9731593781991	12.0511250058471	11.5398719399236	10.0247264151426	11.9756004791393	11.0367149709342	11.8546853486669	12.4205777113385	11.7552599697234	12.3111119517591	12.2531237995961	11.6787633244249	11.8680914993099	11.4040861207689	11.4549771146982	11.959020108937	11.1187970886885	10.2739507969714	11.7129819400884
