__glayCluster,name,selected,shared name
15,CCL5,False,CCL5
5,SPHK1,False,SPHK1
15,CYTOR,False,CYTOR
15,KLHDC7B-DT,False,KLHDC7B-DT
15,MIR4435-2HG,False,MIR4435-2HG
15,IFI27,False,IFI27
15,LINC01871,False,LINC01871
15,OAS2,False,OAS2
15,LINC02541,False,LINC02541
15,MIR147B,False,MIR147B
15,SPN,False,SPN
15,CD180,False,CD180
15,HK3,False,HK3
15,PILRA,False,PILRA
15,S100A3,False,S100A3
15,LOC102724765,False,LOC102724765
15,ADTRP,False,ADTRP
15,KCNN4,False,KCNN4
15,CTSZ,False,CTSZ
15,PELATON,False,PELATON
15,UNC93B1,False,UNC93B1
15,LIPC,False,LIPC
15,IL18,False,IL18
15,PSTPIP1,False,PSTPIP1
15,KLHDC7B,False,KLHDC7B
15,LOC105375798,False,LOC105375798
15,RAC2,False,RAC2
15,TBC1D10C,False,TBC1D10C
15,SIGLEC8,False,SIGLEC8
15,SDS,False,SDS
15,BST2,False,BST2
15,MYO1G,False,MYO1G
15,C15orf48,False,C15orf48
15,LINC01857,False,LINC01857
15,LY75,False,LY75
15,UPP1,False,UPP1
15,FOSL1,False,FOSL1
15,ARL4C,False,ARL4C
15,CD52,False,CD52
15,DENND2D,False,DENND2D
15,APOC2,False,APOC2
15,PTAFR,False,PTAFR
15,FMNL1-DT,False,FMNL1-DT
15,APOBEC3G,False,APOBEC3G
15,GALNT6,False,GALNT6
15,APOC1,False,APOC1
15,KYNU,False,KYNU
15,LOC101928517,False,LOC101928517
15,CD6,False,CD6
15,P2RY6,False,P2RY6
15,CCL18,False,CCL18
15,BCL2A1,False,BCL2A1
15,UBASH3A,False,UBASH3A
15,IL1R2,False,IL1R2
15,ZBP1,False,ZBP1
15,IGSF6,False,IGSF6
15,CD3D,False,CD3D
15,NCF2,False,NCF2
15,CD300A,False,CD300A
15,TMEM156,False,TMEM156
15,EXOC3L4,False,EXOC3L4
15,CD300LF,False,CD300LF
15,OSCAR,False,OSCAR
15,CLDN14-AS1,False,CLDN14-AS1
15,LOC102723996,False,LOC102723996
15,LINC01615,False,LINC01615
15,APOBEC3H,False,APOBEC3H
15,HECW2-AS1,False,HECW2-AS1
15,ANPEP,False,ANPEP
15,RGS1,False,RGS1
15,OTOAP1,False,OTOAP1
15,FFAR4,False,FFAR4
9,PAQR4,False,PAQR4
9,SAP30,False,SAP30
9,CKAP2,False,CKAP2
9,FOXM1,False,FOXM1
9,C21orf58,False,C21orf58
9,CLSPN,False,CLSPN
5,ADORA2B,False,ADORA2B
9,CDKN2C,False,CDKN2C
9,CDCA2,False,CDCA2
9,LRR1,False,LRR1
9,SLC25A40,False,SLC25A40
9,GRM4,False,GRM4
9,CDCA4,False,CDCA4
9,SPSB4,False,SPSB4
5,MYL11,False,MYL11
9,ASPM,False,ASPM
9,CDC6,False,CDC6
9,DIAPH3,False,DIAPH3
9,FAM72A,False,FAM72A
9,FAM72C,False,FAM72C
9,FANCI,False,FANCI
9,ANP32E,False,ANP32E
9,NEK2,False,NEK2
9,ADCY1,False,ADCY1
9,TPX2,False,TPX2
9,SKA3,False,SKA3
9,TCF19,False,TCF19
9,CDKN2D,False,CDKN2D
9,PMAIP1,False,PMAIP1
9,KIF14,False,KIF14
9,RAD18,False,RAD18
9,MYBL1,False,MYBL1
9,RAD51,False,RAD51
9,DSCAML1,False,DSCAML1
9,RIBC2,False,RIBC2
9,CIP2A,False,CIP2A
9,LRRIQ3,False,LRRIQ3
9,MCM6,False,MCM6
9,LOC100294145,False,LOC100294145
9,GTSE1,False,GTSE1
9,FAM72B,False,FAM72B
9,LCORL,False,LCORL
9,RMI2,False,RMI2
5,GARNL3,False,GARNL3
9,CENPL,False,CENPL
9,CCNE1,False,CCNE1
9,MASTL,False,MASTL
9,TNNI1,False,TNNI1
9,CEP55,False,CEP55
9,CA2,False,CA2
5,RBL1,False,RBL1
9,LINC01238,False,LINC01238
9,LOC105370705,False,LOC105370705
9,ZNF503,False,ZNF503
9,LINC02849,False,LINC02849
5,LOC105370960,False,LOC105370960
9,KIF23,False,KIF23
2,PI4K2B,False,PI4K2B
5,FLRT2-AS1,False,FLRT2-AS1
9,SHCBP1,False,SHCBP1
9,CENPA,False,CENPA
9,FAM72D,False,FAM72D
9,ANKRD9,False,ANKRD9
9,DCLRE1B,False,DCLRE1B
9,DBF4,False,DBF4
9,HOPX,False,HOPX
9,CDKN3,False,CDKN3
9,C9orf40,False,C9orf40
9,USP1,False,USP1
5,SLC43A3,False,SLC43A3
9,C10orf143,False,C10orf143
9,PBK,False,PBK
9,E2F7,False,E2F7
9,ACYP1,False,ACYP1
9,HDGF,False,HDGF
9,TRAIP,False,TRAIP
7,C8orf48,False,C8orf48
9,CHAF1B,False,CHAF1B
9,ORC1,False,ORC1
5,GEN1,False,GEN1
2,MTBP,False,MTBP
9,MAD2L1,False,MAD2L1
9,KIF18A,False,KIF18A
9,ESCO2,False,ESCO2
9,DNMT3B,False,DNMT3B
9,ORC6,False,ORC6
9,SKA1,False,SKA1
9,KIF4A,False,KIF4A
2,SNORA10,False,SNORA10
9,RFC3,False,RFC3
9,RAD54L,False,RAD54L
9,RMI1,False,RMI1
2,SCARNA5,False,SCARNA5
9,INCENP,False,INCENP
9,CENPH,False,CENPH
9,CENPI,False,CENPI
9,PASK,False,PASK
9,CFAP20DC,False,CFAP20DC
9,LOC105372115,False,LOC105372115
9,SMC4,False,SMC4
9,TTK,False,TTK
9,SHMT1,False,SHMT1
9,ZWINT,False,ZWINT
9,CDC20,False,CDC20
9,BARD1,False,BARD1
9,DNAH11,False,DNAH11
9,PTPN3,False,PTPN3
5,FAM83D,False,FAM83D
9,LOC151760,False,LOC151760
9,SGO2,False,SGO2
9,UBE2C,False,UBE2C
2,C9orf43,False,C9orf43
2,ADCY4,False,ADCY4
9,ARHGAP11B,False,ARHGAP11B
9,DDX11L17,False,DDX11L17
9,KIF15,False,KIF15
9,SRGAP2B,False,SRGAP2B
9,POLA1,False,POLA1
2,BRCA2,False,BRCA2
9,CLGN,False,CLGN
9,ATP6V0D1,False,ATP6V0D1
9,IRX5,False,IRX5
9,PLK4,False,PLK4
9,FAM110D,False,FAM110D
9,TICRR,False,TICRR
2,DNA2,False,DNA2
9,CDC45,False,CDC45
9,ZIC2,False,ZIC2
9,SGO1,False,SGO1
9,INMT-MINDY4,False,INMT-MINDY4
9,DDIAS,False,DDIAS
9,MINDY4,False,MINDY4
9,SPC24,False,SPC24
9,ZDHHC14,False,ZDHHC14
9,CDC25C,False,CDC25C
2,SMOC2,False,SMOC2
9,C19orf81,False,C19orf81
9,XRCC2,False,XRCC2
9,BUB1,False,BUB1
