attr_name	NormalMyometrium_1	NormalMyometrium_2	NormalMyometrium_3	NormalMyometrium_4	NormalMyometrium_5	NormalMyometrium_6	NormalMyometrium_7	NormalMyometrium_8	NormalMyometrium_9	NormalMyometrium_10	NormalMyometrium_11	NormalMyometrium_12	NormalMyometrium_13	NormalMyometrium_14	NormalMyometrium_15	NormalMyometrium_16	NormalMyometrium_17	NormalMyometrium_18	NormalMyometrium_19	NormalMyometrium_20	NormalMyometrium_21	NormalMyometrium_22	NormalMyometrium_23	NormalMyometrium_24	NormalMyometrium_25	NormalMyometrium_26	NormalMyometrium_27	NormalMyometrium_28	NormalMyometrium_29
AA889653	11.8764414136624	12.5628076950849	13.0707842214423	12.1177781866321	12.1546728151555	11.9263367247208	12.4782912539082	12.7987355748642	13.0265933235264	11.1462010586686	13.0164819406181	13.1392194961254	13.1644965842105	11.2292175817932	12.2697475785728	13.7479345705721	12.2339021606742	12.1216025508251	12.3623256937845	13.2852069289637	13.0793169011869	12.2133877853923	11.5686205899838	13.0499540195933	11.9182310083317	13.2211429501821	13.1337103383326	11.9664739607368	13.3603748975173
ABCA8	9.56230915648172	9.19629903616918	9.6348853908437	8.3383686915968	10.1344532521216	10.6117874292154	9.86988525996133	8.94469293313475	8.8831238865361	9.96504177967266	10.1045748040304	9.19403493522823	9.39657482625045	8.24021346370467	10.0786833119393	9.19312712811518	9.57290283894225	10.1240312315965	9.5687361440928	9.6981889137634	8.95269223711087	10.2123577074705	10.0197266079038	9.68339981706673	10.3262188753369	10.1867162409537	8.89218209963111	11.3127084138422	9.50567716089695
ABCB1	8.95612739624766	9.35103509766667	8.79353059926771	8.60467109031553	9.5494091523958	9.33356384580096	8.55398342489618	9.42134994452022	9.68195389416622	9.98557351708964	9.00940852213251	9.0370639241486	9.26206972240506	8.39315361979106	9.93754308530407	8.70254587339298	9.46811379940177	9.229758460172	9.61957993072124	8.58963671674511	8.73038845934768	9.5046308192712	9.21178213670062	8.5989112818169	8.69145993252159	8.97696637721869	9.04134086907898	9.93895107008019	9.23451453720762
ABCG2	10.4754030219229	10.980984723938	9.59288237373263	11.0692362579378	10.7835343787398	11.1242786091185	10.7031576604899	10.4363601545845	11.6155247130171	11.7690485912628	9.87490383896067	10.0475292699141	10.6851819094235	10.2081918525558	10.8004979568962	10.1608518205974	10.6502351734589	10.8745254073642	10.784100806291	10.0039859518341	10.2164949586995	11.1551057407447	9.62422878276186	9.7772333957929	10.3147906287215	10.619600141784	10.6856280433378	10.4805809878999	10.4642459310582
ABLIM1	10.9779425748565	10.5148801151114	10.8351955753956	11.1874829046203	11.1841703342731	10.9844964128838	11.1621007020321	10.8898047793537	10.81042806861	11.2412296420809	11.1131596540502	10.7669859335569	10.7855136289098	10.11576323787	11.2645672663682	11.0883759118641	10.4875931982921	10.3210630560121	10.6648270859964	11.1644054665184	10.4417505661446	11.5563674709662	11.0866941387318	11.0375898526894	11.0506567179537	11.2469655098974	10.5205494329078	11.1789760038558	10.9683814863464
ACKR1	11.6618493637304	12.3217471074553	12.5801048914382	12.9268715198544	13.0773395980825	11.6055612975236	12.6655277259123	12.9435567444549	11.143729756452	12.9387241640146	12.3535563005855	11.5038598911195	12.8501114672007	10.248297003814	12.9856184609343	11.7078115916341	12.4761952724352	12.9230629663505	12.558739279993	12.2664784042537	12.1531045200466	12.3107428818473	12.6327592265726	12.3364804577304	12.7020943842339	11.6057622435965	11.3106481098692	12.1631278731507	12.3986672411294
ACKR4	4.7154599514824	7.69505724061644	7.8213400864434	6.33772603796085	7.9520648339792	8.07310004865242	9.05048712015457	9.45189378457042	4.92830708822331	7.79222527625334	7.66440170822709	6.09283482893449	8.11303080468462	4.31887226969794	9.79783278309193	6.48537508339258	8.17875528763595	7.70889023444441	8.63123164196389	8.23638472112644	7.3209757156827	7.90355492525977	9.32614101445061	9.45294636370996	8.87813205536529	8.07197865055013	7.37538251032406	7.41185305410272	7.38870663961113
ADAM12	8.7262798141742	5.13194164655121	5.16084877489041	5.5796286401396	5.66671261069638	5.18620626572648	5.30693040004245	6.46124080265249	5.3710813141065	5.4351228599163	5.13880258787739	5.73382107361791	5.02650372883048	10.8370956815083	4.88148049285362	5.18311169991052	7.53288181300052	5.01269110997886	5.30726327298118	5.36415568871455	5.2333282994889	5.79445152018657	5.07134439128178	5.10379713273804	5.60301866434097	5.1163348969555	5.14265665592269	5.44906177644574	5.13507477137067
ADH1B	10.0359027852494	10.2265146278502	9.99548573786929	11.1746503032152	10.9801089077889	11.5690405247352	11.2629954085544	10.4630099933086	9.93918732527536	11.5163822041716	11.0150781017063	11.0154177177349	10.3719827832649	7.77871765051405	11.6645115871842	10.9885986752494	10.6629097807569	10.8594155582685	10.9512384491047	11.4337614909301	10.4913034405493	10.8814850103138	11.5716633027578	11.5842268015657	11.37190091647	11.5979553718697	10.0529516043184	11.2180103732304	10.0743986614793
ADIRF	10.4387950414454	11.8215114064665	11.5800009143514	11.8631775673852	11.4328093311026	11.9221558470119	12.0405215333794	11.5693905526558	11.5924979148577	11.3503672532792	11.8352290524224	11.5158468457248	11.8486859595307	9.9462958895369	12.0491589517487	10.8778773700698	11.347070496158	11.9565874416073	12.0024512954252	11.4761553089535	11.5770592999969	10.6535359243829	12.0367806483513	11.540998708096	11.1838602027262	11.1015604328409	11.2557025462045	10.7318434778329	11.0747089683722
