interaction;name
MIR31HG;IFNE
CXCL10;CXCL9
DLX6-AS1;DLX6
ARHGAP11A;AURKA
TACC3;AURKA
CDC20;SHCBP1
WDR62;AURKA
KLK5;KLK7
RUNX3-AS1;RUNX3
HJURP;AURKA
CENPF;AURKA
LOC112268460;AURKA
LOC100506071;COCH
GBP5;CXCL9
CCNB1;SHCBP1
GTSE1;SHCBP1
CD80;CXCL9
UBE2C;AURKA
KIF4A;AURKA
CCNF;AURKA
LINC01551;FOXG1
NEK2;AURKA
BUB1;AURKA
KIF18A;SHCBP1
CKAP2L;SHCBP1
NCAPH;SHCBP1
FAM72D;AURKA
NEK2;SHCBP1
CLSPN;SHCBP1
SAPCD2;AURKA
KIFC1;SHCBP1
KIF11;SHCBP1
CDKN3;SHCBP1
CENPF;SHCBP1
TPX2;AURKA
FAM72D;SHCBP1
GTSE1;AURKA
CDCA2;AURKA
DIAPH3;AURKA
CKAP2L;AURKA
KIF14;SHCBP1
NCAPG;SHCBP1
NT5DC4;AURKA
KIF4A;SHCBP1
TPX2;SHCBP1
CDCA8;SHCBP1
ICOS;CXCL9
ASPM;SHCBP1
CDCA2;SHCBP1
TOP2A;AURKA
CDKN3;AURKA
ASPM;AURKA
TNFRSF9;CXCL9
DLGAP5;SHCBP1
CDC20;AURKA
FAM72A;AURKA
E2F2;AURKA
NUF2;SHCBP1
CDCA8;AURKA
CEP55;AURKA
EXOC3L4;KCNN4
NCAPG;AURKA
NUF2;HASPIN
SGO1-AS1;AURKA
HMMR;SHCBP1
DEPDC1;SHCBP1
LMNB1;SHCBP1
CDC25C;AURKA
EN1;RUNX3
CEP55;SHCBP1
LMNB1;AURKA
IFI30;ADAMDEC1
DLGAP5;HASPIN
CCNB2;AURKA
FAM72B;AURKA
KIF2C;SHCBP1
KIFC1;AURKA
KIF14;AURKA
SPC25;AURKA
ZWINT;SHCBP1
CENPE;HASPIN
SIRPG;CXCL9
MKI67;SHCBP1
ACAN;LOC105370960
KNL1;AURKA
ERCC6L;SHCBP1
ARHGAP11A;SHCBP1
RRM2;AURKA
SGO1;AURKA
TTK;AURKA
LOC100288637;AURKA
DEPDC1B;AURKA
PBK;SHCBP1
BUB1B;AURKA
AIM2;CXCL9
FOXM1;SHCBP1
NCAPH;HASPIN
ST14;KCNN4
DEPDC1B;SHCBP1
