"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0030326","embryonic limb morphogenesis","5/28","120/18870",8.36132560637441e-07,0.000435206997811788,0.000286045349691756,"3239/57167/1750/6299/1749",5
"BP","GO:0035113","embryonic appendage morphogenesis","5/28","120/18870",8.36132560637441e-07,0.000435206997811788,0.000286045349691756,"3239/57167/1750/6299/1749",5
"BP","GO:0035107","appendage morphogenesis","5/28","146/18870",2.20408125539472e-06,0.000573612146716476,0.000377013898949097,"3239/57167/1750/6299/1749",5
"BP","GO:0035108","limb morphogenesis","5/28","146/18870",2.20408125539472e-06,0.000573612146716476,0.000377013898949097,"3239/57167/1750/6299/1749",5
"BP","GO:0048736","appendage development","5/28","182/18870",6.48460003076331e-06,0.00103736670472649,0.000681822496660313,"3239/57167/1750/6299/1749",5
"BP","GO:0060173","limb development","5/28","182/18870",6.48460003076331e-06,0.00103736670472649,0.000681822496660313,"3239/57167/1750/6299/1749",5
"BP","GO:0061138","morphogenesis of a branching epithelium","5/28","187/18870",7.39893835298415e-06,0.00103736670472649,0.000681822496660313,"3239/2297/9953/6299/6422",5
"BP","GO:0060562","epithelial tube morphogenesis","6/28","334/18870",7.97207842248981e-06,0.00103736670472649,0.000681822496660313,"7852/57167/2297/9953/6299/6422",6
"BP","GO:0001763","morphogenesis of a branching structure","5/28","203/18870",1.10208867727906e-05,0.0011493065576406,0.000755396392604672,"3239/2297/9953/6299/6422",5
"BP","GO:0001657","ureteric bud development","4/28","98/18870",1.2726150714194e-05,0.0011493065576406,0.000755396392604672,"2297/9953/6299/6422",4
"BP","GO:0072163","mesonephric epithelium development","4/28","99/18870",1.32484905779896e-05,0.0011493065576406,0.000755396392604672,"2297/9953/6299/6422",4
"BP","GO:0072164","mesonephric tubule development","4/28","99/18870",1.32484905779896e-05,0.0011493065576406,0.000755396392604672,"2297/9953/6299/6422",4
"BP","GO:0001823","mesonephros development","4/28","103/18870",1.54971533801434e-05,0.00124096435913302,0.000815639651586497,"2297/9953/6299/6422",4
"BP","GO:0050974","detection of mechanical stimulus involved in sensory perception","3/28","35/18870",1.8550055563904e-05,0.00137932913157314,0.000906581662897562,"7852/23349/40",3
"BP","GO:0021988","olfactory lobe development","3/28","37/18870",2.19782765621607e-05,0.00152529239341395,0.001002517878274,"477/6299/1749",3
"BP","GO:0055123","digestive system development","4/28","146/18870",6.09390617092355e-05,0.00391509391516884,0.0025732454066027,"3239/3481/6299/6422",4
"BP","GO:0050982","detection of mechanical stimulus","3/28","53/18870",6.52181855187893e-05,0.00391509391516884,0.0025732454066027,"7852/23349/40",3
"BP","GO:0072073","kidney epithelium development","4/28","150/18870",6.76961483890865e-05,0.00391509391516884,0.0025732454066027,"2297/9953/6299/6422",4
"BP","GO:0001658","branching involved in ureteric bud morphogenesis","3/28","60/18870",9.46088594730756e-05,0.00493675836976145,0.00324474739910505,"2297/9953/6299",3
"BP","GO:0060525","prostate glandular acinus development","2/28","10/18870",9.48464624353785e-05,0.00493675836976145,0.00324474739910505,"3239/6422",2
"BP","GO:0021889","olfactory bulb interneuron differentiation","2/28","11/18870",0.000115817023690078,0.00574121531720817,0.00377348698739604,"6299/1749",2
"BP","GO:0060675","ureteric bud morphogenesis","3/28","67/18870",0.00013152684774853,0.00602274188516424,0.00395852391461323,"2297/9953/6299",3
"BP","GO:0072171","mesonephric tubule morphogenesis","3/28","68/18870",0.000137460789956425,0.00602274188516424,0.00395852391461323,"2297/9953/6299",3
"BP","GO:0060442","branching involved in prostate gland morphogenesis","2/28","12/18870",0.000138852838851049,0.00602274188516424,0.00395852391461323,"3239/6422",2
"BP","GO:0072078","nephron tubule morphogenesis","3/28","77/18870",0.000198855254831447,0.00828033281118143,0.00544235434275538,"2297/9953/6299",3
"BP","GO:0072088","nephron epithelium morphogenesis","3/28","79/18870",0.000214546719455253,0.00829282117939687,0.00545056248203445,"2297/9953/6299",3
"BP","GO:0050966","detection of mechanical stimulus involved in sensory perception of pain","2/28","15/18870",0.000220294502637967,0.00829282117939687,0.00545056248203445,"7852/23349",2
"BP","GO:0061333","renal tubule morphogenesis","3/28","81/18870",0.000231019994430845,0.00829282117939687,0.00545056248203445,"2297/9953/6299",3
"BP","GO:0072028","nephron morphogenesis","3/28","81/18870",0.000231019994430845,0.00829282117939687,0.00545056248203445,"2297/9953/6299",3
"BP","GO:0009612","response to mechanical stimulus","4/28","213/18870",0.000261254469145865,0.00906553007936152,0.00595843526122148,"7852/23349/477/40",4
"BP","GO:0055119","relaxation of cardiac muscle","2/28","17/18870",0.00028481035505148,0.00928420272627299,0.00610216064722933,"3270/477",2
"BP","GO:0050679","positive regulation of epithelial cell proliferation","4/28","218/18870",0.000285393359501187,0.00928420272627299,0.00610216064722933,"3481/1750/1749/6422",4
"BP","GO:0060993","kidney morphogenesis","3/28","98/18870",0.000404940707641053,0.0126814514062616,0.00833504566870928,"2297/9953/6299",3
"BP","GO:0072080","nephron tubule development","3/28","100/18870",0.000429657211833934,0.0126814514062616,0.00833504566870928,"2297/9953/6299",3
"BP","GO:0060560","developmental growth involved in morphogenesis","4/28","244/18870",0.000437488437185975,0.0126814514062616,0.00833504566870928,"3239/7852/6299/6422",4
"BP","GO:0048732","gland development","5/28","443/18870",0.000438551633645934,0.0126814514062616,0.00833504566870928,"3239/3481/9148/6299/6422",5
"BP","GO:0010881","regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion","2/28","22/18870",0.000481543629830652,0.0129925264053511,0.0085395036791326,"3270/477",2
"BP","GO:0061326","renal tubule development","3/28","104/18870",0.000481957330606198,0.0129925264053511,0.0085395036791326,"2297/9953/6299",3
"BP","GO:0051924","regulation of calcium ion transport","4/28","251/18870",0.000486751709710558,0.0129925264053511,0.0085395036791326,"8614/7852/3270/477",4
"BP","GO:0086064","cell communication by electrical coupling involved in cardiac conduction","2/28","25/18870",0.000623662107605277,0.0162308063504273,0.0106679044721955,"3270/477",2
"BP","GO:0010882","regulation of cardiac muscle contraction by calcium ion signaling","2/28","26/18870",0.000675014349829852,0.0163416264691366,0.0107407424085533,"3270/477",2
"BP","GO:0060740","prostate gland epithelium morphogenesis","2/28","26/18870",0.000675014349829852,0.0163416264691366,0.0107407424085533,"3239/6422",2
"BP","GO:0062149","detection of stimulus involved in sensory perception of pain","2/28","26/18870",0.000675014349829852,0.0163416264691366,0.0107407424085533,"7852/23349",2
"BP","GO:0021537","telencephalon development","4/28","276/18870",0.000695253709395097,0.0164490707154613,0.0108113615097324,"7852/477/6299/1749",4
"BP","GO:0072009","nephron epithelium development","3/28","120/18870",0.000731573527268372,0.0169237342641417,0.0111233401806887,"2297/9953/6299",3
"BP","GO:0060512","prostate gland morphogenesis","2/28","28/18870",0.000783654474529654,0.0177344414779428,0.0116561878362534,"3239/6422",2
"BP","GO:0003401","axis elongation","2/28","29/18870",0.000840931234684447,0.018625732240564,0.0122420000569964,"3239/6422",2
"BP","GO:0010880","regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum","2/28","31/18870",0.000961370428287277,0.0208497211634803,0.0137037451400599,"3270/477",2
"BP","GO:0048565","digestive tract development","3/28","134/18870",0.00100728356467872,0.0213305440034783,0.0140197720837867,"3239/6299/6422",3
"BP","GO:0010644","cell communication by electrical coupling","2/28","32/18870",0.00102452180612288,0.0213305440034783,0.0140197720837867,"3270/477",2
"BP","GO:0050869","negative regulation of B cell activation","2/28","33/18870",0.00108962035270337,0.0216587295252062,0.0142354762034319,"55024/6422",2
"BP","GO:0009581","detection of external stimulus","3/28","138/18870",0.00109657549353871,0.0216587295252062,0.0142354762034319,"7852/23349/40",3
"BP","GO:0060048","cardiac muscle contraction","3/28","139/18870",0.0011196546975568,0.0216587295252062,0.0142354762034319,"7852/3270/477",3
"BP","GO:0001822","kidney development","4/28","314/18870",0.00112350758344009,0.0216587295252062,0.0142354762034319,"2297/9953/6299/6422",4
"BP","GO:0090075","relaxation of muscle","2/28","34/18870",0.00115666056788982,0.0216887087436895,0.0142551804271178,"3270/477",2
"BP","GO:0009582","detection of abiotic stimulus","3/28","141/18870",0.00116673169034257,0.0216887087436895,0.0142551804271178,"7852/23349/40",3
"BP","GO:0021772","olfactory bulb development","2/28","35/18870",0.00122563696257624,0.0223840013691556,0.014712170372568,"6299/1749",2
"BP","GO:0072001","renal system development","4/28","324/18870",0.00126146268306426,0.0224950394179383,0.0147851515462459,"2297/9953/6299/6422",4
"BP","GO:0030177","positive regulation of Wnt signaling pathway","3/28","146/18870",0.00128985557582036,0.0224950394179383,0.0147851515462459,"6299/1749/6422",3
"BP","GO:0014808","release of sequestered calcium ion into cytosol by sarcoplasmic reticulum","2/28","36/18870",0.00129654405867079,0.0224950394179383,0.0147851515462459,"3270/477",2
"BP","GO:0033280","response to vitamin D","2/28","37/18870",0.001369376389077,0.0229494660239174,0.0150838292285215,"8614/6422",2
"BP","GO:1903514","release of sequestered calcium ion into cytosol by endoplasmic reticulum","2/28","37/18870",0.001369376389077,0.0229494660239174,0.0150838292285215,"3270/477",2
"BP","GO:0071214","cellular response to abiotic stimulus","4/28","334/18870",0.00141091818014478,0.0229494660239174,0.0150838292285215,"993/477/40/6422",4
"BP","GO:0104004","cellular response to environmental stimulus","4/28","334/18870",0.00141091818014478,0.0229494660239174,0.0150838292285215,"993/477/40/6422",4
"BP","GO:0045823","positive regulation of heart contraction","2/28","39/18870",0.00152079493930276,0.0242386793224715,0.0159311811108817,"3270/477",2
"BP","GO:0048754","branching morphogenesis of an epithelial tube","3/28","156/18870",0.00156003027339634,0.0242386793224715,0.0159311811108817,"2297/9953/6299",3
"BP","GO:0072006","nephron development","3/28","156/18870",0.00156003027339634,0.0242386793224715,0.0159311811108817,"2297/9953/6299",3
"BP","GO:1903524","positive regulation of blood circulation","2/28","40/18870",0.00159937027973748,0.024484477370687,0.0160927350128384,"3270/477",2
"BP","GO:0072210","metanephric nephron development","2/28","41/18870",0.00167984909567683,0.0253438102695591,0.0166575425200601,"2297/6299",2
"BP","GO:0070296","sarcoplasmic reticulum calcium ion transport","2/28","43/18870",0.0018464955153508,0.0274600261640026,0.0180484524056845,"3270/477",2
"BP","GO:0030509","BMP signaling pathway","3/28","167/18870",0.00189554457463739,0.0277924211577115,0.0182669232544744,"2297/1749/6422",3
"BP","GO:0071772","response to BMP","3/28","179/18870",0.00230947314537628,0.0329337197854344,0.0216461073467135,"2297/1749/6422",3
"BP","GO:0071773","cellular response to BMP stimulus","3/28","179/18870",0.00230947314537628,0.0329337197854344,0.0216461073467135,"2297/1749/6422",3
