"interaction","name","selected","shared interaction","shared name"
"interacts with","KCNMB2 (interacts with) MND1","false","interacts with","KCNMB2 (interacts with) MND1"
"interacts with","KCNMB2 (interacts with) GASK1B","false","interacts with","KCNMB2 (interacts with) GASK1B"
"interacts with","KCNMB2 (interacts with) TFDP1","false","interacts with","KCNMB2 (interacts with) TFDP1"
"interacts with","KCNMB2 (interacts with) ANLN","false","interacts with","KCNMB2 (interacts with) ANLN"
"interacts with","KCNMB2 (interacts with) CKAP2L","false","interacts with","KCNMB2 (interacts with) CKAP2L"
"interacts with","KCNMB2 (interacts with) C5orf34","false","interacts with","KCNMB2 (interacts with) C5orf34"
"interacts with","KCNMB2 (interacts with) ATAD2","false","interacts with","KCNMB2 (interacts with) ATAD2"
"interacts with","KCNMB2 (interacts with) SMC2","false","interacts with","KCNMB2 (interacts with) SMC2"
"interacts with","KCNMB2 (interacts with) TIMELESS","false","interacts with","KCNMB2 (interacts with) TIMELESS"
"interacts with","KCNMB2 (interacts with) POLQ","false","interacts with","KCNMB2 (interacts with) POLQ"
"interacts with","KCNMB2 (interacts with) DSN1","false","interacts with","KCNMB2 (interacts with) DSN1"
"interacts with","KCNMB2 (interacts with) PCDHAC1","false","interacts with","KCNMB2 (interacts with) PCDHAC1"
"interacts with","KCNMB2 (interacts with) MMS22L","false","interacts with","KCNMB2 (interacts with) MMS22L"
"interacts with","KCNMB2 (interacts with) DNMT1","false","interacts with","KCNMB2 (interacts with) DNMT1"
"interacts with","KCNMB2 (interacts with) PSRC1","false","interacts with","KCNMB2 (interacts with) PSRC1"
"interacts with","KCNMB2 (interacts with) IQGAP3","false","interacts with","KCNMB2 (interacts with) IQGAP3"
"interacts with","KCNMB2 (interacts with) EMC3-AS1","false","interacts with","KCNMB2 (interacts with) EMC3-AS1"
"interacts with","KCNMB2 (interacts with) LIG1","false","interacts with","KCNMB2 (interacts with) LIG1"
"interacts with","KCNMB2 (interacts with) HPCAL1","false","interacts with","KCNMB2 (interacts with) HPCAL1"
"interacts with","KCNMB2 (interacts with) BCL2L11","false","interacts with","KCNMB2 (interacts with) BCL2L11"
"interacts with","KCNMB2 (interacts with) BRME1","false","interacts with","KCNMB2 (interacts with) BRME1"
"interacts with","KCNMB2 (interacts with) HMGB2","false","interacts with","KCNMB2 (interacts with) HMGB2"
"interacts with","KCNMB2 (interacts with) PHF19","false","interacts with","KCNMB2 (interacts with) PHF19"
"interacts with","LOC105370337 (interacts with) KCNF1","false","interacts with","LOC105370337 (interacts with) KCNF1"
"interacts with","ICAM1 (interacts with) TNFRSF9","false","interacts with","ICAM1 (interacts with) TNFRSF9"
"interacts with","ICAM1 (interacts with) C1QB","false","interacts with","ICAM1 (interacts with) C1QB"
"interacts with","ICAM1 (interacts with) DOCK2","false","interacts with","ICAM1 (interacts with) DOCK2"
"interacts with","ICAM1 (interacts with) BCL11B","false","interacts with","ICAM1 (interacts with) BCL11B"
"interacts with","ICAM1 (interacts with) SLC37A2","false","interacts with","ICAM1 (interacts with) SLC37A2"
"interacts with","ICAM1 (interacts with) APBB1IP","false","interacts with","ICAM1 (interacts with) APBB1IP"
"interacts with","ICAM1 (interacts with) TNFRSF18","false","interacts with","ICAM1 (interacts with) TNFRSF18"
"interacts with","TNFRSF9 (interacts with) DOK2","false","interacts with","TNFRSF9 (interacts with) DOK2"
"interacts with","TNFRSF9 (interacts with) CD48","false","interacts with","TNFRSF9 (interacts with) CD48"
"interacts with","TNFRSF9 (interacts with) CTSS","false","interacts with","TNFRSF9 (interacts with) CTSS"
"interacts with","TNFRSF9 (interacts with) GK","false","interacts with","TNFRSF9 (interacts with) GK"
"interacts with","TNFRSF9 (interacts with) NKD1","false","interacts with","TNFRSF9 (interacts with) NKD1"
"interacts with","TNFRSF9 (interacts with) CCR5","false","interacts with","TNFRSF9 (interacts with) CCR5"
"interacts with","TNFRSF9 (interacts with) ETV7","false","interacts with","TNFRSF9 (interacts with) ETV7"
"interacts with","TNFRSF9 (interacts with) LAPTM5","false","interacts with","TNFRSF9 (interacts with) LAPTM5"
"interacts with","TNFRSF9 (interacts with) EPSTI1","false","interacts with","TNFRSF9 (interacts with) EPSTI1"
"interacts with","TNFRSF9 (interacts with) ANKRD22","false","interacts with","TNFRSF9 (interacts with) ANKRD22"
"interacts with","TNFRSF9 (interacts with) C1QB","false","interacts with","TNFRSF9 (interacts with) C1QB"
"interacts with","TNFRSF9 (interacts with) BATF2","false","interacts with","TNFRSF9 (interacts with) BATF2"
"interacts with","TNFRSF9 (interacts with) CGAS","false","interacts with","TNFRSF9 (interacts with) CGAS"
"interacts with","TNFRSF9 (interacts with) GBP5","false","interacts with","TNFRSF9 (interacts with) GBP5"
"interacts with","TNFRSF9 (interacts with) OASL","false","interacts with","TNFRSF9 (interacts with) OASL"
"interacts with","TNFRSF9 (interacts with) NFAM1","false","interacts with","TNFRSF9 (interacts with) NFAM1"
"interacts with","TNFRSF9 (interacts with) PATL2","false","interacts with","TNFRSF9 (interacts with) PATL2"
"interacts with","TNFRSF9 (interacts with) DOCK2","false","interacts with","TNFRSF9 (interacts with) DOCK2"
"interacts with","TNFRSF9 (interacts with) APOL6","false","interacts with","TNFRSF9 (interacts with) APOL6"
"interacts with","TNFRSF9 (interacts with) SIGLEC7","false","interacts with","TNFRSF9 (interacts with) SIGLEC7"
"interacts with","TNFRSF9 (interacts with) CORO1A","false","interacts with","TNFRSF9 (interacts with) CORO1A"
"interacts with","TNFRSF9 (interacts with) EVI2B","false","interacts with","TNFRSF9 (interacts with) EVI2B"
"interacts with","TNFRSF9 (interacts with) IL7R","false","interacts with","TNFRSF9 (interacts with) IL7R"
"interacts with","TNFRSF9 (interacts with) IFI30","false","interacts with","TNFRSF9 (interacts with) IFI30"
"interacts with","TNFRSF9 (interacts with) EDEM1","false","interacts with","TNFRSF9 (interacts with) EDEM1"
"interacts with","TNFRSF9 (interacts with) DOCK10","false","interacts with","TNFRSF9 (interacts with) DOCK10"
"interacts with","TNFRSF9 (interacts with) ADAMDEC1","false","interacts with","TNFRSF9 (interacts with) ADAMDEC1"
"interacts with","TNFRSF9 (interacts with) PTPN22","false","interacts with","TNFRSF9 (interacts with) PTPN22"
"interacts with","TNFRSF9 (interacts with) ADCY5","false","interacts with","TNFRSF9 (interacts with) ADCY5"
"interacts with","TNFRSF9 (interacts with) MAFB","false","interacts with","TNFRSF9 (interacts with) MAFB"
"interacts with","TNFRSF9 (interacts with) LOC100419170","false","interacts with","TNFRSF9 (interacts with) LOC100419170"
"interacts with","TNFRSF9 (interacts with) TAP1","false","interacts with","TNFRSF9 (interacts with) TAP1"
"interacts with","TNFRSF9 (interacts with) ITGB2","false","interacts with","TNFRSF9 (interacts with) ITGB2"
"interacts with","TNFRSF9 (interacts with) KLHL6","false","interacts with","TNFRSF9 (interacts with) KLHL6"
"interacts with","TNFRSF9 (interacts with) PDCD1LG2","false","interacts with","TNFRSF9 (interacts with) PDCD1LG2"
"interacts with","TNFRSF9 (interacts with) RIPK2","false","interacts with","TNFRSF9 (interacts with) RIPK2"
